"Date","Time","Event Name","IP Address","Action","Host","URL","Response Code","Time to Load (ms)","Time to First Byte (ms)","Start Time (ms)","Bytes Out","Bytes In","Object Size","Cookie Size (out)","Cookie Count(out)","Expires","Cache Control","Content Type","Content Encoding","Transaction Type","Socket ID","Document ID","End Time (ms)","Descriptor","Lab ID","Dialer ID","Connection Type","Cached","Event URL","Pagetest Build","Measurement Type","Experimental","Event GUID","Sequence Number","Cache Score","Static CDN Score","GZIP Score","Cookie Score","Keep-Alive Score","DOCTYPE Score","Minify Score","Combine Score","Compression Score","ETag Score","Flagged","Secure","DNS Time","Connect Time","SSL Time","Gzip Total Bytes","Gzip Savings","Minify Total Bytes","Minify Savings","Image Total Bytes","Image Savings","Cache Time (sec)","Real Start Time (ms)","Full Time to Load (ms)","Optimization Checked","CDN Provider","DNS Start","DNS End","Connect Start","Connect End","SSL Negotiation Start","SSL Negotiation End","Initiator","Initiator Line","Initiator Column","Server Count","Server RTT","Run","Cached"
"07/25/2016","16:51:56","Step 1","93.184.220.29","POST","ocsp.digicert.com","/","200","314","314","209","444","788","471","","","Mon, 01 Aug 2016 04:51:51 GMT","max-age=497533","application/ocsp-response","","3","21","","523","","","","","","","","","","","1","50","-1","-1","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","-1","0","0","0","0","0","0","561600","","","1","Edgecast","0","0","0","0","0","0","","","","1","308","1","0",
"07/25/2016","16:51:56","Step 1","93.184.220.29","POST","ocsp.digicert.com","/","200","319","319","457","444","788","471","","","Mon, 01 Aug 2016 04:51:52 GMT","max-age=515182","application/ocsp-response","","3","22","","776","","","","","","","","","","","2","50","-1","-1","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","-1","0","0","0","0","0","0","561600","","","1","Edgecast","0","0","0","0","0","0","","","","1","308","1","0",
"07/25/2016","16:51:56","Step 1","54.69.136.250","GET","search.services.mozilla.com","/1/firefox/47.0/release/en-US/DE/default/default","200","479","479","526","393","302","169","","","","","application/json","","3","31","","1005","","","","","","","","","","","3","0","-1","-1","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","0","0","0","0","0","0","0","","","1","","0","0","0","0","0","0","","","","3","466","1","0",
"07/25/2016","16:51:56","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/dozenten.html","200","335","324","626","319","7349","6934","","","Mon, 25 Jul 2016 17:51:52 GMT","max-age=3600","text/html","gzip","3","53","","961","","","","","","","","","","","4","50","-1","100","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","-1","7349","0","0","0","0","0","3600","","","1","","0","309","310","626","0","0","","","","1","313","1","0",
"07/25/2016","16:51:56","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/css/style.css","200","319","318","996","329","1933","1538","","","Tue, 25 Jul 2017 16:51:52 GMT","max-age=31536000","text/css","gzip","3","53","","1315","","","","","","","","","","","5","100","0","100","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","-1","1933","0","0","0","0","0","31536000","","","1","","0","0","0","0","0","0","","","","1","313","1","0",
"07/25/2016","16:51:56","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/css/http1/stylehttp1.css","200","330","324","996","340","4604","4186","","","Tue, 25 Jul 2017 16:51:52 GMT","max-age=31536000","text/css","gzip","3","54","","1326","","","","","","","","","","","6","100","0","100","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","-1","4604","0","0","0","0","0","31536000","","","1","","0","0","523","837","0","0","","","","1","313","1","0",
"07/25/2016","16:51:56","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/css/http1/bootstrap.css","200","657","324","1007","339","21657","21237","","","Tue, 25 Jul 2017 16:51:52 GMT","max-age=31536000","text/css","gzip","3","55","","1664","","","","","","","","","","","7","100","0","100","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","-1","21657","0","0","0","0","0","31536000","","","1","","0","0","561","875","0","0","","","","1","313","1","0",
"07/25/2016","16:51:56","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/js/jquery.min.js","200","671","325","1087","317","30336","29902","","","Tue, 25 Jul 2017 16:51:52 GMT","max-age=31536000","application/javascript","gzip","3","56","","1758","","","","","","","","","","","8","100","0","100","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","-1","30336","0","0","0","0","0","31536000","","","1","","0","0","774","1087","0","0","","","","1","313","1","0",
"07/25/2016","16:51:56","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/js/http1/bootstrap.min.js","200","339","320","1315","326","10174","9765","","","Tue, 25 Jul 2017 16:51:52 GMT","max-age=31536000","application/javascript","gzip","3","53","","1654","","","","","","","","","","","9","100","0","100","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","-1","10174","0","0","0","0","0","31536000","","","1","","0","0","0","0","0","0","","","","1","313","1","0",
"07/25/2016","16:51:56","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/uploads/logos/logo-hdm.png","200","326","326","1664","327","946","605","","","Wed, 24 Aug 2016 16:51:53 GMT","max-age=2592000","image/png","","3","53","","1990","","","","","","","","","","","10","100","0","-1","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","-1","0","0","0","0","0","0","2592000","","","1","","0","0","0","0","0","0","","","","1","313","1","0",
