Date;Time;Event Name;IP Address;Action;Host;URL;Response Code;Time to Load (ms);Time to First Byte (ms);Start Time (ms);Bytes Out;Bytes In;Object Size;Cookie Size (out);Cookie Count(out);Expires;Cache Control;Content Type;Content Encoding;Transaction Type;Socket ID;Document ID;End Time (ms);Descriptor;Lab ID;Dialer ID;Connection Type;Cached;Event URL;Pagetest Build;Measurement Type;Experimental;Event GUID;Sequence Number;Cache Score;Static CDN Score;GZIP Score;Cookie Score;Keep-Alive Score;DOCTYPE Score;Minify Score;Combine Score;Compression Score;ETag Score;Flagged;Secure;DNS Time;Connect Time;SSL Time;Gzip Total Bytes;Gzip Savings;Minify Total Bytes;Minify Savings;Image Total Bytes;Image Savings;Cache Time (sec);Real Start Time (ms);Full Time to Load (ms);Optimization Checked;CDN Provider;DNS Start;DNS End;Connect Start;Connect End;SSL Negotiation Start;SSL Negotiation End;Initiator;Initiator Line;Initiator Column;Server Count;Server RTT;Run;Cached
07/25/2016;16:08:38;Step 1;93.184.220.29;POST;ocsp.digicert.com;/;200;315;315;1;444;788;471;;;Mon, 01 Aug 2016 04:08:33 GMT;max-age=499829;application/ocsp-response;;3;18;;316;;;;;;;;;;;1;50;-1;-1;-1;100;-1;-1;-1;-1;-1;0;0;-1;-1;-1;0;0;0;0;0;0;561600;;;1;Edgecast;0;0;0;0;0;0;;;;1;309;1;0
07/25/2016;16:08:38;Step 1;93.184.220.29;POST;ocsp.digicert.com;/;200;315;315;233;444;788;471;;;Mon, 01 Aug 2016 04:08:33 GMT;max-age=497533;application/ocsp-response;;3;19;;548;;;;;;;;;;;2;50;-1;-1;-1;100;-1;-1;-1;-1;-1;0;0;-1;-1;-1;0;0;0;0;0;0;561600;;;1;Edgecast;0;0;0;0;0;0;;;;1;309;1;0
07/25/2016;16:08:38;Step 1;54.191.85.92;GET;search.services.mozilla.com;/1/firefox/47.0/release/en-US/DE/default/default;200;471;471;319;393;302;169;;;;;application/json;;3;31;;790;;;;;;;;;;;3;0;-1;-1;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;0;;;1;;0;0;0;0;0;0;;;;3;465;1;0
07/25/2016;16:08:38;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/;200;326;318;628;306;3857;3442;;;Mon, 25 Jul 2016 17:08:34 GMT;max-age=3600;text/html;gzip;3;53;;954;;;;;;;;;;;4;50;-1;100;-1;100;-1;-1;-1;-1;-1;0;0;-1;-1;-1;3857;0;0;0;0;0;3600;;;1;;0;314;314;628;0;0;;;;1;312;1;0
07/25/2016;16:08:38;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/style.css;200;318;317;985;316;1933;1538;;;Tue, 25 Jul 2017 16:08:34 GMT;max-age=31536000;text/css;gzip;3;53;;1303;;;;;;;;;;;5;100;0;100;-1;100;-1;-1;-1;-1;-1;0;0;-1;-1;-1;1933;0;0;0;0;0;31536000;;;1;;0;0;0;0;0;0;;;;1;312;1;0
07/25/2016;16:08:38;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/slider.css;200;320;320;985;317;1126;710;;;Tue, 25 Jul 2017 16:08:34 GMT;max-age=31536000;text/css;gzip;3;54;;1305;;;;;;;;;;;6;100;0;100;-1;100;-1;-1;-1;-1;-1;0;0;-1;-1;-1;1126;0;0;0;0;0;31536000;;;1;;0;0;317;630;0;0;;;;1;312;1;0
07/25/2016;16:08:38;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/http1/stylehttp1.css;200;338;330;985;327;4604;4186;;;Tue, 25 Jul 2017 16:08:34 GMT;max-age=31536000;text/css;gzip;3;55;;1323;;;;;;;;;;;7;100;0;100;-1;100;-1;-1;-1;-1;-1;0;0;-1;-1;-1;4604;0;0;0;0;0;31536000;;;1;;0;0;564;878;0;0;;;;1;312;1;0
07/25/2016;16:08:38;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/http1/animate.css;200;334;323;986;324;4448;4030;;;Tue, 25 Jul 2017 16:08:34 GMT;max-age=31536000;text/css;gzip;3;56;;1320;;;;;;;;;;;8;100;0;100;-1;100;-1;-1;-1;-1;-1;0;0;-1;-1;-1;4448;0;0;0;0;0;31536000;;;1;;0;0;567;881;0;0;;;;1;312;1;0
07/25/2016;16:08:38;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/http1/bootstrap.css;200;659;323;1300;326;21657;21237;;;Tue, 25 Jul 2017 16:08:34 GMT;max-age=31536000;text/css;gzip;3;61;;1959;;;;;;;;;;;9;100;0;100;-1;100;-1;-1;-1;-1;-1;0;0;-1;-1;-1;21657;0;0;0;0;0;31536000;;;1;;0;0;986;1300;0;0;;;;1;312;1;0
07/25/2016;16:08:38;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/js/jquery.min.js;200;756;333;1303;304;30313;29902;;;Tue, 25 Jul 2017 16:08:34 GMT;max-age=31536000;application/javascript;gzip;3;53;;2059;;;;;;;;;;;10;100;0;100;-1;100;-1;-1;-1;-1;-1;0;0;-1;-1;-1;30313;0;0;0;0;0;31536000;;;1;;0;0;0;0;0;0;;;;1;312;1;0
