"Date","Time","Event Name","IP Address","Action","Host","URL","Response Code","Time to Load (ms)","Time to First Byte (ms)","Start Time (ms)","Bytes Out","Bytes In","Object Size","Cookie Size (out)","Cookie Count(out)","Expires","Cache Control","Content Type","Content Encoding","Transaction Type","Socket ID","Document ID","End Time (ms)","Descriptor","Lab ID","Dialer ID","Connection Type","Cached","Event URL","Pagetest Build","Measurement Type","Experimental","Event GUID","Sequence Number","Cache Score","Static CDN Score","GZIP Score","Cookie Score","Keep-Alive Score","DOCTYPE Score","Minify Score","Combine Score","Compression Score","ETag Score","Flagged","Secure","DNS Time","Connect Time","SSL Time","Gzip Total Bytes","Gzip Savings","Minify Total Bytes","Minify Savings","Image Total Bytes","Image Savings","Cache Time (sec)","Real Start Time (ms)","Full Time to Load (ms)","Optimization Checked","CDN Provider","DNS Start","DNS End","Connect Start","Connect End","SSL Negotiation Start","SSL Negotiation End","Initiator","Initiator Line","Initiator Column","Server Count","Server RTT","Run","Cached"
"07/25/2016","15:42:24","Step 1","93.184.220.29","POST","ocsp.digicert.com","/","200","315","315","21","444","788","471","","","Mon, 01 Aug 2016 03:42:19 GMT","max-age=515182","application/ocsp-response","","3","18","","336","","","","","","","","","","","1","50","-1","-1","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","-1","0","0","0","0","0","0","561600","","","1","Edgecast","0","0","0","0","0","0","","","","1","310","1","0",
"07/25/2016","15:42:24","Step 1","93.184.220.29","POST","ocsp.digicert.com","/","200","313","313","279","444","788","471","","","Mon, 01 Aug 2016 03:42:19 GMT","max-age=517048","application/ocsp-response","","3","17","","592","","","","","","","","","","","2","50","-1","-1","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","-1","0","0","0","0","0","0","561600","","","1","Edgecast","0","0","0","0","0","0","","","","1","310","1","0",
"07/25/2016","15:42:24","Step 1","54.69.136.250","GET","search.services.mozilla.com","/1/firefox/47.0/release/en-US/DE/default/default","200","471","471","338","393","302","169","","","","","application/json","","3","31","","809","","","","","","","","","","","3","0","-1","-1","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","0","0","0","0","0","0","0","","","1","","0","0","0","0","0","0","","","","3","463","1","0",
"07/25/2016","15:42:24","Step 1","193.174.13.86","POST","ocsp.pca.dfn.de","/OCSP-Server/OCSP","200","330","329","1594","449","1893","1498","","","Thu, 04 Aug 2016 15:42:21 GMT","max-age=864000, public, no-transform, must-revalidate","application/ocsp-response","","3","58","","1924","","","","","","","","","","","4","100","-1","-1","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","-1","0","0","0","0","0","0","864000","","","1","","962","1272","1273","1594","0","0","","","","1","320","1","0",
"07/25/2016","15:42:24","Step 1","193.174.13.86","POST","ocsp.pca.dfn.de","/OCSP-Server/OCSP","200","350","349","1596","449","1894","1498","","","Thu, 04 Aug 2016 15:42:21 GMT","max-age=864000, public, no-transform, must-revalidate","application/ocsp-response","","3","57","","1946","","","","","","","","","","","5","100","-1","-1","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","-1","0","0","0","0","0","0","864000","","","1","","0","0","1273","1595","0","0","","","","1","320","1","0",
"07/25/2016","15:42:24","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/","200","330","321","1926","163","3588","3436","","","Mon, 25 Jul 2016 16:42:21 GMT","max-age=3600","text/html","gzip","3","53","","2256","","","","","","","","","","","6","50","-1","100","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","0","0","0","0","0","0","3600","","","1","","0","309","310","623","623","1277","","","","1","313","1","0",
"07/25/2016","15:42:24","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/css/style.css","200","319","318","2324","65","1643","1538","","","Tue, 25 Jul 2017 15:42:21 GMT","max-age=31536000","text/css","gzip","3","53","","2643","","","","","","","","","","","7","100","0","100","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","0","0","0","0","0","0","31536000","","","1","","0","0","0","0","0","0","","","","1","313","1","0",
"07/25/2016","15:42:24","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/css/slider.css","200","323","323","2324","26","770","710","","","Tue, 25 Jul 2017 15:42:21 GMT","max-age=31536000","text/css","gzip","3","53","","2647","","","","","","","","","","","8","100","0","100","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","0","0","0","0","0","0","31536000","","","1","","0","0","0","0","0","0","","","","1","313","1","0",
"07/25/2016","15:42:24","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/css/http2/stylehttp2.css","200","326","326","2325","32","2017","1955","","","Tue, 25 Jul 2017 15:42:21 GMT","max-age=31536000","text/css","gzip","3","53","","2651","","","","","","","","","","","9","100","0","100","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","0","0","0","0","0","0","31536000","","","1","","0","0","0","0","0","0","","","","1","313","1","0",
"07/25/2016","15:42:24","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/css/http2/menu.css","200","320","320","2333","28","1269","1207","","","Tue, 25 Jul 2017 15:42:21 GMT","max-age=31536000","text/css","gzip","3","53","","2653","","","","","","","","","","","10","100","0","100","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","0","0","0","0","0","0","31536000","","","1","","0","0","0","0","0","0","","","","1","313","1","0",
