"Date","Time","Event Name","IP Address","Action","Host","URL","Response Code","Time to Load (ms)","Time to First Byte (ms)","Start Time (ms)","Bytes Out","Bytes In","Object Size","Cookie Size (out)","Cookie Count(out)","Expires","Cache Control","Content Type","Content Encoding","Transaction Type","Socket ID","Document ID","End Time (ms)","Descriptor","Lab ID","Dialer ID","Connection Type","Cached","Event URL","Pagetest Build","Measurement Type","Experimental","Event GUID","Sequence Number","Cache Score","Static CDN Score","GZIP Score","Cookie Score","Keep-Alive Score","DOCTYPE Score","Minify Score","Combine Score","Compression Score","ETag Score","Flagged","Secure","DNS Time","Connect Time","SSL Time","Gzip Total Bytes","Gzip Savings","Minify Total Bytes","Minify Savings","Image Total Bytes","Image Savings","Cache Time (sec)","Real Start Time (ms)","Full Time to Load (ms)","Optimization Checked","CDN Provider","DNS Start","DNS End","Connect Start","Connect End","SSL Negotiation Start","SSL Negotiation End","Initiator","Initiator Line","Initiator Column","Server Count","Server RTT","Run","Cached"
"07/31/2016","12:21:02","Step 1","93.184.220.29","POST","ocsp.digicert.com","/","200","313","313","210","444","788","471","","","Sun, 07 Aug 2016 00:21:04 GMT","max-age=506787","application/ocsp-response","","3","21","","523","","","","","","","","","","","1","50","-1","-1","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","-1","0","0","0","0","0","0","561600","","","1","Edgecast","0","0","0","0","0","0","","","","1","308","1","0",
"07/31/2016","12:21:02","Step 1","93.184.220.29","POST","ocsp.digicert.com","/","200","313","313","430","444","788","471","","","Sun, 07 Aug 2016 00:21:04 GMT","max-age=508893","application/ocsp-response","","3","22","","743","","","","","","","","","","","2","50","-1","-1","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","-1","0","0","0","0","0","0","561600","","","1","Edgecast","0","0","0","0","0","0","","","","1","308","1","0",
"07/31/2016","12:21:02","Step 1","54.191.85.92","GET","search.services.mozilla.com","/1/firefox/47.0/release/en-US/DE/default/default","200","496","496","525","393","302","169","","","","","application/json","","3","31","","1021","","","","","","","","","","","3","0","-1","-1","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","0","0","0","0","0","0","0","","","1","","0","0","0","0","0","0","","","","3","474","1","0",
"07/31/2016","12:21:02","Step 1","193.174.13.86","POST","ocsp.pca.dfn.de","/OCSP-Server/OCSP","200","358","357","1609","449","1894","1498","","","Wed, 10 Aug 2016 12:21:05 GMT","max-age=864000, public, no-transform, must-revalidate","application/ocsp-response","","3","58","","1967","","","","","","","","","","","4","100","-1","-1","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","-1","0","0","0","0","0","0","864000","","","1","","964","1286","1287","1609","0","0","","","","1","319","1","0",
"07/31/2016","12:21:02","Step 1","193.174.13.86","POST","ocsp.pca.dfn.de","/OCSP-Server/OCSP","200","350","349","1609","449","1894","1498","","","Wed, 10 Aug 2016 12:21:05 GMT","max-age=864000, public, no-transform, must-revalidate","application/ocsp-response","","3","57","","1959","","","","","","","","","","","5","100","-1","-1","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","-1","0","0","0","0","0","0","864000","","","1","","0","0","1287","1609","0","0","","","","1","319","1","0",
"07/31/2016","12:21:02","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/index.html","200","326","317","1968","320","4309","3442","","","Sun, 31 Jul 2016 13:21:06 GMT","max-age=3600","text/html","gzip","3","53","","2294","","","","","","","","","","","6","50","-1","100","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","4309","0","0","0","0","0","3600","","","1","","0","309","309","622","622","1278","","","","1","311","1","0",
"07/31/2016","12:21:02","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/css/style.css","200","320","320","2354","331","1933","1538","","","Mon, 31 Jul 2017 12:21:06 GMT","max-age=31536000","text/css","gzip","3","53","","2674","","","","","","","","","","","7","100","0","100","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","1933","0","0","0","0","0","31536000","","","1","","0","0","0","0","0","0","","","","1","311","1","0",
"07/31/2016","12:21:02","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/css/slider.css","200","326","326","2354","332","1104","710","","","Mon, 31 Jul 2017 12:21:06 GMT","max-age=31536000","text/css","gzip","3","54","","2680","","","","","","","","","","","8","100","0","100","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","1104","0","0","0","0","0","31536000","","","1","","0","0","560","875","875","1530","","","","1","311","1","0",
"07/31/2016","12:21:02","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/css/http1/stylehttp1.css","200","330","321","2674","342","4581","4186","","","Mon, 31 Jul 2017 12:21:06 GMT","max-age=31536000","text/css","gzip","3","53","","3004","","","","","","","","","","","9","100","0","100","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","4581","0","0","0","0","0","31536000","","","1","","0","0","0","0","0","0","","","","1","311","1","0",
"07/31/2016","12:21:02","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/js/jssor.slider.mini.js","200","680","324","2680","326","18912","18502","","","Mon, 31 Jul 2017 12:21:06 GMT","max-age=31536000","application/javascript","gzip","3","54","","3360","","","","","","","","","","","10","100","0","100","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","18912","0","0","0","0","0","31536000","","","1","","0","0","0","0","0","0","","","","1","311","1","0",
"07/31/2016","12:21:02","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/css/http1/bootstrap.css","200","655","325","2990","341","21635","21237","","","Mon, 31 Jul 2017 12:21:07 GMT","max-age=31536000","text/css","gzip","3","71","","3645","","","","","","","","","","","11","100","0","100","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","21635","0","0","0","0","0","31536000","","","1","","0","0","2356","2673","2673","2989","","","","1","311","1","0",
"07/31/2016","12:21:02","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/js/jquery.min.js","200","773","330","3003","319","30314","29902","","","Mon, 31 Jul 2017 12:21:07 GMT","max-age=31536000","application/javascript","gzip","3","70","","3776","","","","","","","","","","","12","100","0","100","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","30314","0","0","0","0","0","31536000","","","1","","0","0","2355","2678","2678","3002","","","","1","311","1","0",
