Date;Time;Event Name;IP Address;Action;Host;URL;Response Code;Time to Load (ms);Time to First Byte (ms);Start Time (ms);Bytes Out;Bytes In;Object Size;Cookie Size (out);Cookie Count(out);Expires;Cache Control;Content Type;Content Encoding;Transaction Type;Socket ID;Document ID;End Time (ms);Descriptor;Lab ID;Dialer ID;Connection Type;Cached;Event URL;Pagetest Build;Measurement Type;Experimental;Event GUID;Sequence Number;Cache Score;Static CDN Score;GZIP Score;Cookie Score;Keep-Alive Score;DOCTYPE Score;Minify Score;Combine Score;Compression Score;ETag Score;Flagged;Secure;DNS Time;Connect Time;SSL Time;Gzip Total Bytes;Gzip Savings;Minify Total Bytes;Minify Savings;Image Total Bytes;Image Savings;Cache Time (sec);Real Start Time (ms);Full Time to Load (ms);Optimization Checked;CDN Provider;DNS Start;DNS End;Connect Start;Connect End;SSL Negotiation Start;SSL Negotiation End;Initiator;Initiator Line;Initiator Column;Server Count;Server RTT;Run;Cached
07/25/2016;18:07:12;Step 1;93.184.220.29;POST;ocsp.digicert.com;/;200;315;315;211;444;788;471;;;Mon, 01 Aug 2016 06:07:07 GMT;max-age=510896;application/ocsp-response;;3;19;;526;;;;;;;;;;;1;50;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;-1;-1;-1;0;0;0;0;0;0;561600;;;1;Edgecast;0;0;0;0;0;0;;;;1;309;1;0
07/25/2016;18:07:12;Step 1;54.69.136.250;GET;search.services.mozilla.com;/1/firefox/47.0/release/en-US/DE/default/default;200;471;471;312;393;302;169;;;;;application/json;;3;30;;783;;;;;;;;;;;2;0;-1;-1;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;0;;;1;;0;0;0;0;0;0;;;;3;464;1;0
07/25/2016;18:07:12;Step 1;193.174.13.86;POST;ocsp.pca.dfn.de;/OCSP-Server/OCSP;200;346;345;1661;449;1894;1498;;;Thu, 04 Aug 2016 18:07:08 GMT;max-age=864000, public, no-transform, must-revalidate;application/ocsp-response;;3;56;;2007;;;;;;;;;;;3;100;-1;-1;-1;100;-1;-1;-1;-1;-1;0;0;-1;-1;-1;0;0;0;0;0;0;864000;;;1;;987;1340;1340;1661;0;0;;;;1;320;1;0
07/25/2016;18:07:12;Step 1;193.174.13.86;POST;ocsp.pca.dfn.de;/OCSP-Server/OCSP;200;351;350;1663;449;1894;1498;;;Thu, 04 Aug 2016 18:07:08 GMT;max-age=864000, public, no-transform, must-revalidate;application/ocsp-response;;3;57;;2014;;;;;;;;;;;4;100;-1;-1;-1;100;-1;-1;-1;-1;-1;0;0;-1;-1;-1;0;0;0;0;0;0;864000;;;1;;0;0;1340;1663;0;0;;;;1;320;1;0
07/25/2016;18:07:12;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/dozenten.html;200;333;322;2009;172;7083;6930;;;Mon, 25 Jul 2016 19:07:09 GMT;max-age=3600;text/html;gzip;3;52;;2342;;;;;;;;;;;5;50;-1;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;3600;;;1;;0;322;322;636;637;1293;;;;1;313;1;0
07/25/2016;18:07:12;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/style.css;200;320;318;2388;74;1643;1538;;;Tue, 25 Jul 2017 18:07:09 GMT;max-age=31536000;text/css;gzip;3;52;;2708;;;;;;;;;;;6;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;0;0;0;;;;1;313;1;0
07/25/2016;18:07:12;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/http1/stylehttp1.css;200;327;322;2388;32;4248;4186;;;Tue, 25 Jul 2017 18:07:09 GMT;max-age=31536000;text/css;gzip;3;52;;2715;;;;;;;;;;;7;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;0;0;0;;;;1;313;1;0
07/25/2016;18:07:12;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/http1/bootstrap.css;200;654;330;2388;32;21300;21237;;;Tue, 25 Jul 2017 18:07:09 GMT;max-age=31536000;text/css;gzip;3;52;;3042;;;;;;;;;;;8;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;0;0;0;;;;1;313;1;0
07/25/2016;18:07:12;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/uploads/logos/logo-hdm.png;200;661;661;2389;40;703;605;;;Wed, 24 Aug 2016 18:07:09 GMT;max-age=2592000;image/png;;3;52;;3050;;;;;;;;;;;9;100;0;-1;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;2592000;;;1;;0;0;0;0;0;0;;;;1;313;1;0
07/25/2016;18:07:12;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/uploads/sponsoren/united-internet.png;200;686;662;2389;42;9948;9892;;;Wed, 24 Aug 2016 18:07:09 GMT;max-age=2592000;image/png;;3;52;;3075;;;;;;;;;;;10;100;0;-1;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;2592000;;;1;;0;0;0;0;0;0;;;;1;313;1;0
