Date;Time;Event Name;IP Address;Action;Host;URL;Response Code;Time to Load (ms);Time to First Byte (ms);Start Time (ms);Bytes Out;Bytes In;Object Size;Cookie Size (out);Cookie Count(out);Expires;Cache Control;Content Type;Content Encoding;Transaction Type;Socket ID;Document ID;End Time (ms);Descriptor;Lab ID;Dialer ID;Connection Type;Cached;Event URL;Pagetest Build;Measurement Type;Experimental;Event GUID;Sequence Number;Cache Score;Static CDN Score;GZIP Score;Cookie Score;Keep-Alive Score;DOCTYPE Score;Minify Score;Combine Score;Compression Score;ETag Score;Flagged;Secure;DNS Time;Connect Time;SSL Time;Gzip Total Bytes;Gzip Savings;Minify Total Bytes;Minify Savings;Image Total Bytes;Image Savings;Cache Time (sec);Real Start Time (ms);Full Time to Load (ms);Optimization Checked;CDN Provider;DNS Start;DNS End;Connect Start;Connect End;SSL Negotiation Start;SSL Negotiation End;Initiator;Initiator Line;Initiator Column;Server Count;Server RTT;Run;Cached
07/25/2016;17:06:34;Step 1;93.184.220.29;POST;ocsp.digicert.com;/;200;314;314;3;444;788;471;;;Mon, 01 Aug 2016 05:06:30 GMT;max-age=515182;application/ocsp-response;;3;18;;317;;;;;;;;;;;1;50;-1;-1;-1;100;-1;-1;-1;-1;-1;0;0;-1;-1;-1;0;0;0;0;0;0;561600;;;1;Edgecast;0;0;0;0;0;0;;;;1;309;1;0
07/25/2016;17:06:34;Step 1;93.184.220.29;POST;ocsp.digicert.com;/;200;314;314;244;444;788;471;;;Mon, 01 Aug 2016 05:06:30 GMT;max-age=517048;application/ocsp-response;;3;19;;558;;;;;;;;;;;2;50;-1;-1;-1;100;-1;-1;-1;-1;-1;0;0;-1;-1;-1;0;0;0;0;0;0;561600;;;1;Edgecast;0;0;0;0;0;0;;;;1;309;1;0
07/25/2016;17:06:34;Step 1;54.69.136.250;GET;search.services.mozilla.com;/1/firefox/47.0/release/en-US/DE/default/default;200;471;471;319;393;302;169;;;;;application/json;;3;31;;790;;;;;;;;;;;3;0;-1;-1;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;0;;;1;;0;0;0;0;0;0;;;;3;464;1;0
07/25/2016;17:06:34;Step 1;193.174.13.86;POST;ocsp.pca.dfn.de;/OCSP-Server/OCSP;200;349;348;1624;449;1894;1498;;;Thu, 04 Aug 2016 17:06:31 GMT;max-age=864000, public, no-transform, must-revalidate;application/ocsp-response;;3;58;;1973;;;;;;;;;;;4;100;-1;-1;-1;100;-1;-1;-1;-1;-1;0;0;-1;-1;-1;0;0;0;0;0;0;864000;;;1;;961;1300;1300;1624;0;0;;;;1;321;1;0
07/25/2016;17:06:34;Step 1;193.174.13.86;POST;ocsp.pca.dfn.de;/OCSP-Server/OCSP;200;353;352;1624;449;1894;1498;;;Thu, 04 Aug 2016 17:06:31 GMT;max-age=864000, public, no-transform, must-revalidate;application/ocsp-response;;3;57;;1977;;;;;;;;;;;5;100;-1;-1;-1;100;-1;-1;-1;-1;-1;0;0;-1;-1;-1;0;0;0;0;0;0;864000;;;1;;0;0;1300;1624;0;0;;;;1;321;1;0
07/25/2016;17:06:34;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/dozenten.html;200;332;322;1975;172;7081;6928;;;Mon, 25 Jul 2016 18:06:32 GMT;max-age=3600;text/html;gzip;3;53;;2307;;;;;;;;;;;6;50;-1;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;3600;;;1;;0;308;308;622;622;1275;;;;1;313;1;0
07/25/2016;17:06:34;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/style.css;200;319;318;2359;74;1643;1538;;;Tue, 25 Jul 2017 17:06:32 GMT;max-age=31536000;text/css;gzip;3;53;;2678;;;;;;;;;;;7;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;0;0;0;;;;1;313;1;0
07/25/2016;17:06:34;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/http2/stylehttp2.css;200;325;324;2359;32;2017;1955;;;Tue, 25 Jul 2017 17:06:32 GMT;max-age=31536000;text/css;gzip;3;53;;2684;;;;;;;;;;;8;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;0;0;0;;;;1;313;1;0
07/25/2016;17:06:34;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/http2/menu.css;200;319;319;2368;28;1269;1207;;;Tue, 25 Jul 2017 17:06:32 GMT;max-age=31536000;text/css;gzip;3;53;;2687;;;;;;;;;;;9;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;0;0;0;;;;1;313;1;0
07/25/2016;17:06:34;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/http2/footer.css;200;320;320;2368;30;517;456;;;Tue, 25 Jul 2017 17:06:32 GMT;max-age=31536000;text/css;gzip;3;53;;2688;;;;;;;;;;;10;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;0;0;0;;;;1;313;1;0
