"Date","Time","Event Name","IP Address","Action","Host","URL","Response Code","Time to Load (ms)","Time to First Byte (ms)","Start Time (ms)","Bytes Out","Bytes In","Object Size","Cookie Size (out)","Cookie Count(out)","Expires","Cache Control","Content Type","Content Encoding","Transaction Type","Socket ID","Document ID","End Time (ms)","Descriptor","Lab ID","Dialer ID","Connection Type","Cached","Event URL","Pagetest Build","Measurement Type","Experimental","Event GUID","Sequence Number","Cache Score","Static CDN Score","GZIP Score","Cookie Score","Keep-Alive Score","DOCTYPE Score","Minify Score","Combine Score","Compression Score","ETag Score","Flagged","Secure","DNS Time","Connect Time","SSL Time","Gzip Total Bytes","Gzip Savings","Minify Total Bytes","Minify Savings","Image Total Bytes","Image Savings","Cache Time (sec)","Real Start Time (ms)","Full Time to Load (ms)","Optimization Checked","CDN Provider","DNS Start","DNS End","Connect Start","Connect End","SSL Negotiation Start","SSL Negotiation End","Initiator","Initiator Line","Initiator Column","Server Count","Server RTT","Run","Cached"
"07/26/2016","18:47:25","Step 1","93.184.220.29","POST","ocsp.digicert.com","/","200","313","313","57","444","788","471","","","Tue, 02 Aug 2016 06:47:25 GMT","max-age=502699","application/ocsp-response","","3","18","","370","","","","","","","","","","","1","50","-1","-1","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","-1","0","0","0","0","0","0","561600","","","1","Edgecast","0","0","0","0","0","0","","","","1","309","1","0",
"07/26/2016","18:47:25","Step 1","93.184.220.29","POST","ocsp.digicert.com","/","200","313","313","305","444","788","471","","","Tue, 02 Aug 2016 06:47:26 GMT","max-age=515036","application/ocsp-response","","3","19","","618","","","","","","","","","","","2","50","-1","-1","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","-1","0","0","0","0","0","0","561600","","","1","Edgecast","0","0","0","0","0","0","","","","1","309","1","0",
"07/26/2016","18:47:25","Step 1","54.149.54.54","GET","search.services.mozilla.com","/1/firefox/47.0/release/en-US/DE/default/default","200","474","474","372","393","302","169","","","","","application/json","","3","31","","846","","","","","","","","","","","3","0","-1","-1","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","0","0","0","0","0","0","0","","","1","","0","0","0","0","0","0","","","","3","464","1","0",
"07/26/2016","18:47:25","Step 1","193.174.13.86","POST","ocsp.pca.dfn.de","/OCSP-Server/OCSP","200","344","343","1594","449","1894","1498","","","Fri, 05 Aug 2016 18:47:27 GMT","max-age=864000, public, no-transform, must-revalidate","application/ocsp-response","","3","57","","1938","","","","","","","","","","","4","100","-1","-1","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","-1","0","0","0","0","0","0","864000","","","1","","963","1271","1271","1593","0","0","","","","1","319","1","0",
"07/26/2016","18:47:25","Step 1","193.174.13.86","POST","ocsp.pca.dfn.de","/OCSP-Server/OCSP","200","353","352","1599","449","1894","1498","","","Fri, 05 Aug 2016 18:47:27 GMT","max-age=864000, public, no-transform, must-revalidate","application/ocsp-response","","3","58","","1952","","","","","","","","","","","5","100","-1","-1","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","-1","0","0","0","0","0","0","864000","","","1","","0","0","1272","1599","0","0","","","","1","319","1","0",
"07/26/2016","18:47:25","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/dozenten2.html","200","358","331","1941","173","9029","7173","","","Tue, 26 Jul 2016 19:47:27 GMT","max-age=3600","text/html","gzip","3","53","","2299","","","","","","","","","","","6","50","-1","100","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","0","0","0","0","0","0","3600","","","1","","0","309","309","622","623","1278","","","","1","312","1","0",
"07/26/2016","18:47:25","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/css/style.css","200","327","326","2265","0","1693","1538","","","Wed, 26 Jul 2017 18:47:27 GMT","max-age=31536000","text/css","gzip","3","53","","2592","","","","","","","","","","","7","100","0","100","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","0","0","0","0","0","0","31536000","","","1","","0","0","0","0","0","0","","","","1","312","1","0",
"07/26/2016","18:47:25","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/css/http2/stylehttp2.css","200","332","326","2265","0","2017","1955","","","Wed, 26 Jul 2017 18:47:27 GMT","max-age=31536000","text/css","gzip","3","53","","2597","","","","","","","","","","","8","100","0","100","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","0","0","0","0","0","0","31536000","","","1","","0","0","0","0","0","0","","","","1","312","1","0",
"07/26/2016","18:47:25","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/css/http2/menu.css","200","339","327","2265","0","1269","1207","","","Wed, 26 Jul 2017 18:47:27 GMT","max-age=31536000","text/css","gzip","3","53","","2604","","","","","","","","","","","9","100","0","100","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","0","0","0","0","0","0","31536000","","","1","","0","0","0","0","0","0","","","","1","312","1","0",
"07/26/2016","18:47:25","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/css/http2/team2.css","200","340","339","2265","0","1217","1155","","","Wed, 26 Jul 2017 18:47:27 GMT","max-age=31536000","text/css","gzip","3","53","","2605","","","","","","","","","","","10","100","0","100","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","0","0","0","0","0","0","31536000","","","1","","0","0","0","0","0","0","","","","1","312","1","0",
"07/26/2016","18:47:25","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/css/http2/footer.css","200","340","340","2265","0","517","456","","","Wed, 26 Jul 2017 18:47:27 GMT","max-age=31536000","text/css","gzip","3","53","","2605","","","","","","","","","","","11","100","0","100","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","0","0","0","0","0","0","31536000","","","1","","0","0","0","0","0","0","","","","1","312","1","0",
"07/26/2016","18:47:25","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/css/http2/bootstrap1.css","200","363","339","2266","0","8210","8148","","","Wed, 26 Jul 2017 18:47:27 GMT","max-age=31536000","text/css","gzip","3","53","","2629","","","","","","","","","","","12","100","0","100","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","0","0","0","0","0","0","31536000","","","1","","0","0","0","0","0","0","","","","1","312","1","0",
"07/26/2016","18:47:25","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/css/http2/bootstrap2.css","200","371","364","2266","0","7158","7096","","","Wed, 26 Jul 2017 18:47:27 GMT","max-age=31536000","text/css","gzip","3","53","","2637","","","","","","","","","","","13","100","0","100","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","0","0","0","0","0","0","31536000","","","1","","0","0","0","0","0","0","","","","1","312","1","0",
"07/26/2016","18:47:25","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/css/http2/bootstrap3.css","200","644","373","2266","0","7213","7151","","","Wed, 26 Jul 2017 18:47:27 GMT","max-age=31536000","text/css","gzip","3","53","","2910","","","","","","","","","","","14","100","0","100","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","0","0","0","0","0","0","31536000","","","1","","0","0","0","0","0","0","","","","1","312","1","0",
"07/26/2016","18:47:25","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/uploads/professoren/20.jpg","200","666","648","2266","0","4118","4019","","","Thu, 25 Aug 2016 18:47:27 GMT","max-age=2592000","image/jpeg","","3","53","","2932","","","","","","","","","","","15","100","0","-1","-1","100","-1","-1","-1","64","-1","0","1","-1","-1","-1","0","0","0","0","4019","1445","2592000","","","1","","0","0","0","0","0","0","","","","1","312","1","0",
"07/26/2016","18:47:25","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/uploads/professoren/1.jpg","200","667","649","2266","0","4452","4419","","","Thu, 25 Aug 2016 18:47:27 GMT","max-age=2592000","image/jpeg","","3","53","","2933","","","","","","","","","","","16","100","0","-1","-1","100","-1","-1","-1","60","-1","0","1","-1","-1","-1","0","0","0","0","4419","1743","2592000","","","1","","0","0","0","0","0","0","","","","1","312","1","0",
"07/26/2016","18:47:25","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/uploads/professoren/2.jpg","200","680","649","2266","0","3926","3894","","","Thu, 25 Aug 2016 18:47:27 GMT","max-age=2592000","image/jpeg","","3","53","","2946","","","","","","","","","","","17","100","0","-1","-1","100","-1","-1","-1","63","-1","0","1","-1","-1","-1","0","0","0","0","3894","1425","2592000","","","1","","0","0","0","0","0","0","","","","1","312","1","0",
"07/26/2016","18:47:25","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/uploads/professoren/3.jpg","200","682","681","2266","0","4348","4315","","","Thu, 25 Aug 2016 18:47:27 GMT","max-age=2592000","image/jpeg","","3","53","","2948","","","","","","","","","","","18","100","0","-1","-1","100","-1","-1","-1","58","-1","0","1","-1","-1","-1","0","0","0","0","4315","1779","2592000","","","1","","0","0","0","0","0","0","","","","1","312","1","0",
"07/26/2016","18:47:25","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/uploads/professoren/4.jpg","200","685","681","2266","0","3277","3245","","","Thu, 25 Aug 2016 18:47:27 GMT","max-age=2592000","image/jpeg","","3","53","","2951","","","","","","","","","","","19","100","0","-1","-1","100","-1","-1","-1","69","-1","0","1","-1","-1","-1","0","0","0","0","3245","996","2592000","","","1","","0","0","0","0","0","0","","","","1","312","1","0",
"07/26/2016","18:47:25","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/uploads/professoren/5.jpg","200","696","680","2267","0","3465","3433","","","Thu, 25 Aug 2016 18:47:27 GMT","max-age=2592000","image/jpeg","","3","53","","2963","","","","","","","","","","","20","100","0","-1","-1","100","-1","-1","-1","69","-1","0","1","-1","-1","-1","0","0","0","0","3433","1042","2592000","","","1","","0","0","0","0","0","0","","","","1","312","1","0",
"07/26/2016","18:47:25","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/uploads/professoren/6.jpg","200","735","680","2267","0","3406","3374","","","Thu, 25 Aug 2016 18:47:27 GMT","max-age=2592000","image/jpeg","","3","53","","3002","","","","","","","","","","","21","100","0","-1","-1","100","-1","-1","-1","69","-1","0","1","-1","-1","-1","0","0","0","0","3374","1014","2592000","","","1","","0","0","0","0","0","0","","","","1","312","1","0",
"07/26/2016","18:47:25","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/uploads/professoren/7.jpg","200","745","735","2267","0","4044","4012","","","Thu, 25 Aug 2016 18:47:27 GMT","max-age=2592000","image/jpeg","","3","53","","3012","","","","","","","","","","","22","100","0","-1","-1","100","-1","-1","-1","61","-1","0","1","-1","-1","-1","0","0","0","0","4012","1543","2592000","","","1","","0","0","0","0","0","0","","","","1","312","1","0",
"07/26/2016","18:47:25","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/uploads/professoren/8.jpg","200","746","735","2267","0","4440","4407","","","Thu, 25 Aug 2016 18:47:27 GMT","max-age=2592000","image/jpeg","","3","53","","3013","","","","","","","","","","","23","100","0","-1","-1","100","-1","-1","-1","61","-1","0","1","-1","-1","-1","0","0","0","0","4407","1703","2592000","","","1","","0","0","0","0","0","0","","","","1","312","1","0",
"07/26/2016","18:47:25","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/uploads/professoren/9.jpg","200","746","735","2267","0","4294","4262","","","Thu, 25 Aug 2016 18:47:27 GMT","max-age=2592000","image/jpeg","","3","53","","3013","","","","","","","","","","","24","100","0","-1","-1","100","-1","-1","-1","59","-1","0","1","-1","-1","-1","0","0","0","0","4262","1710","2592000","","","1","","0","0","0","0","0","0","","","","1","312","1","0",
"07/26/2016","18:47:25","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/uploads/professoren/10.jpg","200","747","744","2267","0","3957","3925","","","Thu, 25 Aug 2016 18:47:27 GMT","max-age=2592000","image/jpeg","","3","53","","3014","","","","","","","","","","","25","100","0","-1","-1","100","-1","-1","-1","60","-1","0","1","-1","-1","-1","0","0","0","0","3925","1562","2592000","","","1","","0","0","0","0","0","0","","","","1","312","1","0",
"07/26/2016","18:47:25","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/uploads/professoren/11.jpg","200","777","744","2267","0","3943","3911","","","Thu, 25 Aug 2016 18:47:27 GMT","max-age=2592000","image/jpeg","","3","53","","3044","","","","","","","","","","","26","100","0","-1","-1","100","-1","-1","-1","61","-1","0","1","-1","-1","-1","0","0","0","0","3911","1514","2592000","","","1","","0","0","0","0","0","0","","","","1","312","1","0",
"07/26/2016","18:47:25","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/uploads/professoren/12.jpg","200","779","777","2267","0","4718","4686","","","Thu, 25 Aug 2016 18:47:27 GMT","max-age=2592000","image/jpeg","","3","53","","3046","","","","","","","","","","","27","100","0","-1","-1","100","-1","-1","-1","60","-1","0","1","-1","-1","-1","0","0","0","0","4686","1869","2592000","","","1","","0","0","0","0","0","0","","","","1","312","1","0",
"07/26/2016","18:47:25","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/uploads/professoren/13.jpg","200","964","776","2268","0","3758","3726","","","Thu, 25 Aug 2016 18:47:27 GMT","max-age=2592000","image/jpeg","","3","53","","3232","","","","","","","","","","","28","100","0","-1","-1","100","-1","-1","-1","62","-1","0","1","-1","-1","-1","0","0","0","0","3726","1387","2592000","","","1","","0","0","0","0","0","0","","","","1","312","1","0",
