"Date","Time","Event Name","IP Address","Action","Host","URL","Response Code","Time to Load (ms)","Time to First Byte (ms)","Start Time (ms)","Bytes Out","Bytes In","Object Size","Cookie Size (out)","Cookie Count(out)","Expires","Cache Control","Content Type","Content Encoding","Transaction Type","Socket ID","Document ID","End Time (ms)","Descriptor","Lab ID","Dialer ID","Connection Type","Cached","Event URL","Pagetest Build","Measurement Type","Experimental","Event GUID","Sequence Number","Cache Score","Static CDN Score","GZIP Score","Cookie Score","Keep-Alive Score","DOCTYPE Score","Minify Score","Combine Score","Compression Score","ETag Score","Flagged","Secure","DNS Time","Connect Time","SSL Time","Gzip Total Bytes","Gzip Savings","Minify Total Bytes","Minify Savings","Image Total Bytes","Image Savings","Cache Time (sec)","Real Start Time (ms)","Full Time to Load (ms)","Optimization Checked","CDN Provider","DNS Start","DNS End","Connect Start","Connect End","SSL Negotiation Start","SSL Negotiation End","Initiator","Initiator Line","Initiator Column","Server Count","Server RTT","Run","Cached"
"07/26/2016","18:53:43","Step 1","93.184.220.29","POST","ocsp.digicert.com","/","200","314","314","233","444","788","471","","","Tue, 02 Aug 2016 06:53:44 GMT","max-age=504549","application/ocsp-response","","3","21","","547","","","","","","","","","","","1","50","-1","-1","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","-1","0","0","0","0","0","0","561600","","","1","Edgecast","0","0","0","0","0","0","","","","1","309","1","0",
"07/26/2016","18:53:43","Step 1","93.184.220.29","POST","ocsp.digicert.com","/","200","316","316","508","444","788","471","","","Tue, 02 Aug 2016 06:53:44 GMT","max-age=508302","application/ocsp-response","","3","22","","824","","","","","","","","","","","2","50","-1","-1","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","-1","0","0","0","0","0","0","561600","","","1","Edgecast","0","0","0","0","0","0","","","","1","309","1","0",
"07/26/2016","18:53:43","Step 1","54.149.54.54","GET","search.services.mozilla.com","/1/firefox/47.0/release/en-US/DE/default/default","200","470","470","548","393","302","169","","","","","application/json","","3","31","","1018","","","","","","","","","","","3","0","-1","-1","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","0","0","0","0","0","0","0","","","1","","0","0","0","0","0","0","","","","3","470","1","0",
"07/26/2016","18:53:43","Step 1","193.174.13.86","POST","ocsp.pca.dfn.de","/OCSP-Server/OCSP","200","346","345","1592","449","1894","1498","","","Fri, 05 Aug 2016 18:53:45 GMT","max-age=864000, public, no-transform, must-revalidate","application/ocsp-response","","3","59","","1938","","","","","","","","","","","4","100","-1","-1","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","-1","0","0","0","0","0","0","864000","","","1","","962","1269","1270","1592","0","0","","","","1","321","1","0",
"07/26/2016","18:53:43","Step 1","193.174.13.86","POST","ocsp.pca.dfn.de","/OCSP-Server/OCSP","200","360","359","1597","449","1894","1498","","","Fri, 05 Aug 2016 18:53:45 GMT","max-age=864000, public, no-transform, must-revalidate","application/ocsp-response","","3","58","","1957","","","","","","","","","","","5","100","-1","-1","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","-1","0","0","0","0","0","0","864000","","","1","","0","0","1270","1597","0","0","","","","1","321","1","0",
"07/26/2016","18:53:43","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/dozenten2.html","200","350","332","1940","173","9031","7173","","","Tue, 26 Jul 2016 19:53:46 GMT","max-age=3600","text/html","gzip","3","53","","2290","","","","","","","","","","","6","50","-1","100","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","0","0","0","0","0","0","3600","","","1","","0","309","309","623","623","1277","","","","1","313","1","0",
"07/26/2016","18:53:43","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/css/style.css","200","325","324","2265","0","1695","1538","","","Wed, 26 Jul 2017 18:53:46 GMT","max-age=31536000","text/css","gzip","3","53","","2590","","","","","","","","","","","7","100","0","100","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","0","0","0","0","0","0","31536000","","","1","","0","0","0","0","0","0","","","","1","313","1","0",
"07/26/2016","18:53:43","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/css/http2/stylehttp2.css","200","325","324","2265","0","2017","1955","","","Wed, 26 Jul 2017 18:53:46 GMT","max-age=31536000","text/css","gzip","3","53","","2590","","","","","","","","","","","8","100","0","100","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","0","0","0","0","0","0","31536000","","","1","","0","0","0","0","0","0","","","","1","313","1","0",
"07/26/2016","18:53:43","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/css/http2/menu.css","200","325","324","2266","0","1269","1207","","","Wed, 26 Jul 2017 18:53:46 GMT","max-age=31536000","text/css","gzip","3","53","","2591","","","","","","","","","","","9","100","0","100","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","0","0","0","0","0","0","31536000","","","1","","0","0","0","0","0","0","","","","1","313","1","0",
"07/26/2016","18:53:43","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/css/http2/team2.css","200","341","341","2266","0","1217","1155","","","Wed, 26 Jul 2017 18:53:46 GMT","max-age=31536000","text/css","gzip","3","53","","2607","","","","","","","","","","","10","100","0","100","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","0","0","0","0","0","0","31536000","","","1","","0","0","0","0","0","0","","","","1","313","1","0",
