"Date","Time","Event Name","IP Address","Action","Host","URL","Response Code","Time to Load (ms)","Time to First Byte (ms)","Start Time (ms)","Bytes Out","Bytes In","Object Size","Cookie Size (out)","Cookie Count(out)","Expires","Cache Control","Content Type","Content Encoding","Transaction Type","Socket ID","Document ID","End Time (ms)","Descriptor","Lab ID","Dialer ID","Connection Type","Cached","Event URL","Pagetest Build","Measurement Type","Experimental","Event GUID","Sequence Number","Cache Score","Static CDN Score","GZIP Score","Cookie Score","Keep-Alive Score","DOCTYPE Score","Minify Score","Combine Score","Compression Score","ETag Score","Flagged","Secure","DNS Time","Connect Time","SSL Time","Gzip Total Bytes","Gzip Savings","Minify Total Bytes","Minify Savings","Image Total Bytes","Image Savings","Cache Time (sec)","Real Start Time (ms)","Full Time to Load (ms)","Optimization Checked","CDN Provider","DNS Start","DNS End","Connect Start","Connect End","SSL Negotiation Start","SSL Negotiation End","Initiator","Initiator Line","Initiator Column","Server Count","Server RTT","Run","Cached"
"07/26/2016","18:34:38","Step 1","93.184.220.29","POST","ocsp.digicert.com","/","200","313","313","24","444","788","471","","","Tue, 02 Aug 2016 06:34:39 GMT","max-age=508302","application/ocsp-response","","3","17","","337","","","","","","","","","","","1","50","-1","-1","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","-1","0","0","0","0","0","0","561600","","","1","Edgecast","0","0","0","0","0","0","","","","1","308","1","0",
"07/26/2016","18:34:38","Step 1","93.184.220.29","POST","ocsp.digicert.com","/","200","314","314","285","444","788","471","","","Tue, 02 Aug 2016 06:34:39 GMT","max-age=515036","application/ocsp-response","","3","19","","599","","","","","","","","","","","2","50","-1","-1","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","-1","0","0","0","0","0","0","561600","","","1","Edgecast","0","0","0","0","0","0","","","","1","308","1","0",
"07/26/2016","18:34:38","Step 1","54.149.54.54","GET","search.services.mozilla.com","/1/firefox/47.0/release/en-US/DE/default/default","200","470","470","339","393","302","169","","","","","application/json","","3","31","","809","","","","","","","","","","","3","0","-1","-1","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","0","0","0","0","0","0","0","","","1","","0","0","0","0","0","0","","","","3","462","1","0",
"07/26/2016","18:34:38","Step 1","193.174.13.86","POST","ocsp.pca.dfn.de","/OCSP-Server/OCSP","200","338","337","1611","449","1893","1498","","","Fri, 05 Aug 2016 18:34:40 GMT","max-age=864000, public, no-transform, must-revalidate","application/ocsp-response","","3","58","","1949","","","","","","","","","","","4","100","-1","-1","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","-1","0","0","0","0","0","0","864000","","","1","","972","1283","1284","1611","0","0","","","","1","320","1","0",
"07/26/2016","18:34:38","Step 1","193.174.13.86","POST","ocsp.pca.dfn.de","/OCSP-Server/OCSP","200","355","354","1612","449","1894","1498","","","Fri, 05 Aug 2016 18:34:40 GMT","max-age=864000, public, no-transform, must-revalidate","application/ocsp-response","","3","57","","1967","","","","","","","","","","","5","100","-1","-1","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","-1","0","0","0","0","0","0","864000","","","1","","0","0","1284","1611","0","0","","","","1","320","1","0",
"07/26/2016","18:34:38","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/dozenten2.html","200","342","323","1951","173","7575","7173","","","Tue, 26 Jul 2016 19:34:41 GMT","max-age=3600","text/html","gzip","3","53","","2293","","","","","","","","","","","6","50","-1","100","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","0","0","0","0","0","0","3600","","","1","","0","308","308","622","622","1278","","","","1","313","1","0",
"07/26/2016","18:34:38","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/css/style.css","200","20","20","2273","0","1643","1538","","","Wed, 26 Jul 2017 18:34:41 GMT","max-age=31536000","text/css","gzip","3","53","","2293","","","","","","","","","","","7","100","0","100","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","0","0","0","0","0","0","31536000","","","1","","0","0","0","0","0","0","","","","1","313","1","0",
"07/26/2016","18:34:38","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/css/http2/stylehttp2.css","200","329","325","2273","0","2017","1955","","","Wed, 26 Jul 2017 18:34:41 GMT","max-age=31536000","text/css","gzip","3","53","","2602","","","","","","","","","","","8","100","0","100","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","0","0","0","0","0","0","31536000","","","1","","0","0","0","0","0","0","","","","1","313","1","0",
"07/26/2016","18:34:38","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/css/http2/menu.css","200","330","330","2274","0","1269","1207","","","Wed, 26 Jul 2017 18:34:41 GMT","max-age=31536000","text/css","gzip","3","53","","2604","","","","","","","","","","","9","100","0","100","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","0","0","0","0","0","0","31536000","","","1","","0","0","0","0","0","0","","","","1","313","1","0",
"07/26/2016","18:34:38","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/css/http2/team2.css","200","332","332","2274","0","1217","1155","","","Wed, 26 Jul 2017 18:34:41 GMT","max-age=31536000","text/css","gzip","3","53","","2606","","","","","","","","","","","10","100","0","100","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","0","0","0","0","0","0","31536000","","","1","","0","0","0","0","0","0","","","","1","313","1","0",
