"Date","Time","Event Name","IP Address","Action","Host","URL","Response Code","Time to Load (ms)","Time to First Byte (ms)","Start Time (ms)","Bytes Out","Bytes In","Object Size","Cookie Size (out)","Cookie Count(out)","Expires","Cache Control","Content Type","Content Encoding","Transaction Type","Socket ID","Document ID","End Time (ms)","Descriptor","Lab ID","Dialer ID","Connection Type","Cached","Event URL","Pagetest Build","Measurement Type","Experimental","Event GUID","Sequence Number","Cache Score","Static CDN Score","GZIP Score","Cookie Score","Keep-Alive Score","DOCTYPE Score","Minify Score","Combine Score","Compression Score","ETag Score","Flagged","Secure","DNS Time","Connect Time","SSL Time","Gzip Total Bytes","Gzip Savings","Minify Total Bytes","Minify Savings","Image Total Bytes","Image Savings","Cache Time (sec)","Real Start Time (ms)","Full Time to Load (ms)","Optimization Checked","CDN Provider","DNS Start","DNS End","Connect Start","Connect End","SSL Negotiation Start","SSL Negotiation End","Initiator","Initiator Line","Initiator Column","Server Count","Server RTT","Run","Cached"
"07/26/2016","17:52:26","Step 1","93.184.220.29","POST","ocsp.digicert.com","/","200","314","314","28","444","788","471","","","Tue, 02 Aug 2016 05:52:27 GMT","max-age=512671","application/ocsp-response","","3","18","","342","","","","","","","","","","","1","50","-1","-1","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","-1","0","0","0","0","0","0","561600","","","1","Edgecast","0","0","0","0","0","0","","","","1","309","1","0",
"07/26/2016","17:52:26","Step 1","93.184.220.29","POST","ocsp.digicert.com","/","200","319","319","268","444","788","471","","","Tue, 02 Aug 2016 05:52:27 GMT","max-age=515036","application/ocsp-response","","3","19","","587","","","","","","","","","","","2","50","-1","-1","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","-1","0","0","0","0","0","0","561600","","","1","Edgecast","0","0","0","0","0","0","","","","1","309","1","0",
"07/26/2016","17:52:26","Step 1","54.69.136.250","GET","search.services.mozilla.com","/1/firefox/47.0/release/en-US/DE/default/default","200","470","470","344","393","302","169","","","","","application/json","","3","31","","814","","","","","","","","","","","3","0","-1","-1","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","0","0","0","0","0","0","0","","","1","","0","0","0","0","0","0","","","","3","463","1","0",
"07/26/2016","17:52:26","Step 1","193.174.13.86","POST","ocsp.pca.dfn.de","/OCSP-Server/OCSP","200","346","345","1595","449","1894","1498","","","Fri, 05 Aug 2016 17:52:28 GMT","max-age=864000, public, no-transform, must-revalidate","application/ocsp-response","","3","58","","1941","","","","","","","","","","","4","100","-1","-1","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","-1","0","0","0","0","0","0","864000","","","1","","963","1273","1273","1595","0","0","","","","1","320","1","0",
"07/26/2016","17:52:26","Step 1","193.174.13.86","POST","ocsp.pca.dfn.de","/OCSP-Server/OCSP","200","351","350","1601","449","1894","1498","","","Fri, 05 Aug 2016 17:52:28 GMT","max-age=864000, public, no-transform, must-revalidate","application/ocsp-response","","3","57","","1952","","","","","","","","","","","5","100","-1","-1","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","-1","0","0","0","0","0","0","864000","","","1","","0","0","1273","1601","0","0","","","","1","320","1","0",
"07/26/2016","17:52:26","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/","200","339","322","1944","163","3895","3436","","","Tue, 26 Jul 2016 18:52:29 GMT","max-age=3600","text/html","gzip","3","53","","2283","","","","","","","","","","","6","50","-1","100","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","0","0","0","0","0","0","3600","","","1","","0","309","309","622","623","1278","","","","1","313","1","0",
"07/26/2016","17:52:26","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/css/style.css","200","19","19","2264","0","1643","1538","","","Wed, 26 Jul 2017 17:52:29 GMT","max-age=31536000","text/css","gzip","3","53","","2283","","","","","","","","","","","7","100","0","100","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","0","0","0","0","0","0","31536000","","","1","","0","0","0","0","0","0","","","","1","313","1","0",
"07/26/2016","17:52:26","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/css/slider.css","200","18","18","2265","0","770","710","","","Wed, 26 Jul 2017 17:52:29 GMT","max-age=31536000","text/css","gzip","3","53","","2283","","","","","","","","","","","8","100","0","100","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","0","0","0","0","0","0","31536000","","","1","","0","0","0","0","0","0","","","","1","313","1","0",
"07/26/2016","17:52:26","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/css/http2/stylehttp2.css","200","19","18","2265","0","2017","1955","","","Wed, 26 Jul 2017 17:52:29 GMT","max-age=31536000","text/css","gzip","3","53","","2284","","","","","","","","","","","9","100","0","100","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","0","0","0","0","0","0","31536000","","","1","","0","0","0","0","0","0","","","","1","313","1","0",
"07/26/2016","17:52:26","Step 1","141.62.110.42","GET","im-im2.hdm-stuttgart.de","/css/http2/menu.css","200","19","19","2265","0","1269","1207","","","Wed, 26 Jul 2017 17:52:29 GMT","max-age=31536000","text/css","gzip","3","53","","2284","","","","","","","","","","","10","100","0","100","-1","100","-1","-1","-1","-1","-1","0","1","-1","-1","-1","0","0","0","0","0","0","31536000","","","1","","0","0","0","0","0","0","","","","1","313","1","0",
