Date;Time;Event Name;IP Address;Action;Host;URL;Response Code;Time to Load (ms);Time to First Byte (ms);Start Time (ms);Bytes Out;Bytes In;Object Size;Cookie Size (out);Cookie Count(out);Expires;Cache Control;Content Type;Content Encoding;Transaction Type;Socket ID;Document ID;End Time (ms);Descriptor;Lab ID;Dialer ID;Connection Type;Cached;Event URL;Pagetest Build;Measurement Type;Experimental;Event GUID;Sequence Number;Cache Score;Static CDN Score;GZIP Score;Cookie Score;Keep-Alive Score;DOCTYPE Score;Minify Score;Combine Score;Compression Score;ETag Score;Flagged;Secure;DNS Time;Connect Time;SSL Time;Gzip Total Bytes;Gzip Savings;Minify Total Bytes;Minify Savings;Image Total Bytes;Image Savings;Cache Time (sec);Real Start Time (ms);Full Time to Load (ms);Optimization Checked;CDN Provider;DNS Start;DNS End;Connect Start;Connect End;SSL Negotiation Start;SSL Negotiation End;Initiator;Initiator Line;Initiator Column;Server Count;Server RTT;Run;Cached
07/25/2016;15:48:09;Step 1;93.184.220.29;POST;ocsp.digicert.com;/;200;348;348;154;444;788;471;;;Mon, 01 Aug 2016 03:48:04 GMT;max-age=515182;application/ocsp-response;;3;18;;502;;;;;;;;;;;1;50;-1;-1;-1;100;-1;-1;-1;-1;-1;0;0;-1;-1;-1;0;0;0;0;0;0;561600;;;1;Edgecast;0;0;0;0;0;0;;;;1;309;1;0
07/25/2016;15:48:09;Step 1;93.184.220.29;POST;ocsp.digicert.com;/;200;317;317;396;444;788;471;;;Mon, 01 Aug 2016 03:48:04 GMT;max-age=517048;application/ocsp-response;;3;17;;713;;;;;;;;;;;2;50;-1;-1;-1;100;-1;-1;-1;-1;-1;0;0;-1;-1;-1;0;0;0;0;0;0;561600;;;1;Edgecast;0;0;0;0;0;0;;;;1;309;1;0
07/25/2016;15:48:09;Step 1;54.69.136.250;GET;search.services.mozilla.com;/1/firefox/47.0/release/en-US/DE/default/default;200;471;471;504;393;302;169;;;;;application/json;;3;31;;975;;;;;;;;;;;3;0;-1;-1;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;0;;;1;;0;0;0;0;0;0;;;;3;463;1;0
07/25/2016;15:48:09;Step 1;193.174.13.86;POST;ocsp.pca.dfn.de;/OCSP-Server/OCSP;200;346;345;1591;449;1894;1498;;;Thu, 04 Aug 2016 15:48:06 GMT;max-age=864000, public, no-transform, must-revalidate;application/ocsp-response;;3;58;;1937;;;;;;;;;;;4;100;-1;-1;-1;100;-1;-1;-1;-1;-1;0;0;-1;-1;-1;0;0;0;0;0;0;864000;;;1;;962;1270;1270;1591;0;0;;;;1;320;1;0
07/25/2016;15:48:09;Step 1;193.174.13.86;POST;ocsp.pca.dfn.de;/OCSP-Server/OCSP;200;335;334;1593;449;1893;1498;;;Thu, 04 Aug 2016 15:48:06 GMT;max-age=864000, public, no-transform, must-revalidate;application/ocsp-response;;3;57;;1928;;;;;;;;;;;5;100;-1;-1;-1;100;-1;-1;-1;-1;-1;0;0;-1;-1;-1;0;0;0;0;0;0;864000;;;1;;0;0;1270;1593;0;0;;;;1;320;1;0
07/25/2016;15:48:09;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/;200;327;318;1939;163;3588;3436;;;Mon, 25 Jul 2016 16:48:06 GMT;max-age=3600;text/html;gzip;3;53;;2266;;;;;;;;;;;6;50;-1;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;3600;;;1;;0;309;309;623;623;1277;;;;1;313;1;0
07/25/2016;15:48:09;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/style.css;200;317;316;2340;65;1643;1538;;;Tue, 25 Jul 2017 15:48:06 GMT;max-age=31536000;text/css;gzip;3;53;;2657;;;;;;;;;;;7;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;0;0;0;;;;1;313;1;0
07/25/2016;15:48:09;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/slider.css;200;318;318;2340;26;770;710;;;Tue, 25 Jul 2017 15:48:06 GMT;max-age=31536000;text/css;gzip;3;53;;2658;;;;;;;;;;;8;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;0;0;0;;;;1;313;1;0
07/25/2016;15:48:09;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/http2/stylehttp2.css;200;321;320;2341;32;2017;1955;;;Tue, 25 Jul 2017 15:48:06 GMT;max-age=31536000;text/css;gzip;3;53;;2662;;;;;;;;;;;9;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;0;0;0;;;;1;313;1;0
07/25/2016;15:48:09;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/http2/menu.css;200;324;324;2341;28;1269;1207;;;Tue, 25 Jul 2017 15:48:06 GMT;max-age=31536000;text/css;gzip;3;53;;2665;;;;;;;;;;;10;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;0;0;0;;;;1;313;1;0
