Date;Time;Event Name;URL;Load Time (ms);Time to First Byte (ms);unused;Bytes Out;Bytes In;DNS Lookups;Connections;Requests;OK Responses;Redirects;Not Modified;Not Found;Other Responses;Error Code;Time to Start Render (ms);Segments Transmitted;Segments Retransmitted;Packet Loss (out);Activity Time(ms);Descriptor;Lab ID;Dialer ID;Connection Type;Cached;Event URL;Pagetest Build;Measurement Type;Experimental;Doc Complete Time (ms);Event GUID;Time to DOM Element (ms);Includes Object Data;Cache Score;Static CDN Score;One CDN Score;GZIP Score;Cookie Score;Keep-Alive Score;DOCTYPE Score;Minify Score;Combine Score;Bytes Out (Doc);Bytes In (Doc);DNS Lookups (Doc);Connections (Doc);Requests (Doc);OK Responses (Doc);Redirects (Doc);Not Modified (Doc);Not Found (Doc);Other Responses (Doc);Compression Score;Host;IP Address;ETag Score;Flagged Requests;Flagged Connections;Max Simultaneous Flagged Connections;Time to Base Page Complete (ms);Base Page Result;Gzip Total Bytes;Gzip Savings;Minify Total Bytes;Minify Savings;Image Total Bytes;Image Savings;Base Page Redirects;Optimization Checked;AFT (ms);DOM Elements;PageSpeed Version;Page Title;Time to Title;Load Event Start;Load Event End;DOM Content Ready Start;DOM Content Ready End;Visually Complete (ms);Browser Name;Browser Version;Base Page Server Count;Base Page Server RTT;Base Page CDN;Adult Site;Run;Cached;Speed Index
07.12.2016;19:19:08;Step 1;https://im-im2.hdm-stuttgart.de/;1889;253;;17427;808710;2;7;39;39;0;0;0;0;0;1261;;;;1928;;;;;0;;;2;0;1889;;;1;98;0;-1;53;-1;100;-1;-1;100;17427;808020;2;7;39;39;0;0;0;0;59;;;-1;;;;254;200;459640;215448;;;197899;80962;0;1;;194;;Medienmaster;412;1885;1887;777;777;2675;Firefox;47.0.0.5999;1;44;;0;1;0;1375
07.12.2016;19:19:27;Step 1;https://im-im2.hdm-stuttgart.de/;670;1243;;4231;43548;1;5;5;5;0;0;0;0;0;672;;;;1284;;;;;1;;;2;0;670;;;1;100;-1;-1;-1;-1;100;-1;-1;100;0;0;0;0;0;0;0;0;0;0;-1;;;-1;;;;1244;200;0;0;;;0;0;0;1;;194;;Medienmaster;716;535;539;318;318;1661;Firefox;47.0.0.5999;1;42;;0;1;1;732
07.12.2016;19:19:45;Step 1;https://im-im2.hdm-stuttgart.de/;1942;282;;17427;808711;2;7;39;39;0;0;0;0;0;1324;;;;1979;;;;;0;;;2;0;1942;;;1;98;0;-1;53;-1;100;-1;-1;100;17427;808021;2;7;39;39;0;0;0;0;59;;;-1;;;;283;200;459640;215448;;;197899;80962;0;1;;194;;Medienmaster;432;1936;1951;887;887;2383;Firefox;47.0.0.5999;1;44;;0;2;0;1391
07.12.2016;19:20:03;Step 1;https://im-im2.hdm-stuttgart.de/;536;1078;;780;7573;1;1;1;1;0;0;0;0;0;766;;;;1078;;;;;1;;;2;0;536;;;1;100;-1;-1;-1;-1;100;-1;-1;100;0;0;0;0;0;0;0;0;0;0;-1;;;-1;;;;1078;200;0;0;;;0;0;0;1;;194;;Medienmaster;642;568;574;342;343;1764;Firefox;47.0.0.5999;1;44;;0;2;1;839
07.12.2016;19:20:21;Step 1;https://im-im2.hdm-stuttgart.de/;1876;281;;17427;808711;2;7;39;39;0;0;0;0;0;1221;;;;1918;;;;;0;;;2;0;1876;;;1;98;0;-1;53;-1;100;-1;-1;100;17427;808021;2;7;39;39;0;0;0;0;59;;;-1;;;;282;200;459640;215448;;;197899;80962;0;1;;194;;Medienmaster;421;1875;1878;834;834;2683;Firefox;47.0.0.5999;1;45;;0;3;0;1295
07.12.2016;19:20:39;Step 1;https://im-im2.hdm-stuttgart.de/;515;1003;;780;7573;1;1;1;1;0;0;0;0;0;754;;;;1015;;;;;1;;;2;0;515;;;1;100;-1;-1;-1;-1;100;-1;-1;100;0;0;0;0;0;0;0;0;0;0;-1;;;-1;;;;1015;200;0;0;;;0;0;0;1;;194;;Medienmaster;630;547;565;485;485;1753;Firefox;47.0.0.5999;1;49;;0;3;1;838
07.12.2016;19:20:57;Step 1;https://im-im2.hdm-stuttgart.de/;1914;285;;17427;808711;2;7;39;39;0;0;0;0;0;1337;;;;1959;;;;;0;;;2;0;1914;;;1;98;0;-1;53;-1;100;-1;-1;100;17427;808021;2;7;39;39;0;0;0;0;59;;;-1;;;;286;200;459640;215448;;;197899;80962;0;1;;194;;Medienmaster;436;1913;1924;890;890;2375;Firefox;47.0.0.5999;1;44;;0;4;0;1377
07.12.2016;19:21:16;Step 1;https://im-im2.hdm-stuttgart.de/;535;1023;;780;7574;1;1;1;1;0;0;0;0;0;871;;;;1024;;;;;1;;;2;0;535;;;1;100;-1;-1;-1;-1;100;-1;-1;100;0;0;0;0;0;0;0;0;0;0;-1;;;-1;;;;1024;200;0;0;;;0;0;0;1;;194;;Medienmaster;689;567;573;502;502;1865;Firefox;47.0.0.5999;1;44;;0;4;1;923
07.12.2016;19:21:34;Step 1;https://im-im2.hdm-stuttgart.de/;1885;278;;17427;808711;2;7;39;39;0;0;0;0;0;1321;;;;1928;;;;;0;;;2;0;1885;;;1;98;0;-1;53;-1;100;-1;-1;100;17427;808021;2;7;39;39;0;0;0;0;59;;;-1;;;;279;200;459640;215448;;;197899;80962;0;1;;194;;Medienmaster;436;1881;1883;934;934;2683;Firefox;47.0.0.5999;1;44;;0;5;0;1377
07.12.2016;19:21:52;Step 1;https://im-im2.hdm-stuttgart.de/;528;1038;;780;7574;1;1;1;1;0;0;0;0;0;861;;;;1038;;;;;1;;;2;0;528;;;1;100;-1;-1;-1;-1;100;-1;-1;100;0;0;0;0;0;0;0;0;0;0;-1;;;-1;;;;1038;200;0;0;;;0;0;0;1;;194;;Medienmaster;681;564;578;333;334;1661;Firefox;47.0.0.5999;1;46;;0;5;1;913
07.12.2016;19:22:10;Step 1;https://im-im2.hdm-stuttgart.de/;1900;282;;17427;808711;2;7;39;39;0;0;0;0;0;1270;;;;1943;;;;;0;;;2;0;1900;;;1;98;0;-1;53;-1;100;-1;-1;100;17427;808021;2;7;39;39;0;0;0;0;59;;;-1;;;;283;200;459640;215448;;;197899;80962;0;1;;194;;Medienmaster;444;1896;1898;862;863;2679;Firefox;47.0.0.5999;1;45;;0;6;0;1382
07.12.2016;19:22:29;Step 1;https://im-im2.hdm-stuttgart.de/;526;1078;;780;7573;1;1;1;1;0;0;0;0;0;775;;;;1078;;;;;1;;;2;0;526;;;1;100;-1;-1;-1;-1;100;-1;-1;100;0;0;0;0;0;0;0;0;0;0;-1;;;-1;;;;1078;200;0;0;;;0;0;0;1;;194;;Medienmaster;644;549;564;485;485;1865;Firefox;47.0.0.5999;1;60;;0;6;1;832
07.12.2016;19:22:47;Step 1;https://im-im2.hdm-stuttgart.de/;1867;281;;17427;808711;2;7;39;39;0;0;0;0;0;1293;;;;1905;;;;;0;;;2;0;1867;;;1;98;0;-1;53;-1;100;-1;-1;100;17427;808021;2;7;39;39;0;0;0;0;59;;;-1;;;;282;200;459640;215448;;;197899;80962;0;1;;194;;Medienmaster;435;1867;1877;855;855;2283;Firefox;47.0.0.5999;1;45;;0;7;0;1369
07.12.2016;19:23:04;Step 1;https://im-im2.hdm-stuttgart.de/;524;1066;;780;7573;1;1;1;1;0;0;0;0;0;765;;;;1067;;;;;1;;;2;0;524;;;1;100;-1;-1;-1;-1;100;-1;-1;100;0;0;0;0;0;0;0;0;0;0;-1;;;-1;;;;1067;200;0;0;;;0;0;0;1;;194;;Medienmaster;642;556;570;333;333;1766;Firefox;47.0.0.5999;1;50;;0;7;1;837
07.12.2016;19:23:22;Step 1;https://im-im2.hdm-stuttgart.de/;1907;276;;17427;808711;2;7;39;39;0;0;0;0;0;1312;;;;1946;;;;;0;;;2;0;1907;;;1;98;0;-1;53;-1;100;-1;-1;100;17427;808021;2;7;39;39;0;0;0;0;59;;;-1;;;;277;200;459640;215448;;;197899;80962;0;1;;194;;Medienmaster;429;1906;1908;920;920;2383;Firefox;47.0.0.5999;1;43;;0;8;0;1374
07.12.2016;19:23:41;Step 1;https://im-im2.hdm-stuttgart.de/;517;1064;;780;7573;1;1;1;1;0;0;0;0;0;776;;;;1064;;;;;1;;;2;0;517;;;1;100;-1;-1;-1;-1;100;-1;-1;100;0;0;0;0;0;0;0;0;0;0;-1;;;-1;;;;1064;200;0;0;;;0;0;0;1;;194;;Medienmaster;641;550;564;487;488;1766;Firefox;47.0.0.5999;1;50;;0;8;1;833
07.12.2016;19:23:59;Step 1;https://im-im2.hdm-stuttgart.de/;1873;261;;17427;808710;2;7;39;39;0;0;0;0;0;1288;;;;1914;;;;;0;;;2;0;1873;;;1;98;0;-1;53;-1;100;-1;-1;100;17427;808020;2;7;39;39;0;0;0;0;59;;;-1;;;;262;200;459640;215448;;;197899;80962;0;1;;194;;Medienmaster;414;1873;1884;899;899;2475;Firefox;47.0.0.5999;1;45;;0;9;0;1343
07.12.2016;19:24:17;Step 1;https://im-im2.hdm-stuttgart.de/;531;1072;;780;7574;1;1;1;1;0;0;0;0;0;742;;;;1073;;;;;1;;;2;0;531;;;1;100;-1;-1;-1;-1;100;-1;-1;100;0;0;0;0;0;0;0;0;0;0;-1;;;-1;;;;1073;200;0;0;;;0;0;0;1;;194;;Medienmaster;557;564;578;333;333;1765;Firefox;47.0.0.5999;1;41;;0;9;1;754
