"Date","Time","Event Name","URL","Load Time (ms)","Time to First Byte (ms)","unused","Bytes Out","Bytes In","DNS Lookups","Connections","Requests","OK Responses","Redirects","Not Modified","Not Found","Other Responses","Error Code","Time to Start Render (ms)","Segments Transmitted","Segments Retransmitted","Packet Loss (out)","Activity Time(ms)","Descriptor","Lab ID","Dialer ID","Connection Type","Cached","Event URL","Pagetest Build","Measurement Type","Experimental","Doc Complete Time (ms)","Event GUID","Time to DOM Element (ms)","Includes Object Data","Cache Score","Static CDN Score","One CDN Score","GZIP Score","Cookie Score","Keep-Alive Score","DOCTYPE Score","Minify Score","Combine Score","Bytes Out (Doc)","Bytes In (Doc)","DNS Lookups (Doc)","Connections (Doc)","Requests (Doc)","OK Responses (Doc)","Redirects (Doc)","Not Modified (Doc)","Not Found (Doc)","Other Responses (Doc)","Compression Score","Host","IP Address","ETag Score","Flagged Requests","Flagged Connections","Max Simultaneous Flagged Connections","Time to Base Page Complete (ms)","Base Page Result","Gzip Total Bytes","Gzip Savings","Minify Total Bytes","Minify Savings","Image Total Bytes","Image Savings","Base Page Redirects","Optimization Checked","AFT (ms)","DOM Elements","PageSpeed Version","Page Title","Time to Title","Load Event Start","Load Event End","DOM Content Ready Start","DOM Content Ready End","Visually Complete (ms)","Browser Name","Browser Version","Base Page Server Count","Base Page Server RTT","Base Page CDN","Adult Site","Run","Cached","Speed Index"
"07/02/2016","09:08:16","Step 1","https://im-im2.hdm-stuttgart.de","1789","250","","5824","816560","2","2","54","54","0","0","0","0","0","974","","","","1822","","","","","0","","","2","0","1789","","","1","99","0","-1","-1","-1","100","-1","-1","100","5824","816073","2","2","54","54","0","0","0","0","59","","","-1","","","","251","200","0","0","","","197899","80962","0","1","","209","","Medienmaster","507","1787","1791","1147","1148","2483","Firefox","47.0.0.5999","1","41","","0","1","0","1465",
"07/02/2016","09:08:34","Step 1","https://im-im2.hdm-stuttgart.de","548","1516","","975","7662","1","1","1","1","0","0","0","0","0","856","","","","1517","","","","","1","","","2","0","548","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","1517","200","0","0","","","0","0","0","1","","209","","Medienmaster","702","589","603","367","367","1756","Firefox","47.0.0.5999","1","55","","0","1","1","921",
"07/02/2016","09:08:52","Step 1","https://im-im2.hdm-stuttgart.de","1860","284","","5824","816618","2","2","54","54","0","0","0","0","0","1054","","","","1908","","","","","0","","","2","0","1860","","","1","99","0","-1","-1","-1","100","-1","-1","100","5824","816120","2","2","54","54","0","0","0","0","59","","","-1","","","","285","200","0","0","","","197899","80962","0","1","","209","","Medienmaster","488","1859","1871","1182","1182","2383","Firefox","47.0.0.5999","1","43","","0","2","0","1483",
"07/02/2016","09:09:10","Step 1","https://im-im2.hdm-stuttgart.de","560","1063","","975","7663","1","1","1","1","0","0","0","0","0","857","","","","1064","","","","","1","","","2","0","560","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","1064","200","0","0","","","0","0","0","1","","209","","Medienmaster","673","600","607","531","532","1757","Firefox","47.0.0.5999","1","44","","0","2","1","930",
"07/02/2016","09:09:28","Step 1","https://im-im2.hdm-stuttgart.de","1862","282","","5824","816670","2","2","54","54","0","0","0","0","0","1039","","","","1908","","","","","0","","","2","0","1862","","","1","99","0","-1","-1","-1","100","-1","-1","100","5824","816172","2","2","54","54","0","0","0","0","59","","","-1","","","","283","200","0","0","","","197899","80962","0","1","","209","","Medienmaster","496","1861","1864","1177","1177","2475","Firefox","47.0.0.5999","1","45","","0","3","0","1533",
"07/02/2016","09:09:47","Step 1","https://im-im2.hdm-stuttgart.de","546","1049","","975","7663","1","1","1","1","0","0","0","0","0","770","","","","1050","","","","","1","","","2","0","546","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","1050","200","0","0","","","0","0","0","1","","209","","Medienmaster","661","582","588","361","361","1761","Firefox","47.0.0.5999","1","43","","0","3","1","843",
"07/02/2016","09:10:05","Step 1","https://im-im2.hdm-stuttgart.de","1808","272","","5824","816589","2","2","54","54","0","0","0","0","0","898","","","","1840","","","","","0","","","2","0","1808","","","1","99","0","-1","-1","-1","100","-1","-1","100","5824","816102","2","2","54","54","0","0","0","0","59","","","-1","","","","273","200","0","0","","","197899","80962","0","1","","209","","Medienmaster","616","1798","1810","1114","1114","2383","Firefox","47.0.0.5999","1","45","","0","4","0","1454",
"07/02/2016","09:10:23","Step 1","https://im-im2.hdm-stuttgart.de","547","1077","","975","7663","1","1","1","1","0","0","0","0","0","767","","","","1077","","","","","1","","","2","0","547","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","1077","200","0","0","","","0","0","0","1","","209","","Medienmaster","765","585","599","517","517","1660","Firefox","47.0.0.5999","1","42","","0","4","1","827",
"07/02/2016","09:10:42","Step 1","https://im-im2.hdm-stuttgart.de","1821","270","","5824","816642","2","2","54","54","0","0","0","0","0","1018","","","","1866","","","","","0","","","2","0","1821","","","1","99","0","-1","-1","-1","100","-1","-1","100","5750","816155","2","2","53","53","0","0","0","0","59","","","-1","","","","271","200","0","0","","","197899","80962","0","1","","209","","Medienmaster","468","1819","1831","1170","1170","2383","Firefox","47.0.0.5999","1","44","","0","5","0","1446",
"07/02/2016","09:10:59","Step 1","https://im-im2.hdm-stuttgart.de","526","1036","","975","7662","1","1","1","1","0","0","0","0","0","768","","","","1036","","","","","1","","","2","0","526","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","1036","200","0","0","","","0","0","0","1","","209","","Medienmaster","638","558","564","496","496","1757","Firefox","47.0.0.5999","1","48","","0","5","1","834",
