"Date","Time","Event Name","URL","Load Time (ms)","Time to First Byte (ms)","unused","Bytes Out","Bytes In","DNS Lookups","Connections","Requests","OK Responses","Redirects","Not Modified","Not Found","Other Responses","Error Code","Time to Start Render (ms)","Segments Transmitted","Segments Retransmitted","Packet Loss (out)","Activity Time(ms)","Descriptor","Lab ID","Dialer ID","Connection Type","Cached","Event URL","Pagetest Build","Measurement Type","Experimental","Doc Complete Time (ms)","Event GUID","Time to DOM Element (ms)","Includes Object Data","Cache Score","Static CDN Score","One CDN Score","GZIP Score","Cookie Score","Keep-Alive Score","DOCTYPE Score","Minify Score","Combine Score","Bytes Out (Doc)","Bytes In (Doc)","DNS Lookups (Doc)","Connections (Doc)","Requests (Doc)","OK Responses (Doc)","Redirects (Doc)","Not Modified (Doc)","Not Found (Doc)","Other Responses (Doc)","Compression Score","Host","IP Address","ETag Score","Flagged Requests","Flagged Connections","Max Simultaneous Flagged Connections","Time to Base Page Complete (ms)","Base Page Result","Gzip Total Bytes","Gzip Savings","Minify Total Bytes","Minify Savings","Image Total Bytes","Image Savings","Base Page Redirects","Optimization Checked","AFT (ms)","DOM Elements","PageSpeed Version","Page Title","Time to Title","Load Event Start","Load Event End","DOM Content Ready Start","DOM Content Ready End","Visually Complete (ms)","Browser Name","Browser Version","Base Page Server Count","Base Page Server RTT","Base Page CDN","Adult Site","Run","Cached","Speed Index"
"06/25/2016","07:47:09","Step 1","https://im-im2.hdm-stuttgart.de/","2048","330","","5672","817891","2","2","54","54","0","0","0","0","0","884","","","","2163","","","","","0","","","2","0","2048","","","1","99","0","-1","-1","-1","100","-1","-1","100","5598","817404","2","2","53","53","0","0","0","0","59","","","-1","","","","331","200","0","0","","","197899","80962","0","1","","209","","Medienmaster","688","1931","1943","1820","1820","3183","Firefox","47.0.0.5999","1","47","","0","1","0","1941",
"06/25/2016","07:47:29","Step 1","https://im-im2.hdm-stuttgart.de/","741","1175","","975","7663","1","1","1","1","0","0","0","0","0","742","","","","1176","","","","","1","","","2","0","741","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","1176","200","0","0","","","0","0","0","1","","209","","Medienmaster","772","660","663","392","393","1766","Firefox","47.0.0.5999","1","47","","0","1","1","727",
"06/25/2016","07:47:48","Step 1","https://im-im2.hdm-stuttgart.de/","1895","295","","5755","817836","2","2","54","54","0","0","0","0","0","786","","","","1937","","","","","0","","","2","0","1895","","","1","99","0","-1","-1","-1","100","-1","-1","100","5755","817349","2","2","54","54","0","0","0","0","59","","","-1","","","","296","200","0","0","","","197899","80962","0","1","","209","","Medienmaster","614","1857","1859","1843","1843","3183","Firefox","47.0.0.5999","1","45","","0","2","0","1910",
"06/25/2016","07:48:08","Step 1","https://im-im2.hdm-stuttgart.de/","541","1040","","975","7663","1","1","1","1","0","0","0","0","0","746","","","","1041","","","","","1","","","2","0","541","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","1041","200","0","0","","","0","0","0","1","","209","","Medienmaster","642","573","587","504","505","1766","Firefox","47.0.0.5999","1","50","","0","2","1","746",
"06/25/2016","07:48:27","Step 1","https://im-im2.hdm-stuttgart.de/","1862","256","","6076","817805","2","2","54","54","0","0","0","0","0","783","","","","1911","","","","","0","","","2","0","1862","","","1","99","0","-1","-1","-1","100","-1","-1","100","6076","817318","2","2","54","54","0","0","0","0","59","","","-1","","","","257","200","0","0","","","197899","80962","0","1","","209","","Medienmaster","563","1817","1820","1748","1748","3083","Firefox","47.0.0.5999","1","45","","0","3","0","1970",
"06/25/2016","07:48:46","Step 1","https://im-im2.hdm-stuttgart.de/","526","1033","","975","7663","1","1","1","1","0","0","0","0","0","739","","","","1034","","","","","1","","","2","0","526","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","1034","200","0","0","","","0","0","0","1","","209","","Medienmaster","737","559","576","502","502","1757","Firefox","47.0.0.5999","1","46","","0","3","1","747",
"06/25/2016","07:49:05","Step 1","https://im-im2.hdm-stuttgart.de/","1844","292","","6141","817853","2","2","54","54","0","0","0","0","0","971","","","","1887","","","","","0","","","2","0","1844","","","1","99","0","-1","-1","-1","100","-1","-1","100","6141","817366","2","2","54","54","0","0","0","0","59","","","-1","","","","293","200","0","0","","","197899","80962","0","1","","209","","Medienmaster","643","1847","1858","1812","1813","3071","Firefox","47.0.0.5999","1","48","","0","4","0","1910",
"06/25/2016","07:49:25","Step 1","https://im-im2.hdm-stuttgart.de/","546","1074","","975","7663","1","1","1","1","0","0","0","0","0","760","","","","1075","","","","","1","","","2","0","546","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","1075","200","0","0","","","0","0","0","1","","209","","Medienmaster","648","574","588","518","518","1761","Firefox","47.0.0.5999","1","52","","0","4","1","840",
"06/25/2016","07:49:43","Step 1","https://im-im2.hdm-stuttgart.de/","1893","282","","5755","817855","2","2","54","54","0","0","0","0","0","784","","","","1952","","","","","0","","","2","0","1893","","","1","99","0","-1","-1","-1","100","-1","-1","100","5755","817368","2","2","54","54","0","0","0","0","59","","","-1","","","","283","200","0","0","","","197899","80962","0","1","","209","","Medienmaster","603","1887","1890","1882","1882","2983","Firefox","47.0.0.5999","1","47","","0","5","0","1946",
"06/25/2016","07:50:02","Step 1","https://im-im2.hdm-stuttgart.de/","542","1023","","975","7662","1","1","1","1","0","0","0","0","0","750","","","","1024","","","","","1","","","2","0","542","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","1024","200","0","0","","","0","0","0","1","","209","","Medienmaster","648","574","588","506","506","1766","Firefox","47.0.0.5999","1","47","","0","5","1","838",
