"Date","Time","Event Name","URL","Load Time (ms)","Time to First Byte (ms)","unused","Bytes Out","Bytes In","DNS Lookups","Connections","Requests","OK Responses","Redirects","Not Modified","Not Found","Other Responses","Error Code","Time to Start Render (ms)","Segments Transmitted","Segments Retransmitted","Packet Loss (out)","Activity Time(ms)","Descriptor","Lab ID","Dialer ID","Connection Type","Cached","Event URL","Pagetest Build","Measurement Type","Experimental","Doc Complete Time (ms)","Event GUID","Time to DOM Element (ms)","Includes Object Data","Cache Score","Static CDN Score","One CDN Score","GZIP Score","Cookie Score","Keep-Alive Score","DOCTYPE Score","Minify Score","Combine Score","Bytes Out (Doc)","Bytes In (Doc)","DNS Lookups (Doc)","Connections (Doc)","Requests (Doc)","OK Responses (Doc)","Redirects (Doc)","Not Modified (Doc)","Not Found (Doc)","Other Responses (Doc)","Compression Score","Host","IP Address","ETag Score","Flagged Requests","Flagged Connections","Max Simultaneous Flagged Connections","Time to Base Page Complete (ms)","Base Page Result","Gzip Total Bytes","Gzip Savings","Minify Total Bytes","Minify Savings","Image Total Bytes","Image Savings","Base Page Redirects","Optimization Checked","AFT (ms)","DOM Elements","PageSpeed Version","Page Title","Time to Title","Load Event Start","Load Event End","DOM Content Ready Start","DOM Content Ready End","Visually Complete (ms)","Browser Name","Browser Version","Base Page Server Count","Base Page Server RTT","Base Page CDN","Adult Site","Run","Cached","Speed Index"
"06/25/2016","08:01:22","Step 1","https://im-im2.hdm-stuttgart.de/index.html","1701","258","","4728","813227","2","2","44","44","0","0","0","0","0","1038","","","","1741","","","","","0","","","2","0","1701","","","1","98","0","-1","-1","-1","100","-1","-1","100","4728","812740","2","2","44","44","0","0","0","0","59","","","-1","","","","259","200","0","0","","","197899","80962","0","1","","199","","Medienmaster","546","1697","1699","731","731","2383","Firefox","47.0.0.5999","1","45","","0","1","0","1075",
"06/25/2016","08:01:39","Step 1","https://im-im2.hdm-stuttgart.de/index.html","511","1032","","975","7663","1","1","1","1","0","0","0","0","0","762","","","","1032","","","","","1","","","2","0","511","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","1032","200","0","0","","","0","0","0","1","","199","","Medienmaster","625","547","561","484","484","1762","Firefox","47.0.0.5999","1","50","","0","1","1","830",
"06/25/2016","08:01:58","Step 1","https://im-im2.hdm-stuttgart.de/index.html","1722","270","","4686","813256","2","2","44","44","0","0","0","0","0","1161","","","","1763","","","","","0","","","2","0","1722","","","1","98","0","-1","-1","-1","100","-1","-1","100","4686","812769","2","2","44","44","0","0","0","0","59","","","-1","","","","271","200","0","0","","","197899","80962","0","1","","199","","Medienmaster","568","1717","1720","749","749","2483","Firefox","47.0.0.5999","1","51","","0","2","0","1236",
"06/25/2016","08:02:15","Step 1","https://im-im2.hdm-stuttgart.de/index.html","523","1068","","975","7663","1","1","1","1","0","0","0","0","0","765","","","","1069","","","","","1","","","2","0","523","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","1069","200","0","0","","","0","0","0","1","","199","","Medienmaster","628","555","568","496","496","1857","Firefox","47.0.0.5999","1","45","","0","2","1","834",
"06/25/2016","08:02:33","Step 1","https://im-im2.hdm-stuttgart.de/index.html","1732","282","","4699","813228","2","2","44","44","0","0","0","0","0","1204","","","","1774","","","","","0","","","2","0","1732","","","1","98","0","-1","-1","-1","100","-1","-1","100","4699","812741","2","2","44","44","0","0","0","0","59","","","-1","","","","283","200","0","0","","","197899","80962","0","1","","199","","Medienmaster","804","1732","1742","685","685","2284","Firefox","47.0.0.5999","1","52","","0","3","0","1231",
"06/25/2016","08:02:51","Step 1","https://im-im2.hdm-stuttgart.de/index.html","510","1012","","975","7662","1","1","1","1","0","0","0","0","0","721","","","","1013","","","","","1","","","2","0","510","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","1013","200","0","0","","","0","0","0","1","","199","","Medienmaster","537","542","555","489","489","1765","Firefox","47.0.0.5999","1","48","","0","3","1","749",
"06/25/2016","08:03:09","Step 1","https://im-im2.hdm-stuttgart.de/index.html","1879","278","","4643","813198","2","2","44","44","0","0","0","0","0","1388","","","","1914","","","","","0","","","2","0","1879","","","1","98","0","-1","-1","-1","100","-1","-1","100","4643","812734","2","2","44","44","0","0","0","0","59","","","-1","","","","279","200","0","0","","","197899","80962","0","1","","199","","Medienmaster","807","1878","1881","687","687","2284","Firefox","47.0.0.5999","1","51","","0","4","0","1421",
"06/25/2016","08:03:26","Step 1","https://im-im2.hdm-stuttgart.de/index.html","524","1090","","975","7663","1","1","1","1","0","0","0","0","0","772","","","","1091","","","","","1","","","2","0","524","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","1091","200","0","0","","","0","0","0","1","","199","","Medienmaster","629","547","561","493","493","1766","Firefox","47.0.0.5999","1","52","","0","4","1","831",
"06/25/2016","08:03:44","Step 1","https://im-im2.hdm-stuttgart.de/index.html","1745","282","","4686","813200","2","2","44","44","0","0","0","0","0","1132","","","","1781","","","","","0","","","2","0","1745","","","1","98","0","-1","-1","-1","100","-1","-1","100","4686","812713","2","2","44","44","0","0","0","0","59","","","-1","","","","283","200","0","0","","","197899","80962","0","1","","199","","Medienmaster","801","1745","1747","683","683","2279","Firefox","47.0.0.5999","1","51","","0","5","0","1142",
"06/25/2016","08:04:02","Step 1","https://im-im2.hdm-stuttgart.de/index.html","515","1013","","975","7662","1","1","1","1","0","0","0","0","0","765","","","","1014","","","","","1","","","2","0","515","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","1014","200","0","0","","","0","0","0","1","","199","","Medienmaster","663","547","561","386","386","1765","Firefox","47.0.0.5999","1","54","","0","5","1","819",
