"Date","Time","Event Name","URL","Load Time (ms)","Time to First Byte (ms)","unused","Bytes Out","Bytes In","DNS Lookups","Connections","Requests","OK Responses","Redirects","Not Modified","Not Found","Other Responses","Error Code","Time to Start Render (ms)","Segments Transmitted","Segments Retransmitted","Packet Loss (out)","Activity Time(ms)","Descriptor","Lab ID","Dialer ID","Connection Type","Cached","Event URL","Pagetest Build","Measurement Type","Experimental","Doc Complete Time (ms)","Event GUID","Time to DOM Element (ms)","Includes Object Data","Cache Score","Static CDN Score","One CDN Score","GZIP Score","Cookie Score","Keep-Alive Score","DOCTYPE Score","Minify Score","Combine Score","Bytes Out (Doc)","Bytes In (Doc)","DNS Lookups (Doc)","Connections (Doc)","Requests (Doc)","OK Responses (Doc)","Redirects (Doc)","Not Modified (Doc)","Not Found (Doc)","Other Responses (Doc)","Compression Score","Host","IP Address","ETag Score","Flagged Requests","Flagged Connections","Max Simultaneous Flagged Connections","Time to Base Page Complete (ms)","Base Page Result","Gzip Total Bytes","Gzip Savings","Minify Total Bytes","Minify Savings","Image Total Bytes","Image Savings","Base Page Redirects","Optimization Checked","AFT (ms)","DOM Elements","PageSpeed Version","Page Title","Time to Title","Load Event Start","Load Event End","DOM Content Ready Start","DOM Content Ready End","Visually Complete (ms)","Browser Name","Browser Version","Base Page Server Count","Base Page Server RTT","Base Page CDN","Adult Site","Run","Cached","Speed Index"
"07/02/2016","10:36:59","Step 1","https://im-im2.hdm-stuttgart.de","1760","310","","4629","813309","2","2","44","44","0","0","0","0","0","1262","","","","1794","","","","","0","","","2","0","1760","","","1","98","0","-1","-1","-1","100","-1","-1","100","4629","812822","2","2","44","44","0","0","0","0","59","","","-1","","","","311","200","0","0","","","197899","80962","0","1","","199","","Medienmaster","641","1760","1762","843","843","2283","Firefox","47.0.0.5999","1","42","","0","1","0","1350",
"07/02/2016","10:37:17","Step 1","https://im-im2.hdm-stuttgart.de","519","1021","","975","7663","1","1","1","1","0","0","0","0","0","736","","","","1022","","","","","1","","","2","0","519","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","1022","200","0","0","","","0","0","0","1","","199","","Medienmaster","631","551","566","490","490","1755","Firefox","47.0.0.5999","1","44","","0","1","1","748",
"07/02/2016","10:37:35","Step 1","https://im-im2.hdm-stuttgart.de","1715","276","","5027","813257","2","2","44","44","0","0","0","0","0","1204","","","","1752","","","","","0","","","2","0","1715","","","1","98","0","-1","-1","-1","100","-1","-1","100","5027","812770","2","2","44","44","0","0","0","0","59","","","-1","","","","277","200","0","0","","","197899","80962","0","1","","199","","Medienmaster","822","1714","1725","710","710","2383","Firefox","47.0.0.5999","1","45","","0","2","0","1240",
"07/02/2016","10:37:54","Step 1","https://im-im2.hdm-stuttgart.de","538","1077","","975","7662","1","1","1","1","0","0","0","0","0","757","","","","1078","","","","","1","","","2","0","538","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","1078","200","0","0","","","0","0","0","1","","199","","Medienmaster","645","570","588","515","515","1765","Firefox","47.0.0.5999","1","66","","0","2","1","836",
"07/02/2016","10:38:12","Step 1","https://im-im2.hdm-stuttgart.de","1713","270","","4629","813286","2","2","44","44","0","0","0","0","0","1204","","","","1755","","","","","0","","","2","0","1713","","","1","98","0","-1","-1","-1","100","-1","-1","100","4629","812822","2","2","44","44","0","0","0","0","59","","","-1","","","","270","200","0","0","","","197899","80962","0","1","","199","","Medienmaster","572","1713","1723","766","766","2083","Firefox","47.0.0.5999","1","45","","0","3","0","1245",
"07/02/2016","10:38:30","Step 1","https://im-im2.hdm-stuttgart.de","520","1064","","975","7663","1","1","1","1","0","0","0","0","0","757","","","","1065","","","","","1","","","2","0","520","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","1065","200","0","0","","","0","0","0","1","","199","","Medienmaster","642","552","566","489","489","1857","Firefox","47.0.0.5999","1","53","","0","3","1","838",
"07/02/2016","10:38:49","Step 1","https://im-im2.hdm-stuttgart.de","1712","270","","4629","813344","2","2","44","44","0","0","0","0","0","1175","","","","1755","","","","","0","","","2","0","1712","","","1","98","0","-1","-1","-1","100","-1","-1","100","4629","812857","2","2","44","44","0","0","0","0","59","","","-1","","","","271","200","0","0","","","197899","80962","0","1","","199","","Medienmaster","562","1711","1722","756","756","2482","Firefox","47.0.0.5999","1","44","","0","4","0","1240",
"07/02/2016","10:39:08","Step 1","https://im-im2.hdm-stuttgart.de","544","1059","","975","7663","1","1","1","1","0","0","0","0","0","736","","","","1059","","","","","1","","","2","0","544","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","1059","200","0","0","","","0","0","0","1","","199","","Medienmaster","558","556","560","328","328","1765","Firefox","47.0.0.5999","1","42","","0","4","1","748",
"07/02/2016","10:39:27","Step 1","https://im-im2.hdm-stuttgart.de","1730","282","","5056","813315","2","2","44","44","0","0","0","0","0","1145","","","","1780","","","","","0","","","2","0","1730","","","1","98","0","-1","-1","-1","100","-1","-1","100","5056","812828","2","2","44","44","0","0","0","0","59","","","-1","","","","283","200","0","0","","","197899","80962","0","1","","199","","Medienmaster","882","1725","1739","810","810","2183","Firefox","47.0.0.5999","1","44","","0","5","0","1168",
"07/02/2016","10:39:44","Step 1","https://im-im2.hdm-stuttgart.de","537","1083","","975","7663","1","1","1","1","0","0","0","0","0","735","","","","1083","","","","","1","","","2","0","537","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","1083","200","0","0","","","0","0","0","1","","199","","Medienmaster","718","544","547","332","333","1656","Firefox","47.0.0.5999","1","46","","0","5","1","729",
