"Date","Time","Event Name","URL","Load Time (ms)","Time to First Byte (ms)","unused","Bytes Out","Bytes In","DNS Lookups","Connections","Requests","OK Responses","Redirects","Not Modified","Not Found","Other Responses","Error Code","Time to Start Render (ms)","Segments Transmitted","Segments Retransmitted","Packet Loss (out)","Activity Time(ms)","Descriptor","Lab ID","Dialer ID","Connection Type","Cached","Event URL","Pagetest Build","Measurement Type","Experimental","Doc Complete Time (ms)","Event GUID","Time to DOM Element (ms)","Includes Object Data","Cache Score","Static CDN Score","One CDN Score","GZIP Score","Cookie Score","Keep-Alive Score","DOCTYPE Score","Minify Score","Combine Score","Bytes Out (Doc)","Bytes In (Doc)","DNS Lookups (Doc)","Connections (Doc)","Requests (Doc)","OK Responses (Doc)","Redirects (Doc)","Not Modified (Doc)","Not Found (Doc)","Other Responses (Doc)","Compression Score","Host","IP Address","ETag Score","Flagged Requests","Flagged Connections","Max Simultaneous Flagged Connections","Time to Base Page Complete (ms)","Base Page Result","Gzip Total Bytes","Gzip Savings","Minify Total Bytes","Minify Savings","Image Total Bytes","Image Savings","Base Page Redirects","Optimization Checked","AFT (ms)","DOM Elements","PageSpeed Version","Page Title","Time to Title","Load Event Start","Load Event End","DOM Content Ready Start","DOM Content Ready End","Visually Complete (ms)","Browser Name","Browser Version","Base Page Server Count","Base Page Server RTT","Base Page CDN","Adult Site","Run","Cached","Speed Index"
"07/02/2016","11:37:08","Step 1","https://im-im2.hdm-stuttgart.de","1788","282","","4591","812975","2","2","44","44","0","0","0","0","0","1224","","","","1822","","","","","0","","","2","0","1788","","","1","98","0","-1","-1","-1","100","-1","-1","100","4591","812477","2","2","44","44","0","0","0","0","59","","","-1","","","","283","200","0","0","","","197899","80962","0","1","","199","","Medienmaster","500","1788","1790","654","806","2183","Firefox","47.0.0.5999","1","44","","0","1","0","1262",
"07/02/2016","11:37:25","Step 1","https://im-im2.hdm-stuttgart.de","597","987","","975","7663","1","1","1","1","0","0","0","0","0","599","","","","987","","","","","1","","","2","0","597","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","987","200","0","0","","","0","0","0","1","","199","","Medienmaster","618","498","509","257","372","1761","Firefox","47.0.0.5999","1","43","","0","1","1","664",
"07/02/2016","11:37:43","Step 1","https://im-im2.hdm-stuttgart.de","1770","263","","4591","812952","2","2","44","44","0","0","0","0","0","1168","","","","1806","","","","","0","","","2","0","1770","","","1","98","0","-1","-1","-1","100","-1","-1","100","4591","812477","2","2","44","44","0","0","0","0","59","","","-1","","","","264","200","0","0","","","197899","80962","0","1","","199","","Medienmaster","473","1778","1780","658","787","2474","Firefox","47.0.0.5999","1","44","","0","2","0","1234",
"07/02/2016","11:38:01","Step 1","https://im-im2.hdm-stuttgart.de","533","997","","975","7663","1","1","1","1","0","0","0","0","0","711","","","","998","","","","","1","","","2","0","533","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","998","200","0","0","","","0","0","0","1","","199","","Medienmaster","290","557","572","327","369","1765","Firefox","47.0.0.5999","1","44","","0","2","1","746",
"07/02/2016","11:38:20","Step 1","https://im-im2.hdm-stuttgart.de","1740","279","","4817","812953","2","2","44","44","0","0","0","0","0","1168","","","","1772","","","","","0","","","2","0","1740","","","1","98","0","-1","-1","-1","100","-1","-1","100","4817","812478","2","2","44","44","0","0","0","0","59","","","-1","","","","280","200","0","0","","","197899","80962","0","1","","199","","Medienmaster","482","1731","1742","630","764","2174","Firefox","47.0.0.5999","1","44","","0","3","0","1256",
"07/02/2016","11:38:38","Step 1","https://im-im2.hdm-stuttgart.de","544","973","","975","7662","1","1","1","1","0","0","0","0","0","713","","","","974","","","","","1","","","2","0","544","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","974","200","0","0","","","0","0","0","1","","199","","Medienmaster","212","559","574","317","366","1773","Firefox","47.0.0.5999","1","44","","0","3","1","752",
"07/02/2016","11:38:56","Step 1","https://im-im2.hdm-stuttgart.de","1732","269","","5018","813005","2","2","44","44","0","0","0","0","0","1146","","","","1767","","","","","0","","","2","0","1732","","","1","98","0","-1","-1","-1","100","-1","-1","100","5018","812507","2","2","44","44","0","0","0","0","59","","","-1","","","","270","200","0","0","","","197899","80962","0","1","","199","","Medienmaster","870","1731","1734","613","746","2183","Firefox","47.0.0.5999","1","44","","0","4","0","1171",
"07/02/2016","11:39:14","Step 1","https://im-im2.hdm-stuttgart.de","537","1013","","975","7663","1","1","1","1","0","0","0","0","0","715","","","","1014","","","","","1","","","2","0","537","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","1014","200","0","0","","","0","0","0","1","","199","","Medienmaster","273","570","575","318","364","1853","Firefox","47.0.0.5999","1","42","","0","4","1","748",
"07/02/2016","11:39:33","Step 1","https://im-im2.hdm-stuttgart.de","1787","279","","4591","812976","2","2","44","44","0","0","0","0","0","1191","","","","1819","","","","","0","","","2","0","1787","","","1","98","0","-1","-1","-1","100","-1","-1","100","4591","812478","2","2","44","44","0","0","0","0","59","","","-1","","","","280","200","0","0","","","197899","80962","0","1","","199","","Medienmaster","491","1783","1785","666","798","2586","Firefox","47.0.0.5999","1","44","","0","5","0","1251",
"07/02/2016","11:39:51","Step 1","https://im-im2.hdm-stuttgart.de","505","976","","975","7663","1","1","1","1","0","0","0","0","0","759","","","","977","","","","","1","","","2","0","505","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","977","200","0","0","","","0","0","0","1","","199","","Medienmaster","275","546","560","321","374","1857","Firefox","47.0.0.5999","1","45","","0","5","1","826",
"07/02/2016","11:40:09","Step 1","https://im-im2.hdm-stuttgart.de","1821","279","","4591","812982","2","2","44","44","0","0","0","0","0","1211","","","","1855","","","","","0","","","2","0","1821","","","1","98","0","-1","-1","-1","100","-1","-1","100","4591","812507","2","2","44","44","0","0","0","0","59","","","-1","","","","280","200","0","0","","","197899","80962","0","1","","199","","Medienmaster","508","1821","1831","683","814","2574","Firefox","47.0.0.5999","1","46","","0","6","0","1253",
"07/02/2016","11:40:27","Step 1","https://im-im2.hdm-stuttgart.de","518","1005","","975","7663","1","1","1","1","0","0","0","0","0","710","","","","1006","","","","","1","","","2","0","518","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","1006","200","0","0","","","0","0","0","1","","199","","Medienmaster","288","551","565","324","378","1665","Firefox","47.0.0.5999","1","44","","0","6","1","740",
"07/02/2016","11:40:45","Step 1","https://im-im2.hdm-stuttgart.de","1789","275","","4591","812982","2","2","44","44","0","0","0","0","0","1209","","","","1831","","","","","0","","","2","0","1789","","","1","98","0","-1","-1","-1","100","-1","-1","100","4591","812484","2","2","44","44","0","0","0","0","59","","","-1","","","","276","200","0","0","","","197899","80962","0","1","","199","","Medienmaster","494","1789","1800","648","777","2375","Firefox","47.0.0.5999","1","41","","0","7","0","1274",
"07/02/2016","11:41:02","Step 1","https://im-im2.hdm-stuttgart.de","526","1008","","975","7663","1","1","1","1","0","0","0","0","0","762","","","","1009","","","","","1","","","2","0","526","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","1009","200","0","0","","","0","0","0","1","","199","","Medienmaster","283","550","565","328","377","1753","Firefox","47.0.0.5999","1","45","","0","7","1","831",
"07/02/2016","11:41:20","Step 1","https://im-im2.hdm-stuttgart.de","1778","282","","4591","812976","2","2","44","44","0","0","0","0","0","1140","","","","1814","","","","","0","","","2","0","1778","","","1","98","0","-1","-1","-1","100","-1","-1","100","4591","812478","2","2","44","44","0","0","0","0","59","","","-1","","","","282","200","0","0","","","197899","80962","0","1","","199","","Medienmaster","493","1787","1790","655","787","2482","Firefox","47.0.0.5999","1","45","","0","8","0","1158",
