Date;Time;Event Name;IP Address;Action;Host;URL;Response Code;Time to Load (ms);Time to First Byte (ms);Start Time (ms);Bytes Out;Bytes In;Object Size;Cookie Size (out);Cookie Count(out);Expires;Cache Control;Content Type;Content Encoding;Transaction Type;Socket ID;Document ID;End Time (ms);Descriptor;Lab ID;Dialer ID;Connection Type;Cached;Event URL;Pagetest Build;Measurement Type;Experimental;Event GUID;Sequence Number;Cache Score;Static CDN Score;GZIP Score;Cookie Score;Keep-Alive Score;DOCTYPE Score;Minify Score;Combine Score;Compression Score;ETag Score;Flagged;Secure;DNS Time;Connect Time;SSL Time;Gzip Total Bytes;Gzip Savings;Minify Total Bytes;Minify Savings;Image Total Bytes;Image Savings;Cache Time (sec);Real Start Time (ms);Full Time to Load (ms);Optimization Checked;CDN Provider;DNS Start;DNS End;Connect Start;Connect End;SSL Negotiation Start;SSL Negotiation End;Initiator;Initiator Line;Initiator Column;Server Count;Server RTT;Run;Cached
07/18/2016;18:30:11;Step 1;193.174.13.86;POST;ocsp.pca.dfn.de;/OCSP-Server/OCSP;200;53;52;199;449;1893;1498;;;Thu, 28 Jul 2016 18:30:11 GMT;max-age=864000, public, no-transform, must-revalidate;application/ocsp-response;;3;45;;252;;;;;;;;;;;1;100;-1;-1;-1;100;-1;-1;-1;-1;-1;0;0;-1;-1;-1;0;0;0;0;0;0;864000;;;1;;127;156;156;199;0;0;;;;1;42;1;0
07/18/2016;18:30:11;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/dozenten2.html;200;77;57;254;173;8946;7090;;;Mon, 18 Jul 2016 19:30:11 GMT;max-age=3600;text/html;gzip;3;44;;331;;;;;;;;;;;2;50;-1;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;3600;;;1;;0;30;31;65;65;163;;;;1;34;1;0
07/18/2016;18:30:11;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/style.css;200;62;62;301;0;1693;1538;;;Tue, 18 Jul 2017 18:30:11 GMT;max-age=31536000;text/css;gzip;3;44;;363;;;;;;;;;;;3;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;0;0;0;;;;1;34;1;0
07/18/2016;18:30:11;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/http2/stylehttp2.css;200;62;62;301;0;2017;1955;;;Tue, 18 Jul 2017 18:30:11 GMT;max-age=31536000;text/css;gzip;3;44;;363;;;;;;;;;;;4;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;0;0;0;;;;1;34;1;0
07/18/2016;18:30:11;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/http2/menu.css;200;62;62;301;0;1269;1207;;;Tue, 18 Jul 2017 18:30:11 GMT;max-age=31536000;text/css;gzip;3;44;;363;;;;;;;;;;;5;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;0;0;0;;;;1;34;1;0
07/18/2016;18:30:11;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/http2/footer.css;200;62;62;301;0;517;456;;;Tue, 18 Jul 2017 18:30:11 GMT;max-age=31536000;text/css;gzip;3;44;;363;;;;;;;;;;;6;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;0;0;0;;;;1;34;1;0
07/18/2016;18:30:11;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/http2/team2.css;200;63;63;301;0;1217;1155;;;Tue, 18 Jul 2017 18:30:11 GMT;max-age=31536000;text/css;gzip;3;44;;364;;;;;;;;;;;7;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;0;0;0;;;;1;34;1;0
07/18/2016;18:30:11;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/http2/bootstrap1.css;200;80;63;301;0;8210;8148;;;Tue, 18 Jul 2017 18:30:11 GMT;max-age=31536000;text/css;gzip;3;44;;381;;;;;;;;;;;8;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;0;0;0;;;;1;34;1;0
07/18/2016;18:30:11;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/http2/bootstrap2.css;200;81;80;301;0;7158;7096;;;Tue, 18 Jul 2017 18:30:11 GMT;max-age=31536000;text/css;gzip;3;44;;382;;;;;;;;;;;9;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;0;0;0;;;;1;34;1;0
07/18/2016;18:30:11;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/http2/bootstrap3.css;200;96;81;301;0;7213;7151;;;Tue, 18 Jul 2017 18:30:11 GMT;max-age=31536000;text/css;gzip;3;44;;397;;;;;;;;;;;10;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;0;0;0;;;;1;34;1;0
