"Date","Time","Event Name","URL","Load Time (ms)","Time to First Byte (ms)","unused","Bytes Out","Bytes In","DNS Lookups","Connections","Requests","OK Responses","Redirects","Not Modified","Not Found","Other Responses","Error Code","Time to Start Render (ms)","Segments Transmitted","Segments Retransmitted","Packet Loss (out)","Activity Time(ms)","Descriptor","Lab ID","Dialer ID","Connection Type","Cached","Event URL","Pagetest Build","Measurement Type","Experimental","Doc Complete Time (ms)","Event GUID","Time to DOM Element (ms)","Includes Object Data","Cache Score","Static CDN Score","One CDN Score","GZIP Score","Cookie Score","Keep-Alive Score","DOCTYPE Score","Minify Score","Combine Score","Bytes Out (Doc)","Bytes In (Doc)","DNS Lookups (Doc)","Connections (Doc)","Requests (Doc)","OK Responses (Doc)","Redirects (Doc)","Not Modified (Doc)","Not Found (Doc)","Other Responses (Doc)","Compression Score","Host","IP Address","ETag Score","Flagged Requests","Flagged Connections","Max Simultaneous Flagged Connections","Time to Base Page Complete (ms)","Base Page Result","Gzip Total Bytes","Gzip Savings","Minify Total Bytes","Minify Savings","Image Total Bytes","Image Savings","Base Page Redirects","Optimization Checked","AFT (ms)","DOM Elements","PageSpeed Version","Page Title","Time to Title","Load Event Start","Load Event End","DOM Content Ready Start","DOM Content Ready End","Visually Complete (ms)","Browser Name","Browser Version","Base Page Server Count","Base Page Server RTT","Base Page CDN","Adult Site","Run","Cached","Speed Index"
"07/02/2016","08:38:02","Step 1","https://im-im2.hdm-stuttgart.de","1826","256","","5428","817548","2","2","54","54","0","0","0","0","0","804","","","","1867","","","","","0","","","2","0","1826","","","1","99","0","-1","-1","-1","100","-1","-1","100","5428","817061","2","2","54","54","0","0","0","0","59","","","-1","","","","257","200","0","0","","","197899","80962","0","1","","209","","Medienmaster","580","1825","1837","1163","1163","2375","Firefox","47.0.0.5999","1","44","","0","1","0","1420",
"07/02/2016","08:38:19","Step 1","https://im-im2.hdm-stuttgart.de","553","1052","","975","7663","1","1","1","1","0","0","0","0","0","771","","","","1052","","","","","1","","","2","0","553","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","1052","200","0","0","","","0","0","0","1","","209","","Medienmaster","666","586","600","521","521","1764","Firefox","47.0.0.5999","1","48","","0","1","1","846",
"07/02/2016","08:38:37","Step 1","https://im-im2.hdm-stuttgart.de","1731","259","","5654","817625","2","2","54","54","0","0","0","0","0","1442","","","","1769","","","","","0","","","2","0","1731","","","1","99","0","-1","-1","-1","100","-1","-1","100","5580","817138","2","2","53","53","0","0","0","0","59","","","-1","","","","260","200","0","0","","","197899","80962","0","1","","209","","Medienmaster","644","1731","1735","1003","1003","2283","Firefox","47.0.0.5999","1","43","","0","2","0","1425",
"07/02/2016","08:38:55","Step 1","https://im-im2.hdm-stuttgart.de","544","1117","","975","7663","1","1","1","1","0","0","0","0","0","753","","","","1118","","","","","1","","","2","0","544","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","1118","200","0","0","","","0","0","0","1","","209","","Medienmaster","563","574","580","348","349","1758","Firefox","47.0.0.5999","1","42","","0","2","1","835",
"07/02/2016","08:39:13","Step 1","https://im-im2.hdm-stuttgart.de","1926","270","","5428","817572","2","2","54","54","0","0","0","0","0","783","","","","1944","","","","","0","","","2","0","1926","","","1","99","0","-1","-1","-1","100","-1","-1","100","5428","817085","2","2","54","54","0","0","0","0","59","","","-1","","","","271","200","0","0","","","197899","80962","0","1","","209","","Medienmaster","599","1872","1879","1290","1290","2683","Firefox","47.0.0.5999","1","44","","0","3","0","1601",
"07/02/2016","08:39:32","Step 1","https://im-im2.hdm-stuttgart.de","558","1063","","975","7663","1","1","1","1","0","0","0","0","0","857","","","","1068","","","","","1","","","2","0","558","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","1068","200","0","0","","","0","0","0","1","","209","","Medienmaster","666","598","605","367","367","1757","Firefox","47.0.0.5999","1","49","","0","3","1","929",
"07/02/2016","08:39:50","Step 1","https://im-im2.hdm-stuttgart.de","1839","280","","5428","817566","2","2","54","54","0","0","0","0","0","770","","","","1877","","","","","0","","","2","0","1839","","","1","99","0","-1","-1","-1","100","-1","-1","100","5428","817079","2","2","54","54","0","0","0","0","59","","","-1","","","","281","200","0","0","","","197899","80962","0","1","","209","","Medienmaster","590","1839","1842","1177","1177","2370","Firefox","47.0.0.5999","1","44","","0","4","0","1516",
"07/02/2016","08:40:08","Step 1","https://im-im2.hdm-stuttgart.de","543","1037","","975","7662","1","1","1","1","0","0","0","0","0","866","","","","1038","","","","","1","","","2","0","543","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","1038","200","0","0","","","0","0","0","1","","209","","Medienmaster","665","576","590","511","511","1765","Firefox","47.0.0.5999","1","45","","0","4","1","930",
"07/02/2016","08:40:26","Step 1","https://im-im2.hdm-stuttgart.de","1812","268","","5428","817520","2","2","54","54","0","0","0","0","0","882","","","","1854","","","","","0","","","2","0","1812","","","1","99","0","-1","-1","-1","100","-1","-1","100","5428","817033","2","2","54","54","0","0","0","0","59","","","-1","","","","269","200","0","0","","","197899","80962","0","1","","209","","Medienmaster","571","1811","1823","1125","1125","2382","Firefox","47.0.0.5999","1","42","","0","5","0","1451",
"07/02/2016","08:40:44","Step 1","https://im-im2.hdm-stuttgart.de","552","1104","","975","7663","1","1","1","1","0","0","0","0","0","861","","","","1105","","","","","1","","","2","0","552","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","1105","200","0","0","","","0","0","0","1","","209","","Medienmaster","667","589","595","367","367","1761","Firefox","47.0.0.5999","1","47","","0","5","1","925",
