"Date","Time","Event Name","URL","Load Time (ms)","Time to First Byte (ms)","unused","Bytes Out","Bytes In","DNS Lookups","Connections","Requests","OK Responses","Redirects","Not Modified","Not Found","Other Responses","Error Code","Time to Start Render (ms)","Segments Transmitted","Segments Retransmitted","Packet Loss (out)","Activity Time(ms)","Descriptor","Lab ID","Dialer ID","Connection Type","Cached","Event URL","Pagetest Build","Measurement Type","Experimental","Doc Complete Time (ms)","Event GUID","Time to DOM Element (ms)","Includes Object Data","Cache Score","Static CDN Score","One CDN Score","GZIP Score","Cookie Score","Keep-Alive Score","DOCTYPE Score","Minify Score","Combine Score","Bytes Out (Doc)","Bytes In (Doc)","DNS Lookups (Doc)","Connections (Doc)","Requests (Doc)","OK Responses (Doc)","Redirects (Doc)","Not Modified (Doc)","Not Found (Doc)","Other Responses (Doc)","Compression Score","Host","IP Address","ETag Score","Flagged Requests","Flagged Connections","Max Simultaneous Flagged Connections","Time to Base Page Complete (ms)","Base Page Result","Gzip Total Bytes","Gzip Savings","Minify Total Bytes","Minify Savings","Image Total Bytes","Image Savings","Base Page Redirects","Optimization Checked","AFT (ms)","DOM Elements","PageSpeed Version","Page Title","Time to Title","Load Event Start","Load Event End","DOM Content Ready Start","DOM Content Ready End","Visually Complete (ms)","Browser Name","Browser Version","Base Page Server Count","Base Page Server RTT","Base Page CDN","Adult Site","Run","Cached","Speed Index"
"07/02/2016","16:00:00","Step 1","https://im-im2.hdm-stuttgart.de","1876","274","","5624","813345","2","2","44","44","0","0","0","0","0","782","","","","1876","","","","","0","","","2","0","1876","","","1","98","0","-1","-1","-1","100","-1","-1","100","5624","813345","2","2","44","44","0","0","0","0","59","","","-1","","","","275","200","0","0","","","197899","80962","0","1","","199","","Medienmaster","611","1834","1837","1762","1763","2982","Firefox","47.0.0.5999","1","47","","0","1","0","1941",
"07/02/2016","16:00:19","Step 1","https://im-im2.hdm-stuttgart.de","532","1049","","975","7662","1","1","1","1","0","0","0","0","0","749","","","","1049","","","","","1","","","2","0","532","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","1049","200","0","0","","","0","0","0","1","","199","","Medienmaster","550","565","581","346","346","1755","Firefox","47.0.0.5999","1","53","","0","1","1","750",
"07/02/2016","16:00:38","Step 1","https://im-im2.hdm-stuttgart.de","1872","267","","4918","813419","2","2","44","44","0","0","0","0","0","884","","","","1873","","","","","0","","","2","0","1872","","","1","98","0","-1","-1","-1","100","-1","-1","100","4918","812932","2","2","44","44","0","0","0","0","59","","","-1","","","","268","200","0","0","","","197899","80962","0","1","","199","","Medienmaster","574","1828","1840","1825","1826","2983","Firefox","47.0.0.5999","1","41","","0","2","0","1965",
"07/02/2016","16:00:56","Step 1","https://im-im2.hdm-stuttgart.de","505","1107","","975","7663","1","1","1","1","0","0","0","0","0","733","","","","1112","","","","","1","","","2","0","505","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","1112","200","0","0","","","0","0","0","1","","199","","Medienmaster","731","537","555","392","392","1765","Firefox","47.0.0.5999","1","48","","0","2","1","746",
"07/02/2016","16:01:15","Step 1","https://im-im2.hdm-stuttgart.de","1849","275","","5239","813420","2","2","44","44","0","0","0","0","0","775","","","","1849","","","","","0","","","2","0","1849","","","1","98","0","-1","-1","-1","100","-1","-1","100","5239","813420","2","2","44","44","0","0","0","0","59","","","-1","","","","275","200","0","0","","","197899","80962","0","1","","175","","Medienmaster","588","1782","1785","1782","1782","2974","Firefox","47.0.0.5999","1","46","","0","3","0","1969",
"07/02/2016","16:01:33","Step 1","https://im-im2.hdm-stuttgart.de","548","1033","","975","7662","1","1","1","1","0","0","0","0","0","773","","","","1033","","","","","1","","","2","0","548","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","1033","200","0","0","","","0","0","0","1","","199","","Medienmaster","660","572","587","507","507","1764","Firefox","47.0.0.5999","1","56","","0","3","1","839",
"07/02/2016","16:01:51","Step 1","https://im-im2.hdm-stuttgart.de","1869","270","","4918","813345","2","2","44","44","0","0","0","0","0","775","","","","1869","","","","","0","","","2","0","1869","","","1","98","0","-1","-1","-1","100","-1","-1","100","4918","813345","2","2","44","44","0","0","0","0","59","","","-1","","","","271","200","0","0","","","197899","80962","0","1","","199","","Medienmaster","565","1826","1838","1824","1824","3075","Firefox","47.0.0.5999","1","42","","0","4","0","1916",
"07/02/2016","16:02:10","Step 1","https://im-im2.hdm-stuttgart.de","542","1033","","975","7662","1","1","1","1","0","0","0","0","0","760","","","","1034","","","","","1","","","2","0","542","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","1034","200","0","0","","","0","0","0","1","","199","","Medienmaster","655","575","581","350","351","1856","Firefox","47.0.0.5999","1","48","","0","4","1","842",
"07/02/2016","16:02:28","Step 1","https://im-im2.hdm-stuttgart.de","1917","276","","5197","813391","2","2","44","44","0","0","0","0","0","786","","","","2148","","","","","0","","","2","0","1917","","","1","98","0","-1","-1","-1","100","-1","-1","100","5123","812904","2","2","43","43","0","0","0","0","59","","","-1","","","","280","200","0","0","","","197899","80962","0","1","","175","","Medienmaster","608","1804","1807","1793","1803","2974","Firefox","47.0.0.5999","1","42","","0","5","0","1964",
"07/02/2016","16:02:48","Step 1","https://im-im2.hdm-stuttgart.de","540","1044","","975","7663","1","1","1","1","0","0","0","0","0","760","","","","1045","","","","","1","","","2","0","540","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","1045","200","0","0","","","0","0","0","1","","199","","Medienmaster","650","560","579","500","501","1765","Firefox","47.0.0.5999","1","54","","0","5","1","836",
