"Date","Time","Event Name","URL","Load Time (ms)","Time to First Byte (ms)","unused","Bytes Out","Bytes In","DNS Lookups","Connections","Requests","OK Responses","Redirects","Not Modified","Not Found","Other Responses","Error Code","Time to Start Render (ms)","Segments Transmitted","Segments Retransmitted","Packet Loss (out)","Activity Time(ms)","Descriptor","Lab ID","Dialer ID","Connection Type","Cached","Event URL","Pagetest Build","Measurement Type","Experimental","Doc Complete Time (ms)","Event GUID","Time to DOM Element (ms)","Includes Object Data","Cache Score","Static CDN Score","One CDN Score","GZIP Score","Cookie Score","Keep-Alive Score","DOCTYPE Score","Minify Score","Combine Score","Bytes Out (Doc)","Bytes In (Doc)","DNS Lookups (Doc)","Connections (Doc)","Requests (Doc)","OK Responses (Doc)","Redirects (Doc)","Not Modified (Doc)","Not Found (Doc)","Other Responses (Doc)","Compression Score","Host","IP Address","ETag Score","Flagged Requests","Flagged Connections","Max Simultaneous Flagged Connections","Time to Base Page Complete (ms)","Base Page Result","Gzip Total Bytes","Gzip Savings","Minify Total Bytes","Minify Savings","Image Total Bytes","Image Savings","Base Page Redirects","Optimization Checked","AFT (ms)","DOM Elements","PageSpeed Version","Page Title","Time to Title","Load Event Start","Load Event End","DOM Content Ready Start","DOM Content Ready End","Visually Complete (ms)","Browser Name","Browser Version","Base Page Server Count","Base Page Server RTT","Base Page CDN","Adult Site","Run","Cached","Speed Index"
"06/25/2016","09:28:24","Step 1","https://im-im2.hdm-stuttgart.de/index.html","1839","274","","5838","816647","2","2","54","54","0","0","0","0","0","1011","","","","1873","","","","","0","","","2","0","1839","","","1","99","0","-1","-1","-1","100","-1","-1","100","5838","816149","2","2","54","54","0","0","0","0","59","","","-1","","","","275","200","0","0","","","197899","80962","0","1","","209","","Medienmaster","474","1829","1840","1149","1149","2383","Firefox","47.0.0.5999","1","46","","0","1","0","1449",
"06/25/2016","09:28:42","Step 1","https://im-im2.hdm-stuttgart.de/index.html","535","1108","","975","7663","1","1","1","1","0","0","0","0","0","761","","","","1109","","","","","1","","","2","0","535","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","1109","200","0","0","","","0","0","0","1","","209","","Medienmaster","751","571","585","507","507","1761","Firefox","47.0.0.5999","1","69","","0","1","1","837",
"06/25/2016","09:29:01","Step 1","https://im-im2.hdm-stuttgart.de/index.html","1818","268","","5838","816594","2","2","54","54","0","0","0","0","0","972","","","","1855","","","","","0","","","2","0","1818","","","1","99","0","-1","-1","-1","100","-1","-1","100","5838","816096","2","2","54","54","0","0","0","0","59","","","-1","","","","269","200","0","0","","","197899","80962","0","1","","209","","Medienmaster","597","1817","1820","1146","1146","2383","Firefox","47.0.0.5999","1","49","","0","2","0","1461",
"06/25/2016","09:29:18","Step 1","https://im-im2.hdm-stuttgart.de/index.html","655","1090","","975","7662","1","1","1","1","0","0","0","0","0","860","","","","1090","","","","","1","","","2","0","655","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","1090","200","0","0","","","0","0","0","1","","209","","Medienmaster","672","625","628","392","392","1658","Firefox","47.0.0.5999","1","44","","0","2","1","913",
"06/25/2016","09:29:36","Step 1","https://im-im2.hdm-stuttgart.de/index.html","1798","257","","5838","816561","2","2","54","54","0","0","0","0","0","970","","","","1840","","","","","0","","","2","0","1798","","","1","99","0","-1","-1","-1","100","-1","-1","100","5838","816063","2","2","54","54","0","0","0","0","59","","","-1","","","","258","200","0","0","","","197899","80962","0","1","","209","","Medienmaster","514","1788","1799","1140","1140","2379","Firefox","47.0.0.5999","1","45","","0","3","0","1452",
"06/25/2016","09:29:55","Step 1","https://im-im2.hdm-stuttgart.de/index.html","546","1082","","975","7663","1","1","1","1","0","0","0","0","0","759","","","","1084","","","","","1","","","2","0","546","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","1084","200","0","0","","","0","0","0","1","","209","","Medienmaster","652","579","589","424","425","1752","Firefox","47.0.0.5999","1","53","","0","3","1","842",
"06/25/2016","09:30:13","Step 1","https://im-im2.hdm-stuttgart.de/index.html","1807","286","","5838","816647","2","2","54","54","0","0","0","0","0","997","","","","1849","","","","","0","","","2","0","1807","","","1","99","0","-1","-1","-1","100","-1","-1","100","5838","816149","2","2","54","54","0","0","0","0","59","","","-1","","","","287","200","0","0","","","197899","80962","0","1","","209","","Medienmaster","616","1801","1814","1214","1215","2488","Firefox","47.0.0.5999","1","46","","0","4","0","1404",
"06/25/2016","09:30:31","Step 1","https://im-im2.hdm-stuttgart.de/index.html","539","1102","","975","7663","1","1","1","1","0","0","0","0","0","764","","","","1102","","","","","1","","","2","0","539","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","1102","200","0","0","","","0","0","0","1","","209","","Medienmaster","654","580","595","524","524","1759","Firefox","47.0.0.5999","1","59","","0","4","1","837",
"06/25/2016","09:30:49","Step 1","https://im-im2.hdm-stuttgart.de/index.html","1856","292","","5838","816510","2","2","54","54","0","0","0","0","0","990","","","","1907","","","","","0","","","2","0","1856","","","1","99","0","-1","-1","-1","100","-1","-1","100","5838","816023","2","2","54","54","0","0","0","0","59","","","-1","","","","293","200","0","0","","","197899","80962","0","1","","209","","Medienmaster","488","1856","1858","1240","1240","2479","Firefox","47.0.0.5999","1","47","","0","5","0","1403",
"06/25/2016","09:31:07","Step 1","https://im-im2.hdm-stuttgart.de/index.html","519","1024","","975","7662","1","1","1","1","0","0","0","0","0","758","","","","1025","","","","","1","","","2","0","519","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","1025","200","0","0","","","0","0","0","1","","209","","Medienmaster","629","563","577","500","501","1754","Firefox","47.0.0.5999","1","51","","0","5","1","840",
"06/25/2016","09:31:25","Step 1","https://im-im2.hdm-stuttgart.de/index.html","1866","283","","5838","816567","2","2","54","54","0","0","0","0","0","931","","","","1901","","","","","0","","","2","0","1866","","","1","99","0","-1","-1","-1","100","-1","-1","100","5838","816080","2","2","54","54","0","0","0","0","59","","","-1","","","","284","200","0","0","","","197899","80962","0","1","","209","","Medienmaster","485","1864","1868","1163","1171","2483","Firefox","47.0.0.5999","1","52","","0","6","0","1456",
