Date;Time;Event Name;URL;Load Time (ms);Time to First Byte (ms);unused;Bytes Out;Bytes In;DNS Lookups;Connections;Requests;OK Responses;Redirects;Not Modified;Not Found;Other Responses;Error Code;Time to Start Render (ms);Segments Transmitted;Segments Retransmitted;Packet Loss (out);Activity Time(ms);Descriptor;Lab ID;Dialer ID;Connection Type;Cached;Event URL;Pagetest Build;Measurement Type;Experimental;Doc Complete Time (ms);Event GUID;Time to DOM Element (ms);Includes Object Data;Cache Score;Static CDN Score;One CDN Score;GZIP Score;Cookie Score;Keep-Alive Score;DOCTYPE Score;Minify Score;Combine Score;Bytes Out (Doc);Bytes In (Doc);DNS Lookups (Doc);Connections (Doc);Requests (Doc);OK Responses (Doc);Redirects (Doc);Not Modified (Doc);Not Found (Doc);Other Responses (Doc);Compression Score;Host;IP Address;ETag Score;Flagged Requests;Flagged Connections;Max Simultaneous Flagged Connections;Time to Base Page Complete (ms);Base Page Result;Gzip Total Bytes;Gzip Savings;Minify Total Bytes;Minify Savings;Image Total Bytes;Image Savings;Base Page Redirects;Optimization Checked;AFT (ms);DOM Elements;PageSpeed Version;Page Title;Time to Title;Load Event Start;Load Event End;DOM Content Ready Start;DOM Content Ready End;Visually Complete (ms);Browser Name;Browser Version;Base Page Server Count;Base Page Server RTT;Base Page CDN;Adult Site;Run;Cached;Speed Index
07.10.2016;18:10:04;Step 1;https://im-im2.hdm-stuttgart.de/dozenten2.html;1367;286;;6393;543452;2;2;65;65;0;0;0;0;0;1082;;;;1407;;;;;0;;;2;0;1367;;;1;99;0;-1;-1;-1;100;-1;-1;100;6393;542965;2;2;65;65;0;0;0;0;61;;;-1;;;;287;200;0;0;;;174628;66480;0;1;;602;;Medienmaster;565;1366;1369;980;980;1369;Firefox;47.0.0.5999;1;54;;0;1;0;1103
07.10.2016;18:10:19;Step 1;https://im-im2.hdm-stuttgart.de/dozenten2.html;429;763;;975;7663;1;1;1;1;0;0;0;0;0;487;;;;764;;;;;1;;;2;0;429;;;1;100;-1;-1;-1;-1;100;-1;-1;100;0;0;0;0;0;0;0;0;0;0;-1;;;-1;;;;764;200;0;0;;;0;0;0;1;;602;;Medienmaster;485;392;395;343;343;487;Firefox;47.0.0.5999;1;46;;0;1;1;500
07.10.2016;18:10:35;Step 1;https://im-im2.hdm-stuttgart.de/dozenten2.html;1351;271;;6393;543453;2;2;65;65;0;0;0;0;0;972;;;;1390;;;;;0;;;2;0;1351;;;1;99;0;-1;-1;-1;100;-1;-1;100;6319;542966;2;2;64;64;0;0;0;0;61;;;-1;;;;272;200;0;0;;;174628;66480;0;1;;602;;Medienmaster;557;1356;1358;864;864;1275;Firefox;47.0.0.5999;1;45;;0;2;0;1003
07.10.2016;18:10:51;Step 1;https://im-im2.hdm-stuttgart.de/dozenten2.html;315;664;;975;7663;1;1;1;1;0;0;0;0;0;478;;;;664;;;;;1;;;2;0;315;;;1;100;-1;-1;-1;-1;100;-1;-1;100;0;0;0;0;0;0;0;0;0;0;-1;;;-1;;;;664;200;0;0;;;0;0;0;1;;602;;Medienmaster;135;434;448;352;364;478;Firefox;47.0.0.5999;1;45;;0;2;1;500
07.10.2016;18:11:05;Step 1;https://im-im2.hdm-stuttgart.de/dozenten2.html;1336;274;;6393;543453;2;2;65;65;0;0;0;0;0;955;;;;1385;;;;;0;;;2;0;1336;;;1;99;0;-1;-1;-1;100;-1;-1;100;6319;542966;2;2;64;64;0;0;0;0;61;;;-1;;;;275;200;0;0;;;174628;66480;0;1;;602;;Medienmaster;556;1336;1339;826;826;1275;Firefox;47.0.0.5999;1;45;;0;3;0;1003
07.10.2016;18:11:20;Step 1;https://im-im2.hdm-stuttgart.de/dozenten2.html;407;735;;975;7662;1;1;1;1;0;0;0;0;0;457;;;;736;;;;;1;;;2;0;407;;;1;100;-1;-1;-1;-1;100;-1;-1;100;0;0;0;0;0;0;0;0;0;0;-1;;;-1;;;;736;200;0;0;;;0;0;0;1;;602;;Medienmaster;455;444;458;415;415;457;Firefox;47.0.0.5999;1;51;;0;3;1;500
07.10.2016;18:11:35;Step 1;https://im-im2.hdm-stuttgart.de/dozenten2.html;1340;277;;6393;543394;2;2;65;65;0;0;0;0;0;952;;;;1373;;;;;0;;;2;0;1340;;;1;99;0;-1;-1;-1;100;-1;-1;100;6393;542907;2;2;65;65;0;0;0;0;61;;;-1;;;;278;200;0;0;;;174628;66480;0;1;;602;;Medienmaster;543;1339;1342;936;936;1283;Firefox;47.0.0.5999;1;51;;0;4;0;1003
07.10.2016;18:11:50;Step 1;https://im-im2.hdm-stuttgart.de/dozenten2.html;417;756;;975;7663;1;1;1;1;0;0;0;0;0;471;;;;757;;;;;1;;;2;0;417;;;1;100;-1;-1;-1;-1;100;-1;-1;100;0;0;0;0;0;0;0;0;0;0;-1;;;-1;;;;757;200;0;0;;;0;0;0;1;;602;;Medienmaster;469;451;468;396;396;471;Firefox;47.0.0.5999;1;51;;0;4;1;500
07.10.2016;18:12:06;Step 1;https://im-im2.hdm-stuttgart.de/dozenten2.html;1341;277;;6393;543395;2;2;65;65;0;0;0;0;0;875;;;;1377;;;;;0;;;2;0;1341;;;1;99;0;-1;-1;-1;100;-1;-1;100;6393;542908;2;2;65;65;0;0;0;0;61;;;-1;;;;278;200;0;0;;;174628;66480;0;1;;602;;Medienmaster;555;1348;1351;989;989;1375;Firefox;47.0.0.5999;1;46;;0;5;0;905
07.10.2016;18:12:22;Step 1;https://im-im2.hdm-stuttgart.de/dozenten2.html;412;768;;975;7663;1;1;1;1;0;0;0;0;0;475;;;;769;;;;;1;;;2;0;412;;;1;100;-1;-1;-1;-1;100;-1;-1;100;0;0;0;0;0;0;0;0;0;0;-1;;;-1;;;;769;200;0;0;;;0;0;0;1;;602;;Medienmaster;474;450;463;397;397;475;Firefox;47.0.0.5999;1;51;;0;5;1;500
07.10.2016;18:12:37;Step 1;https://im-im2.hdm-stuttgart.de/dozenten2.html;1340;283;;6393;543424;2;2;65;65;0;0;0;0;0;954;;;;1370;;;;;0;;;2;0;1340;;;1;99;0;-1;-1;-1;100;-1;-1;100;6393;542937;2;2;65;65;0;0;0;0;61;;;-1;;;;284;200;0;0;;;174628;66480;0;1;;602;;Medienmaster;554;1340;1342;820;820;1375;Firefox;47.0.0.5999;1;51;;0;6;0;1004
