"Date","Time","Event Name","URL","Load Time (ms)","Time to First Byte (ms)","unused","Bytes Out","Bytes In","DNS Lookups","Connections","Requests","OK Responses","Redirects","Not Modified","Not Found","Other Responses","Error Code","Time to Start Render (ms)","Segments Transmitted","Segments Retransmitted","Packet Loss (out)","Activity Time(ms)","Descriptor","Lab ID","Dialer ID","Connection Type","Cached","Event URL","Pagetest Build","Measurement Type","Experimental","Doc Complete Time (ms)","Event GUID","Time to DOM Element (ms)","Includes Object Data","Cache Score","Static CDN Score","One CDN Score","GZIP Score","Cookie Score","Keep-Alive Score","DOCTYPE Score","Minify Score","Combine Score","Bytes Out (Doc)","Bytes In (Doc)","DNS Lookups (Doc)","Connections (Doc)","Requests (Doc)","OK Responses (Doc)","Redirects (Doc)","Not Modified (Doc)","Not Found (Doc)","Other Responses (Doc)","Compression Score","Host","IP Address","ETag Score","Flagged Requests","Flagged Connections","Max Simultaneous Flagged Connections","Time to Base Page Complete (ms)","Base Page Result","Gzip Total Bytes","Gzip Savings","Minify Total Bytes","Minify Savings","Image Total Bytes","Image Savings","Base Page Redirects","Optimization Checked","AFT (ms)","DOM Elements","PageSpeed Version","Page Title","Time to Title","Load Event Start","Load Event End","DOM Content Ready Start","DOM Content Ready End","Visually Complete (ms)","Browser Name","Browser Version","Base Page Server Count","Base Page Server RTT","Base Page CDN","Adult Site","Run","Cached","Speed Index"
"07/10/2016","18:15:18","Step 1","https://im-im2.hdm-stuttgart.de/dozenten2.html","1293","279","","6577","543447","2","2","65","65","0","0","0","0","0","979","","","","1327","","","","","0","","","2","0","1293","","","1","99","0","-1","-1","-1","100","-1","-1","100","6577","542983","2","2","65","65","0","0","0","0","61","","","-1","","","","280","200","0","0","","","174628","66480","0","1","","602","","Medienmaster","700","1293","1295","875","875","1295","Firefox","47.0.0.5999","1","46","","0","1","0","1003",
"07/10/2016","18:15:33","Step 1","https://im-im2.hdm-stuttgart.de/dozenten2.html","419","769","","975","7663","1","1","1","1","0","0","0","0","0","482","","","","770","","","","","1","","","2","0","419","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","770","200","0","0","","","0","0","0","1","","602","","Medienmaster","472","444","458","390","390","482","Firefox","47.0.0.5999","1","53","","0","1","1","500",
"07/10/2016","18:15:49","Step 1","https://im-im2.hdm-stuttgart.de/dozenten2.html","1356","292","","6393","543500","2","2","65","65","0","0","0","0","0","976","","","","1392","","","","","0","","","2","0","1356","","","1","99","0","-1","-1","-1","100","-1","-1","100","6393","543035","2","2","65","65","0","0","0","0","61","","","-1","","","","293","200","0","0","","","174628","66480","0","1","","602","","Medienmaster","566","1361","1363","859","859","1359","Firefox","47.0.0.5999","1","51","","0","2","0","1004",
"07/10/2016","18:16:04","Step 1","https://im-im2.hdm-stuttgart.de/dozenten2.html","431","788","","975","7663","1","1","1","1","0","0","0","0","0","654","","","","789","","","","","1","","","2","0","431","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","789","200","0","0","","","0","0","0","1","","602","","Medienmaster","460","466","480","400","400","654","Firefox","47.0.0.5999","1","46","","0","2","1","700",
"07/10/2016","18:16:20","Step 1","https://im-im2.hdm-stuttgart.de/dozenten2.html","1350","289","","6393","543389","2","2","65","65","0","0","0","0","0","910","","","","1385","","","","","0","","","2","0","1350","","","1","99","0","-1","-1","-1","100","-1","-1","100","6393","542925","2","2","65","65","0","0","0","0","61","","","-1","","","","290","200","0","0","","","174628","66480","0","1","","602","","Medienmaster","558","1350","1352","818","818","1283","Firefox","47.0.0.5999","1","46","","0","3","0","904",
"07/10/2016","18:16:35","Step 1","https://im-im2.hdm-stuttgart.de/dozenten2.html","398","749","","975","7663","1","1","1","1","0","0","0","0","0","462","","","","750","","","","","1","","","2","0","398","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","750","200","0","0","","","0","0","0","1","","602","","Medienmaster","460","441","454","397","397","462","Firefox","47.0.0.5999","1","51","","0","3","1","500",
"07/10/2016","18:16:50","Step 1","https://im-im2.hdm-stuttgart.de/dozenten2.html","1349","286","","6393","543396","2","2","65","65","0","0","0","0","0","953","","","","1384","","","","","0","","","2","0","1349","","","1","99","0","-1","-1","-1","100","-1","-1","100","6393","542908","2","2","65","65","0","0","0","0","61","","","-1","","","","287","200","0","0","","","174628","66480","0","1","","602","","Medienmaster","552","1349","1351","838","838","1275","Firefox","47.0.0.5999","1","51","","0","4","0","1003",
"07/10/2016","18:17:05","Step 1","https://im-im2.hdm-stuttgart.de/dozenten2.html","434","801","","975","7663","1","1","1","1","0","0","0","0","0","499","","","","802","","","","","1","","","2","0","434","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","802","200","0","0","","","0","0","0","1","","602","","Medienmaster","497","460","473","394","394","499","Firefox","47.0.0.5999","1","52","","0","4","1","500",
"07/10/2016","18:17:21","Step 1","https://im-im2.hdm-stuttgart.de/dozenten2.html","1342","268","","6393","543417","2","2","65","65","0","0","0","0","0","954","","","","1381","","","","","0","","","2","0","1342","","","1","99","0","-1","-1","-1","100","-1","-1","100","6393","542953","2","2","65","65","0","0","0","0","61","","","-1","","","","269","200","0","0","","","174628","66480","0","1","","602","","Medienmaster","542","1342","1352","955","955","1283","Firefox","47.0.0.5999","1","51","","0","5","0","1003",
"07/10/2016","18:17:36","Step 1","https://im-im2.hdm-stuttgart.de/dozenten2.html","386","716","","975","7662","1","1","1","1","0","0","0","0","0","449","","","","717","","","","","1","","","2","0","386","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","717","200","0","0","","","0","0","0","1","","602","","Medienmaster","448","433","446","398","398","449","Firefox","47.0.0.5999","1","45","","0","5","1","400",
