"Date","Time","Event Name","URL","Load Time (ms)","Time to First Byte (ms)","unused","Bytes Out","Bytes In","DNS Lookups","Connections","Requests","OK Responses","Redirects","Not Modified","Not Found","Other Responses","Error Code","Time to Start Render (ms)","Segments Transmitted","Segments Retransmitted","Packet Loss (out)","Activity Time(ms)","Descriptor","Lab ID","Dialer ID","Connection Type","Cached","Event URL","Pagetest Build","Measurement Type","Experimental","Doc Complete Time (ms)","Event GUID","Time to DOM Element (ms)","Includes Object Data","Cache Score","Static CDN Score","One CDN Score","GZIP Score","Cookie Score","Keep-Alive Score","DOCTYPE Score","Minify Score","Combine Score","Bytes Out (Doc)","Bytes In (Doc)","DNS Lookups (Doc)","Connections (Doc)","Requests (Doc)","OK Responses (Doc)","Redirects (Doc)","Not Modified (Doc)","Not Found (Doc)","Other Responses (Doc)","Compression Score","Host","IP Address","ETag Score","Flagged Requests","Flagged Connections","Max Simultaneous Flagged Connections","Time to Base Page Complete (ms)","Base Page Result","Gzip Total Bytes","Gzip Savings","Minify Total Bytes","Minify Savings","Image Total Bytes","Image Savings","Base Page Redirects","Optimization Checked","AFT (ms)","DOM Elements","PageSpeed Version","Page Title","Time to Title","Load Event Start","Load Event End","DOM Content Ready Start","DOM Content Ready End","Visually Complete (ms)","Browser Name","Browser Version","Base Page Server Count","Base Page Server RTT","Base Page CDN","Adult Site","Run","Cached","Speed Index"
"07/10/2016","18:31:30","Step 1","https://im-im2.hdm-stuttgart.de/dozenten2.html","1288","286","","7445","546849","2","2","65","65","0","0","0","0","0","1082","","","","1323","","","","","0","","","2","0","1288","","","1","99","0","-1","-1","-1","100","-1","-1","100","7445","546362","2","2","65","65","0","0","0","0","61","","","-1","","","","287","200","0","0","","","174628","66480","0","1","","602","","Medienmaster","617","1280","1282","945","945","1290","Firefox","47.0.0.5999","1","52","","0","1","0","1102",
"07/10/2016","18:31:45","Step 1","https://im-im2.hdm-stuttgart.de/dozenten2.html","430","778","","975","7663","1","1","1","1","0","0","0","0","0","656","","","","779","","","","","1","","","2","0","430","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","779","200","0","0","","","0","0","0","1","","602","","Medienmaster","455","464","478","400","400","656","Firefox","47.0.0.5999","1","52","","0","1","1","700",
"07/10/2016","18:32:01","Step 1","https://im-im2.hdm-stuttgart.de/dozenten2.html","1305","297","","7306","546844","2","2","65","65","0","0","0","0","0","1078","","","","1340","","","","","0","","","2","0","1305","","","1","99","0","-1","-1","-1","100","-1","-1","100","7306","546379","2","2","65","65","0","0","0","0","61","","","-1","","","","298","200","0","0","","","174628","66480","0","1","","602","","Medienmaster","642","1309","1311","980","980","1307","Firefox","47.0.0.5999","1","53","","0","2","0","1102",
"07/10/2016","18:32:16","Step 1","https://im-im2.hdm-stuttgart.de/dozenten2.html","428","772","","975","7663","1","1","1","1","0","0","0","0","0","479","","","","773","","","","","1","","","2","0","428","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","773","200","0","0","","","0","0","0","1","","602","","Medienmaster","477","454","467","387","387","479","Firefox","47.0.0.5999","1","51","","0","2","1","500",
"07/10/2016","18:32:32","Step 1","https://im-im2.hdm-stuttgart.de/dozenten2.html","1553","548","","7561","546820","2","2","65","65","0","0","0","0","0","1283","","","","1588","","","","","0","","","2","0","1553","","","1","99","0","-1","-1","-1","100","-1","-1","100","7561","546333","2","2","65","65","0","0","0","0","61","","","-1","","","","549","200","0","0","","","174628","66480","0","1","","602","","Medienmaster","874","1549","1551","1200","1200","1483","Firefox","47.0.0.5999","1","51","","0","3","0","1302",
"07/10/2016","18:32:47","Step 1","https://im-im2.hdm-stuttgart.de/dozenten2.html","414","751","","975","7662","1","1","1","1","0","0","0","0","0","458","","","","752","","","","","1","","","2","0","414","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","752","200","0","0","","","0","0","0","1","","602","","Medienmaster","456","382","392","346","346","458","Firefox","47.0.0.5999","1","51","","0","3","1","500",
"07/10/2016","18:33:02","Step 1","https://im-im2.hdm-stuttgart.de/dozenten2.html","1295","280","","7731","546836","2","2","65","65","0","0","0","0","0","1083","","","","1330","","","","","0","","","2","0","1295","","","1","99","0","-1","-1","-1","100","-1","-1","100","7731","546372","2","2","65","65","0","0","0","0","61","","","-1","","","","281","200","0","0","","","174628","66480","0","1","","602","","Medienmaster","601","1294","1296","923","923","1297","Firefox","47.0.0.5999","1","52","","0","4","0","1102",
"07/10/2016","18:33:17","Step 1","https://im-im2.hdm-stuttgart.de/dozenten2.html","394","736","","975","7663","1","1","1","1","0","0","0","0","0","457","","","","737","","","","","1","","","2","0","394","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","737","200","0","0","","","0","0","0","1","","602","","Medienmaster","455","432","437","396","396","457","Firefox","47.0.0.5999","1","46","","0","4","1","500",
"07/10/2016","18:33:32","Step 1","https://im-im2.hdm-stuttgart.de/dozenten2.html","1277","270","","7420","546837","2","2","65","65","0","0","0","0","0","1075","","","","1311","","","","","0","","","2","0","1277","","","1","99","0","-1","-1","-1","100","-1","-1","100","7420","546372","2","2","65","65","0","0","0","0","61","","","-1","","","","271","200","0","0","","","174628","66480","0","1","","602","","Medienmaster","603","1276","1278","946","946","1279","Firefox","47.0.0.5999","1","51","","0","5","0","1102",
"07/10/2016","18:33:47","Step 1","https://im-im2.hdm-stuttgart.de/dozenten2.html","413","755","","975","7663","1","1","1","1","0","0","0","0","0","480","","","","756","","","","","1","","","2","0","413","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","756","200","0","0","","","0","0","0","1","","602","","Medienmaster","466","455","468","391","391","480","Firefox","47.0.0.5999","1","45","","0","5","1","500",
"07/10/2016","18:34:03","Step 1","https://im-im2.hdm-stuttgart.de/dozenten2.html","1308","257","","8382","546819","2","2","65","65","0","0","0","0","0","1084","","","","1343","","","","","0","","","2","0","1308","","","1","99","0","-1","-1","-1","100","-1","-1","100","8382","546332","2","2","65","65","0","0","0","0","61","","","-1","","","","258","200","0","0","","","174628","66480","0","1","","602","","Medienmaster","909","1316","1318","938","938","1323","Firefox","47.0.0.5999","1","45","","0","6","0","1102",
"07/10/2016","18:34:18","Step 1","https://im-im2.hdm-stuttgart.de/dozenten2.html","411","782","","975","7663","1","1","1","1","0","0","0","0","0","476","","","","783","","","","","1","","","2","0","411","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","783","200","0","0","","","0","0","0","1","","602","","Medienmaster","474","449","467","394","394","476","Firefox","47.0.0.5999","1","51","","0","6","1","500",
"07/10/2016","18:34:34","Step 1","https://im-im2.hdm-stuttgart.de/dozenten2.html","1285","284","","7646","546764","2","2","65","65","0","0","0","0","0","1083","","","","1325","","","","","0","","","2","0","1285","","","1","99","0","-1","-1","-1","100","-1","-1","100","7646","546275","2","2","65","65","0","0","0","0","61","","","-1","","","","285","200","0","0","","","174628","66480","0","1","","602","","Medienmaster","616","1285","1287","943","943","1295","Firefox","47.0.0.5999","1","53","","0","7","0","1102",
"07/10/2016","18:34:49","Step 1","https://im-im2.hdm-stuttgart.de/dozenten2.html","408","752","","975","7662","1","1","1","1","0","0","0","0","0","474","","","","753","","","","","1","","","2","0","408","","","1","100","-1","-1","-1","-1","100","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","753","200","0","0","","","0","0","0","1","","602","","Medienmaster","472","445","460","378","378","474","Firefox","47.0.0.5999","1","51","","0","7","1","500",
"07/10/2016","18:35:05","Step 1","https://im-im2.hdm-stuttgart.de/dozenten2.html","1259","259","","7190","546785","2","2","65","65","0","0","0","0","0","1081","","","","1292","","","","","0","","","2","0","1259","","","1","99","0","-1","-1","-1","100","-1","-1","100","7190","546320","2","2","65","65","0","0","0","0","61","","","-1","","","","259","200","0","0","","","174628","66480","0","1","","602","","Medienmaster","611","1263","1270","977","977","1289","Firefox","47.0.0.5999","1","46","","0","8","0","1102",
