"Date","Time","Event Name","URL","Load Time (ms)","Time to First Byte (ms)","unused","Bytes Out","Bytes In","DNS Lookups","Connections","Requests","OK Responses","Redirects","Not Modified","Not Found","Other Responses","Error Code","Time to Start Render (ms)","Segments Transmitted","Segments Retransmitted","Packet Loss (out)","Activity Time(ms)","Descriptor","Lab ID","Dialer ID","Connection Type","Cached","Event URL","Pagetest Build","Measurement Type","Experimental","Doc Complete Time (ms)","Event GUID","Time to DOM Element (ms)","Includes Object Data","Cache Score","Static CDN Score","One CDN Score","GZIP Score","Cookie Score","Keep-Alive Score","DOCTYPE Score","Minify Score","Combine Score","Bytes Out (Doc)","Bytes In (Doc)","DNS Lookups (Doc)","Connections (Doc)","Requests (Doc)","OK Responses (Doc)","Redirects (Doc)","Not Modified (Doc)","Not Found (Doc)","Other Responses (Doc)","Compression Score","Host","IP Address","ETag Score","Flagged Requests","Flagged Connections","Max Simultaneous Flagged Connections","Time to Base Page Complete (ms)","Base Page Result","Gzip Total Bytes","Gzip Savings","Minify Total Bytes","Minify Savings","Image Total Bytes","Image Savings","Base Page Redirects","Optimization Checked","AFT (ms)","DOM Elements","PageSpeed Version","Page Title","Time to Title","Load Event Start","Load Event End","DOM Content Ready Start","DOM Content Ready End","Visually Complete (ms)","Browser Name","Browser Version","Base Page Server Count","Base Page Server RTT","Base Page CDN","Adult Site","Run","Cached","Speed Index"
"08/03/2016","15:41:46","Step 1","https://im-im2.hdm-stuttgart.de/","4400","242","","5326","820094","1","1","53","53","0","0","0","0","0","2183","","","","4481","","","","","0","","","2","0","4400","","","1","99","0","-1","-1","-1","100","-1","-1","100","5259","819607","1","1","52","52","0","0","0","0","59","","","-1","","","","247","200","0","0","","","197899","80962","0","1","","209","","Medienmaster","477","4124","4215","2910","2910","5481","Google Chrome","52.0.2743.82","1","33","","0","1","0","3593",
"08/03/2016","15:42:07","Step 1","https://im-im2.hdm-stuttgart.de/","3331","0","","660","10800","0","0","0","0","0","0","0","0","0","1415","","","","3331","","","","","1","","","2","0","3331","","","1","-1","-1","-1","-1","-1","-1","-1","-1","100","660","10800","0","0","0","0","0","0","0","0","-1","","","-1","","","","0","0","0","0","","","0","0","0","1","","209","","Medienmaster","5","3513","3527","2501","2501","3608","Google Chrome","52.0.2743.82","0","","","0","1","1","2893",
"08/03/2016","15:42:27","Step 1","https://im-im2.hdm-stuttgart.de/","4890","236","","5326","820192","1","1","53","53","0","0","0","0","0","2085","","","","5040","","","","","0","","","2","0","4890","","","1","99","0","-1","-1","-1","100","-1","-1","100","5259","819705","1","1","52","52","0","0","0","0","59","","","-1","","","","245","200","0","0","","","197899","80962","0","1","","209","","Medienmaster","476","4639","4669","3140","3140","7079","Google Chrome","52.0.2743.82","1","37","","0","2","0","4071",
"08/03/2016","15:42:49","Step 1","https://im-im2.hdm-stuttgart.de/","2992","0","","660","10800","0","0","0","0","0","0","0","0","0","1723","","","","2992","","","","","1","","","2","0","2992","","","1","-1","-1","-1","-1","-1","-1","-1","-1","100","660","10800","0","0","0","0","0","0","0","0","-1","","","-1","","","","0","0","0","0","","","0","0","0","1","","209","","Medienmaster","12","3230","3250","2978","2978","4214","Google Chrome","52.0.2743.82","0","","","0","2","1","3029",
"08/03/2016","15:43:10","Step 1","https://im-im2.hdm-stuttgart.de/","4468","231","","5326","820140","1","1","53","53","0","0","0","0","0","1988","","","","4562","","","","","0","","","2","0","4468","","","1","99","0","-1","-1","-1","100","-1","-1","100","5259","819653","1","1","52","52","0","0","0","0","59","","","-1","","","","235","200","0","0","","","197899","80962","0","1","","209","","Medienmaster","473","4010","4075","3445","3445","5275","Google Chrome","52.0.2743.82","1","34","","0","3","0","3972",
"08/03/2016","15:43:32","Step 1","https://im-im2.hdm-stuttgart.de/","3006","0","","660","10800","0","0","0","0","0","0","0","0","0","1397","","","","3006","","","","","1","","","2","0","3006","","","1","-1","-1","-1","-1","-1","-1","-1","-1","100","660","10800","0","0","0","0","0","0","0","0","-1","","","-1","","","","0","0","0","0","","","0","0","0","1","","209","","Medienmaster","0","3106","3139","2635","2635","4095","Google Chrome","52.0.2743.82","0","","","0","3","1","3048",
"08/03/2016","15:43:51","Step 1","https://im-im2.hdm-stuttgart.de/","4124","228","","5326","820072","1","1","53","53","0","0","0","0","0","2285","","","","4310","","","","","0","","","2","0","4124","","","1","99","0","-1","-1","-1","100","-1","-1","100","5259","819585","1","1","52","52","0","0","0","0","59","","","-1","","","","235","200","0","0","","","197899","80962","0","1","","209","","Medienmaster","482","3700","4034","3503","3503","5288","Google Chrome","52.0.2743.82","1","41","","0","4","0","4010",
"08/03/2016","15:44:13","Step 1","https://im-im2.hdm-stuttgart.de/","3050","0","","660","10800","0","0","0","0","0","0","0","0","0","2109","","","","3050","","","","","1","","","2","0","3050","","","1","-1","-1","-1","-1","-1","-1","-1","-1","100","660","10800","0","0","0","0","0","0","0","0","-1","","","-1","","","","0","0","0","0","","","0","0","0","1","","209","","Medienmaster","9","3263","3280","2454","2454","4106","Google Chrome","52.0.2743.82","0","","","0","4","1","2921",
"08/03/2016","15:44:33","Step 1","https://im-im2.hdm-stuttgart.de/","4360","230","","5326","820120","1","1","53","53","0","0","0","0","0","1876","","","","4421","","","","","0","","","2","0","4360","","","1","99","0","-1","-1","-1","100","-1","-1","100","5259","819633","1","1","52","52","0","0","0","0","59","","","-1","","","","234","200","0","0","","","197899","80962","0","1","","209","","Medienmaster","469","3886","3936","3230","3230","5171","Google Chrome","52.0.2743.82","1","37","","0","5","0","4062",
"08/03/2016","15:44:53","Step 1","https://im-im2.hdm-stuttgart.de/","3077","0","","660","10800","0","0","0","0","0","0","0","0","0","1702","","","","3077","","","","","1","","","2","0","3077","","","1","-1","-1","-1","-1","-1","-1","-1","-1","100","660","10800","0","0","0","0","0","0","0","0","-1","","","-1","","","","0","0","0","0","","","0","0","0","1","","209","","Medienmaster","0","3295","3354","2430","2430","3796","Google Chrome","52.0.2743.82","0","","","0","5","1","2910",
