"Date","Time","Event Name","URL","Load Time (ms)","Time to First Byte (ms)","unused","Bytes Out","Bytes In","DNS Lookups","Connections","Requests","OK Responses","Redirects","Not Modified","Not Found","Other Responses","Error Code","Time to Start Render (ms)","Segments Transmitted","Segments Retransmitted","Packet Loss (out)","Activity Time(ms)","Descriptor","Lab ID","Dialer ID","Connection Type","Cached","Event URL","Pagetest Build","Measurement Type","Experimental","Doc Complete Time (ms)","Event GUID","Time to DOM Element (ms)","Includes Object Data","Cache Score","Static CDN Score","One CDN Score","GZIP Score","Cookie Score","Keep-Alive Score","DOCTYPE Score","Minify Score","Combine Score","Bytes Out (Doc)","Bytes In (Doc)","DNS Lookups (Doc)","Connections (Doc)","Requests (Doc)","OK Responses (Doc)","Redirects (Doc)","Not Modified (Doc)","Not Found (Doc)","Other Responses (Doc)","Compression Score","Host","IP Address","ETag Score","Flagged Requests","Flagged Connections","Max Simultaneous Flagged Connections","Time to Base Page Complete (ms)","Base Page Result","Gzip Total Bytes","Gzip Savings","Minify Total Bytes","Minify Savings","Image Total Bytes","Image Savings","Base Page Redirects","Optimization Checked","AFT (ms)","DOM Elements","PageSpeed Version","Page Title","Time to Title","Load Event Start","Load Event End","DOM Content Ready Start","DOM Content Ready End","Visually Complete (ms)","Browser Name","Browser Version","Base Page Server Count","Base Page Server RTT","Base Page CDN","Adult Site","Run","Cached","Speed Index"
"08/03/2016","16:16:35","Step 1","https://im-im2.hdm-stuttgart.de/","1796","208","","23229","828807","1","6","53","53","0","0","0","0","0","682","","","","1900","","","","","0","","","2","0","1796","","","1","99","0","-1","54","-1","100","-1","-1","100","22936","828082","1","6","52","52","0","0","0","0","59","","","-1","","","","213","200","468785","215448","","","197899","80962","0","1","","252","","Medienmaster","381","1803","1821","1227","1227","2482","Internet Explorer","11.0.9600.17280","1","34","","0","1","0","1553",
"08/03/2016","16:16:54","Step 1","https://im-im2.hdm-stuttgart.de/","1085","192","","21236","401821","1","6","48","48","0","0","0","0","0","804","","","","1184","","","","","1","","","2","0","1085","","","1","98","0","-1","100","-1","100","-1","-1","100","20943","401096","1","6","47","47","0","0","0","0","59","","","-1","","","","197","200","110506","0","","","197899","80962","0","1","","252","","Medienmaster","392","1096","1098","638","638","1794","Internet Explorer","11.0.9600.17280","1","34","","0","1","1","1012",
"08/03/2016","16:17:13","Step 1","https://im-im2.hdm-stuttgart.de/","2005","248","","23229","828807","1","6","53","53","0","0","0","0","0","692","","","","2064","","","","","0","","","2","0","2005","","","1","99","0","-1","54","-1","100","-1","-1","100","22936","828082","1","6","52","52","0","0","0","0","59","","","-1","","","","250","200","468785","215448","","","197899","80962","0","1","","252","","Medienmaster","690","2012","2023","967","967","2293","Internet Explorer","11.0.9600.17280","1","35","","0","2","0","1328",
"08/03/2016","16:17:32","Step 1","https://im-im2.hdm-stuttgart.de/","1103","180","","21236","401821","1","6","48","48","0","0","0","0","0","726","","","","1181","","","","","1","","","2","0","1103","","","1","98","0","-1","100","-1","100","-1","-1","100","20943","401096","1","6","47","47","0","0","0","0","59","","","-1","","","","184","200","110506","0","","","197899","80962","0","1","","252","","Medienmaster","393","1106","1108","633","633","1786","Internet Explorer","11.0.9600.17280","1","34","","0","2","1","1029",
"08/03/2016","16:17:50","Step 1","https://im-im2.hdm-stuttgart.de/","1945","212","","23229","828807","1","6","53","53","0","0","0","0","0","692","","","","2011","","","","","0","","","2","0","1945","","","1","99","0","-1","54","-1","100","-1","-1","100","22936","828082","1","6","52","52","0","0","0","0","59","","","-1","","","","217","200","468785","215448","","","197899","80962","0","1","","252","","Medienmaster","385","1948","1951","1185","1185","2400","Internet Explorer","11.0.9600.17280","1","34","","0","3","0","1493",
"08/03/2016","16:18:10","Step 1","https://im-im2.hdm-stuttgart.de/","1103","181","","21236","401821","1","6","48","48","0","0","0","0","0","784","","","","1192","","","","","1","","","2","0","1103","","","1","98","0","-1","100","-1","100","-1","-1","100","20943","401096","1","6","47","47","0","0","0","0","59","","","-1","","","","186","200","110506","0","","","197899","80962","0","1","","252","","Medienmaster","398","1114","1117","626","626","1888","Internet Explorer","11.0.9600.17280","1","34","","0","3","1","1013",
"08/03/2016","16:18:28","Step 1","https://im-im2.hdm-stuttgart.de/","1998","212","","23229","828807","1","6","53","53","0","0","0","0","0","485","","","","2061","","","","","0","","","2","0","1998","","","1","99","0","-1","54","-1","100","-1","-1","100","22936","828082","1","6","52","52","0","0","0","0","59","","","-1","","","","217","200","468785","215448","","","197899","80962","0","1","","252","","Medienmaster","379","2001","2004","1035","1035","2191","Internet Explorer","11.0.9600.17280","1","34","","0","4","0","1426",
"08/03/2016","16:18:47","Step 1","https://im-im2.hdm-stuttgart.de/","1121","182","","21236","401821","1","6","48","48","0","0","0","0","0","707","","","","1202","","","","","1","","","2","0","1121","","","1","98","0","-1","100","-1","100","-1","-1","100","20943","401096","1","6","47","47","0","0","0","0","59","","","-1","","","","186","200","110506","0","","","197899","80962","0","1","","252","","Medienmaster","385","1125","1135","620","620","1886","Internet Explorer","11.0.9600.17280","1","34","","0","4","1","899",
"08/03/2016","16:19:07","Step 1","https://im-im2.hdm-stuttgart.de/","1841","212","","23229","828807","1","6","53","53","0","0","0","0","0","701","","","","1929","","","","","0","","","2","0","1841","","","1","99","0","-1","54","-1","100","-1","-1","100","22936","828082","1","6","52","52","0","0","0","0","59","","","-1","","","","216","200","468785","215448","","","197899","80962","0","1","","252","","Medienmaster","393","1845","1848","1254","1254","2495","Internet Explorer","11.0.9600.17280","1","34","","0","5","0","1553",
"08/03/2016","16:19:26","Step 1","https://im-im2.hdm-stuttgart.de/","1083","186","","21236","401821","1","6","48","48","0","0","0","0","0","783","","","","1145","","","","","1","","","2","0","1083","","","1","98","0","-1","100","-1","100","-1","-1","100","20943","401096","1","6","47","47","0","0","0","0","59","","","-1","","","","190","200","110506","0","","","197899","80962","0","1","","252","","Medienmaster","384","1087","1097","629","629","1883","Internet Explorer","11.0.9600.17280","1","34","","0","5","1","954",
