Date;Time;Event Name;IP Address;Action;Host;URL;Response Code;Time to Load (ms);Time to First Byte (ms);Start Time (ms);Bytes Out;Bytes In;Object Size;Cookie Size (out);Cookie Count(out);Expires;Cache Control;Content Type;Content Encoding;Transaction Type;Socket ID;Document ID;End Time (ms);Descriptor;Lab ID;Dialer ID;Connection Type;Cached;Event URL;Pagetest Build;Measurement Type;Experimental;Event GUID;Sequence Number;Cache Score;Static CDN Score;GZIP Score;Cookie Score;Keep-Alive Score;DOCTYPE Score;Minify Score;Combine Score;Compression Score;ETag Score;Flagged;Secure;DNS Time;Connect Time;SSL Time;Gzip Total Bytes;Gzip Savings;Minify Total Bytes;Minify Savings;Image Total Bytes;Image Savings;Cache Time (sec);Real Start Time (ms);Full Time to Load (ms);Optimization Checked;CDN Provider;DNS Start;DNS End;Connect Start;Connect End;SSL Negotiation Start;SSL Negotiation End;Initiator;Initiator Line;Initiator Column;Server Count;Server RTT;Run;Cached
07/25/2016;16:46:54;Step 1;93.184.220.29;POST;ocsp.digicert.com;/;200;315;315;39;444;788;471;;;Mon, 01 Aug 2016 04:46:50 GMT;max-age=510896;application/ocsp-response;;3;20;;354;;;;;;;;;;;1;50;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;-1;-1;-1;0;0;0;0;0;0;561600;;;1;Edgecast;0;0;0;0;0;0;;;;1;315;1;0
07/25/2016;16:46:54;Step 1;54.149.54.54;GET;search.services.mozilla.com;/1/firefox/47.0/release/en-US/DE/default/default;200;472;472;116;393;302;169;;;;;application/json;;3;29;;588;;;;;;;;;;;2;0;-1;-1;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;0;;;1;;0;0;0;0;0;0;;;;3;465;1;0
07/25/2016;16:46:54;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/dozenten.html;200;331;320;622;319;7349;6934;;;Mon, 25 Jul 2016 17:46:50 GMT;max-age=3600;text/html;gzip;3;53;;953;;;;;;;;;;;3;50;-1;100;-1;100;-1;-1;-1;-1;-1;0;0;-1;-1;-1;7349;0;0;0;0;0;3600;;;1;;0;308;308;622;0;0;;;;1;313;1;0
07/25/2016;16:46:54;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/style.css;200;319;318;1001;329;1933;1538;;;Tue, 25 Jul 2017 16:46:51 GMT;max-age=31536000;text/css;gzip;3;53;;1320;;;;;;;;;;;4;100;0;100;-1;100;-1;-1;-1;-1;-1;0;0;-1;-1;-1;1933;0;0;0;0;0;31536000;;;1;;0;0;0;0;0;0;;;;1;313;1;0
07/25/2016;16:46:54;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/http1/stylehttp1.css;200;334;323;1001;340;4604;4186;;;Tue, 25 Jul 2017 16:46:51 GMT;max-age=31536000;text/css;gzip;3;54;;1335;;;;;;;;;;;5;100;0;100;-1;100;-1;-1;-1;-1;-1;0;0;-1;-1;-1;4604;0;0;0;0;0;31536000;;;1;;0;0;309;622;0;0;;;;1;313;1;0
07/25/2016;16:46:54;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/http1/bootstrap.css;200;679;329;1001;339;21657;21237;;;Tue, 25 Jul 2017 16:46:51 GMT;max-age=31536000;text/css;gzip;3;55;;1680;;;;;;;;;;;6;100;0;100;-1;100;-1;-1;-1;-1;-1;0;0;-1;-1;-1;21657;0;0;0;0;0;31536000;;;1;;0;0;559;873;0;0;;;;1;313;1;0
07/25/2016;16:46:54;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/js/jquery.min.js;200;703;335;1003;317;30336;29902;;;Tue, 25 Jul 2017 16:46:51 GMT;max-age=31536000;application/javascript;gzip;3;56;;1706;;;;;;;;;;;7;100;0;100;-1;100;-1;-1;-1;-1;-1;0;0;-1;-1;-1;30336;0;0;0;0;0;31536000;;;1;;0;0;559;873;0;0;;;;1;313;1;0
07/25/2016;16:46:54;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/js/http1/bootstrap.min.js;200;344;320;1320;326;10197;9765;;;Tue, 25 Jul 2017 16:46:51 GMT;max-age=31536000;application/javascript;gzip;3;63;;1664;;;;;;;;;;;8;100;0;100;-1;100;-1;-1;-1;-1;-1;0;0;-1;-1;-1;10197;0;0;0;0;0;31536000;;;1;;0;0;1004;1320;0;0;;;;1;313;1;0
07/25/2016;16:46:54;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/uploads/logos/logo-hdm.png;200;316;316;1689;327;946;605;;;Wed, 24 Aug 2016 16:46:51 GMT;max-age=2592000;image/png;;3;63;;2005;;;;;;;;;;;9;100;0;-1;-1;100;-1;-1;-1;-1;-1;0;0;-1;-1;-1;0;0;0;0;0;0;2592000;;;1;;0;0;0;0;0;0;;;;1;313;1;0
07/25/2016;16:46:54;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/uploads/sponsoren/united-internet.png;200;358;327;1689;338;10235;9892;;;Wed, 24 Aug 2016 16:46:51 GMT;max-age=2592000;image/png;;3;53;;2047;;;;;;;;;;;10;100;0;-1;-1;100;-1;-1;-1;-1;-1;0;0;-1;-1;-1;0;0;0;0;0;0;2592000;;;1;;0;0;0;0;0;0;;;;1;313;1;0
07/25/2016;16:46:54;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/uploads/sponsoren/dmc.png;200;324;319;1689;326;2548;2206;;;Wed, 24 Aug 2016 16:46:51 GMT;max-age=2592000;image/png;;3;54;;2013;;;;;;;;;;;11;100;0;-1;-1;100;-1;-1;-1;-1;-1;0;0;-1;-1;-1;0;0;0;0;0;0;2592000;;;1;;0;0;0;0;0;0;;;;1;313;1;0
