Werte;Reihe;Testlaufnummer;Run
6439;HTTP2;1;1
6298;HTTP2;1;2
6483;HTTP2;1;3
6302;HTTP2;1;4
6302;HTTP2;1;5
6508;HTTP2;1;6
6299;HTTP2;1;7
6259;HTTP2;1;8
6286;HTTP2;1;9
6278;HTTP2;2;1
6313;HTTP2;2;2
6342;HTTP2;2;3
6240;HTTP2;2;4
6315;HTTP2;2;5
6313;HTTP2;2;6
6423;HTTP2;2;7
6254;HTTP2;2;8
6484;HTTP2;2;9
6315;HTTP2;3;1
6333;HTTP2;3;2
6306;HTTP2;3;3
6301;HTTP2;3;4
6303;HTTP2;3;5
6312;HTTP2;3;6
6529;HTTP2;3;7
6478;HTTP2;3;8
6339;HTTP2;3;9
3956;HTTP1;1;1
4005;HTTP1;1;2
3995;HTTP1;1;3
3949;HTTP1;1;4
3944;HTTP1;1;5
4005;HTTP1;1;6
3970;HTTP1;1;7
3982;HTTP1;1;8
4208;HTTP1;1;9
3960;HTTP1;2;1
3961;HTTP1;2;2
3957;HTTP1;2;3
4002;HTTP1;2;4
4042;HTTP1;2;5
3992;HTTP1;2;6
4005;HTTP1;2;7
3988;HTTP1;2;8
4039;HTTP1;2;9
4002;HTTP1;3;1
3960;HTTP1;3;2
3827;HTTP1;3;3
4036;HTTP1;3;4
3971;HTTP1;3;5
4015;HTTP1;3;6
4016;HTTP1;3;7
3943;HTTP1;3;8
3950;HTTP1;3;9
