Date;Time;Event Name;IP Address;Action;Host;URL;Response Code;Time to Load (ms);Time to First Byte (ms);Start Time (ms);Bytes Out;Bytes In;Object Size;Cookie Size (out);Cookie Count(out);Expires;Cache Control;Content Type;Content Encoding;Transaction Type;Socket ID;Document ID;End Time (ms);Descriptor;Lab ID;Dialer ID;Connection Type;Cached;Event URL;Pagetest Build;Measurement Type;Experimental;Event GUID;Sequence Number;Cache Score;Static CDN Score;GZIP Score;Cookie Score;Keep-Alive Score;DOCTYPE Score;Minify Score;Combine Score;Compression Score;ETag Score;Flagged;Secure;DNS Time;Connect Time;SSL Time;Gzip Total Bytes;Gzip Savings;Minify Total Bytes;Minify Savings;Image Total Bytes;Image Savings;Cache Time (sec);Real Start Time (ms);Full Time to Load (ms);Optimization Checked;CDN Provider;DNS Start;DNS End;;;Connect Start;Connect End;;;SSL Negotiation Start;SSL Negotiation End;;;Initiator;Initiator Line;Initiator Column;Server Count;Server RTT;Run;Cached
07/25/2016;15:37:46;Step 1;93.184.220.29;POST;ocsp.digicert.com;/;200;314;314;140;444;788;471;;;Mon, 01 Aug 2016 03:37:41 GMT;max-age=499829;application/ocsp-response;;3;18;;454;;;;;;;;;;;1;50;-1;-1;-1;100;-1;-1;-1;-1;-1;0;0;-1;-1;-1;0;0;0;0;0;0;561600;;;1;Edgecast;0;0;0;;0;0;0;;0;0;;;;;;1;308;1;0
07/25/2016;15:37:46;Step 1;93.184.220.29;POST;ocsp.digicert.com;/;200;313;313;350;444;788;471;;;Mon, 01 Aug 2016 03:37:42 GMT;max-age=499829;application/ocsp-response;;3;17;;663;;;;;;;;;;;2;50;-1;-1;-1;100;-1;-1;-1;-1;-1;0;0;-1;-1;-1;0;0;0;0;0;0;561600;;;1;Edgecast;0;0;0;;0;0;0;;0;0;;;;;;1;308;1;0
07/25/2016;15:37:46;Step 1;54.191.85.92;GET;search.services.mozilla.com;/1/firefox/47.0/release/en-US/DE/default/default;200;484;484;456;393;302;169;;;;;application/json;;3;31;;940;;;;;;;;;;;3;0;-1;-1;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;0;;;1;;0;0;0;;0;0;0;;0;0;;;;;;3;466;1;0
07/25/2016;15:37:46;Step 1;193.174.13.86;POST;ocsp.pca.dfn.de;/OCSP-Server/OCSP;200;347;346;1619;449;1894;1498;;;Thu, 04 Aug 2016 15:37:43 GMT;max-age=864000, public, no-transform, must-revalidate;application/ocsp-response;;3;58;;1966;;;;;;;;;;;4;100;-1;-1;-1;100;-1;-1;-1;-1;-1;0;0;-1;-1;-1;0;0;0;0;0;0;864000;;;1;;969;1297;328;;1297;1619;322;;0;0;;;;;;1;320;1;0
07/25/2016;15:37:46;Step 1;193.174.13.86;POST;ocsp.pca.dfn.de;/OCSP-Server/OCSP;200;355;354;1619;449;1894;1498;;;Thu, 04 Aug 2016 15:37:43 GMT;max-age=864000, public, no-transform, must-revalidate;application/ocsp-response;;3;57;;1974;;;;;;;;;;;5;100;-1;-1;-1;100;-1;-1;-1;-1;-1;0;0;-1;-1;-1;0;0;0;0;0;0;864000;;;1;;0;0;0;;1297;1619;322;;0;0;;;;;;1;320;1;0
07/25/2016;15:37:46;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/;200;329;320;1968;163;3590;3436;;;Mon, 25 Jul 2016 16:37:43 GMT;max-age=3600;text/html;gzip;3;53;;2297;;;;;;;;;;;6;50;-1;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;3600;;;1;;0;317;317;;317;630;313;;631;1284;653;;;;;1;312;1;0
07/25/2016;15:37:46;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/style.css;200;321;318;2367;65;1668;1538;;;Tue, 25 Jul 2017 15:37:44 GMT;max-age=31536000;text/css;gzip;3;53;;2688;;;;;;;;;;;7;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;;0;0;0;;0;0;;;;;;1;312;1;0
07/25/2016;15:37:46;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/slider.css;200;321;318;2368;26;770;710;;;Tue, 25 Jul 2017 15:37:44 GMT;max-age=31536000;text/css;gzip;3;53;;2689;;;;;;;;;;;8;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;;0;0;0;;0;0;;;;;;1;312;1;0
07/25/2016;15:37:46;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/http2/stylehttp2.css;200;323;318;2368;32;2017;1955;;;Tue, 25 Jul 2017 15:37:44 GMT;max-age=31536000;text/css;gzip;3;53;;2691;;;;;;;;;;;9;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;;0;0;0;;0;0;;;;;;1;312;1;0
07/25/2016;15:37:46;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/http2/menu.css;200;325;317;2369;28;1269;1207;;;Tue, 25 Jul 2017 15:37:44 GMT;max-age=31536000;text/css;gzip;3;53;;2694;;;;;;;;;;;10;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;;0;0;0;;0;0;;;;;;1;312;1;0
