Werte;Reihe;Testlaufnummer;Run
3479;HTTP2;1;1
3385;HTTP2;1;2
3380;HTTP2;1;3
3383;HTTP2;1;4
3482;HTTP2;1;5
3482;HTTP2;1;6
3381;HTTP2;1;7
3382;HTTP2;1;8
3383;HTTP2;1;9
3288;HTTP2;2;1
3378;HTTP2;2;2
3483;HTTP2;2;3
3378;HTTP2;2;4
3474;HTTP2;2;5
3271;HTTP2;2;6
3393;HTTP2;2;7
3383;HTTP2;2;8
3295;HTTP2;2;9
3383;HTTP2;3;1
3406;HTTP2;3;2
3319;HTTP2;3;3
3418;HTTP2;3;4
3474;HTTP2;3;5
3474;HTTP2;3;6
3382;HTTP2;3;7
3483;HTTP2;3;8
3444;HTTP2;3;9
2559;HTTP1;1;1
2608;HTTP1;1;2
2543;HTTP1;1;3
2557;HTTP1;1;4
2547;HTTP1;1;5
2549;HTTP1;1;6
2538;HTTP1;1;7
2573;HTTP1;1;8
2566;HTTP1;1;9
2582;HTTP1;2;1
2634;HTTP1;2;2
2514;HTTP1;2;3
2529;HTTP1;2;4
2600;HTTP1;2;5
2513;HTTP1;2;6
2545;HTTP1;2;7
2518;HTTP1;2;8
2576;HTTP1;2;9
2500;HTTP1;3;1
2546;HTTP1;3;2
2523;HTTP1;3;3
2543;HTTP1;3;4
2575;HTTP1;3;5
2570;HTTP1;3;6
2637;HTTP1;3;7
2550;HTTP1;3;8
2561;HTTP1;3;9
