Werte;Reihe;Testlaufnummer;Run
6028;HTTP2;1;1
5477;HTTP2;1;2
5724;HTTP2;1;3
5979;HTTP2;1;4
5777;HTTP2;1;5
6002;HTTP2;1;6
5775;HTTP2;1;7
5714;HTTP2;1;8
6345;HTTP2;1;9
5939;HTTP2;2;1
5912;HTTP2;2;2
6248;HTTP2;2;3
6015;HTTP2;2;4
5975;HTTP2;2;5
5421;HTTP2;2;6
5979;HTTP2;2;7
5717;HTTP2;2;8
5907;HTTP2;2;9
6012;HTTP2;3;1
7685;HTTP2;3;2
5689;HTTP2;3;3
5865;HTTP2;3;4
5954;HTTP2;3;5
5744;HTTP2;3;6
5813;HTTP2;3;7
6952;HTTP2;3;8
6156;HTTP2;3;9
4435;HTTP1;1;1
4343;HTTP1;1;2
4502;HTTP1;1;3
4316;HTTP1;1;4
4445;HTTP1;1;5
4479;HTTP1;1;6
4294;HTTP1;1;7
4362;HTTP1;1;8
4374;HTTP1;1;9
4124;HTTP1;2;1
4123;HTTP1;2;2
4060;HTTP1;2;3
4078;HTTP1;2;4
4123;HTTP1;2;5
4107;HTTP1;2;6
4528;HTTP1;2;7
4404;HTTP1;2;8
4358;HTTP1;2;9
4010;HTTP1;3;1
4025;HTTP1;3;2
4043;HTTP1;3;3
4087;HTTP1;3;4
4068;HTTP1;3;5
4080;HTTP1;3;6
4087;HTTP1;3;7
4031;HTTP1;3;8
4090;HTTP1;3;9
