Werte;Reihe;Testlaufnummer;Run
3419;HTTP2 viele kleine Dateien;1;1
3427;HTTP2 viele kleine Dateien;1;2
3443;HTTP2 viele kleine Dateien;1;3
3431;HTTP2 viele kleine Dateien;1;4
3438;HTTP2 viele kleine Dateien;1;5
3438;HTTP2 viele kleine Dateien;1;6
3437;HTTP2 viele kleine Dateien;1;7
3396;HTTP2 viele kleine Dateien;1;8
3442;HTTP2 viele kleine Dateien;1;9
3478;HTTP2 viele kleine Dateien;2;1
3419;HTTP2 viele kleine Dateien;2;2
3501;HTTP2 viele kleine Dateien;2;3
3379;HTTP2 viele kleine Dateien;2;4
3509;HTTP2 viele kleine Dateien;2;5
3491;HTTP2 viele kleine Dateien;2;6
3382;HTTP2 viele kleine Dateien;2;7
3280;HTTP2 viele kleine Dateien;2;8
3449;HTTP2 viele kleine Dateien;2;9
3363;HTTP2 viele kleine Dateien;3;1
3439;HTTP2 viele kleine Dateien;3;2
3435;HTTP2 viele kleine Dateien;3;3
3441;HTTP2 viele kleine Dateien;3;4
3426;HTTP2 viele kleine Dateien;3;5
3442;HTTP2 viele kleine Dateien;3;6
3388;HTTP2 viele kleine Dateien;3;7
3415;HTTP2 viele kleine Dateien;3;8
3475;HTTP2 viele kleine Dateien;3;9
3534;HTTP2 wenige groﬂe Dateien;1;1
3427;HTTP2 wenige groﬂe Dateien;1;2
3383;HTTP2 wenige groﬂe Dateien;1;3
3402;HTTP2 wenige groﬂe Dateien;1;4
3436;HTTP2 wenige groﬂe Dateien;1;5
3419;HTTP2 wenige groﬂe Dateien;1;6
3384;HTTP2 wenige groﬂe Dateien;1;7
3425;HTTP2 wenige groﬂe Dateien;1;8
3404;HTTP2 wenige groﬂe Dateien;1;9
3404;HTTP2 wenige groﬂe Dateien;2;1
3468;HTTP2 wenige groﬂe Dateien;2;2
3410;HTTP2 wenige groﬂe Dateien;2;3
3401;HTTP2 wenige groﬂe Dateien;2;4
3304;HTTP2 wenige groﬂe Dateien;2;5
3433;HTTP2 wenige groﬂe Dateien;2;6
3431;HTTP2 wenige groﬂe Dateien;2;7
3292;HTTP2 wenige groﬂe Dateien;2;8
3427;HTTP2 wenige groﬂe Dateien;2;9
3442;HTTP2 wenige groﬂe Dateien;3;1
3285;HTTP2 wenige groﬂe Dateien;3;2
3275;HTTP2 wenige groﬂe Dateien;3;3
3296;HTTP2 wenige groﬂe Dateien;3;4
3425;HTTP2 wenige groﬂe Dateien;3;5
3425;HTTP2 wenige groﬂe Dateien;3;6
3423;HTTP2 wenige groﬂe Dateien;3;7
3284;HTTP2 wenige groﬂe Dateien;3;8
3434;HTTP2 wenige groﬂe Dateien;3;9
