Werte;Reihe;Testlaufnummer;Run
6439;HTTP2 viele kleine Dateien;1;1
6298;HTTP2 viele kleine Dateien;1;2
6483;HTTP2 viele kleine Dateien;1;3
6302;HTTP2 viele kleine Dateien;1;4
6302;HTTP2 viele kleine Dateien;1;5
6508;HTTP2 viele kleine Dateien;1;6
6299;HTTP2 viele kleine Dateien;1;7
6259;HTTP2 viele kleine Dateien;1;8
6286;HTTP2 viele kleine Dateien;1;9
6278;HTTP2 viele kleine Dateien;2;1
6313;HTTP2 viele kleine Dateien;2;2
6342;HTTP2 viele kleine Dateien;2;3
6240;HTTP2 viele kleine Dateien;2;4
6315;HTTP2 viele kleine Dateien;2;5
6313;HTTP2 viele kleine Dateien;2;6
6423;HTTP2 viele kleine Dateien;2;7
6254;HTTP2 viele kleine Dateien;2;8
6484;HTTP2 viele kleine Dateien;2;9
6315;HTTP2 viele kleine Dateien;3;1
6333;HTTP2 viele kleine Dateien;3;2
6306;HTTP2 viele kleine Dateien;3;3
6301;HTTP2 viele kleine Dateien;3;4
6303;HTTP2 viele kleine Dateien;3;5
6312;HTTP2 viele kleine Dateien;3;6
6529;HTTP2 viele kleine Dateien;3;7
6478;HTTP2 viele kleine Dateien;3;8
6339;HTTP2 viele kleine Dateien;3;9
4669;HTTP2 wenige groﬂe Dateien;1;1
4633;HTTP2 wenige groﬂe Dateien;1;2
4584;HTTP2 wenige groﬂe Dateien;1;3
4615;HTTP2 wenige groﬂe Dateien;1;4
4630;HTTP2 wenige groﬂe Dateien;1;5
4611;HTTP2 wenige groﬂe Dateien;1;6
4581;HTTP2 wenige groﬂe Dateien;1;7
4633;HTTP2 wenige groﬂe Dateien;1;8
4607;HTTP2 wenige groﬂe Dateien;1;9
4620;HTTP2 wenige groﬂe Dateien;2;1
4800;HTTP2 wenige groﬂe Dateien;2;2
4633;HTTP2 wenige groﬂe Dateien;2;3
4593;HTTP2 wenige groﬂe Dateien;2;4
4622;HTTP2 wenige groﬂe Dateien;2;5
4635;HTTP2 wenige groﬂe Dateien;2;6
4653;HTTP2 wenige groﬂe Dateien;2;7
4619;HTTP2 wenige groﬂe Dateien;2;8
4614;HTTP2 wenige groﬂe Dateien;2;9
4642;HTTP2 wenige groﬂe Dateien;3;1
4594;HTTP2 wenige groﬂe Dateien;3;2
4629;HTTP2 wenige groﬂe Dateien;3;3
4588;HTTP2 wenige groﬂe Dateien;3;4
4632;HTTP2 wenige groﬂe Dateien;3;5
4636;HTTP2 wenige groﬂe Dateien;3;6
4630;HTTP2 wenige groﬂe Dateien;3;7
4576;HTTP2 wenige groﬂe Dateien;3;8
4624;HTTP2 wenige groﬂe Dateien;3;9
