Date;Time;Event Name;IP Address;Action;Host;URL;Response Code;Time to Load (ms);Time to First Byte (ms);Start Time (ms);Bytes Out;Bytes In;Object Size;Cookie Size (out);Cookie Count(out);Expires;Cache Control;Content Type;Content Encoding;Transaction Type;Socket ID;Document ID;End Time (ms);Descriptor;Lab ID;Dialer ID;Connection Type;Cached;Event URL;Pagetest Build;Measurement Type;Experimental;Event GUID;Sequence Number;Cache Score;Static CDN Score;GZIP Score;Cookie Score;Keep-Alive Score;DOCTYPE Score;Minify Score;Combine Score;Compression Score;ETag Score;Flagged;Secure;DNS Time;Connect Time;SSL Time;Gzip Total Bytes;Gzip Savings;Minify Total Bytes;Minify Savings;Image Total Bytes;Image Savings;Cache Time (sec);Real Start Time (ms);Full Time to Load (ms);Optimization Checked;CDN Provider;DNS Start;DNS End;Connect Start;Connect End;SSL Negotiation Start;SSL Negotiation End;Initiator;Initiator Line;Initiator Column;Server Count;Server RTT;Run;Cached
07/26/2016;17:04:55;Step 1;93.184.220.29;POST;ocsp.digicert.com;/;200;314;314;206;444;788;471;;;Tue, 02 Aug 2016 05:04:56 GMT;max-age=516864;application/ocsp-response;;3;17;;520;;;;;;;;;;;1;50;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;-1;-1;-1;0;0;0;0;0;0;561600;;;1;Edgecast;0;0;0;0;0;0;;;;1;309;1;0
07/26/2016;17:04:55;Step 1;54.69.136.250;GET;search.services.mozilla.com;/1/firefox/47.0/release/en-US/DE/default/default;200;470;470;282;393;302;169;;;;;application/json;;3;31;;752;;;;;;;;;;;2;0;-1;-1;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;0;;;1;;0;0;0;0;0;0;;;;3;462;1;0
07/26/2016;17:04:55;Step 1;193.174.13.86;POST;ocsp.pca.dfn.de;/OCSP-Server/OCSP;200;345;344;1629;449;1894;1498;;;Fri, 05 Aug 2016 17:04:57 GMT;max-age=864000, public, no-transform, must-revalidate;application/ocsp-response;;3;57;;1974;;;;;;;;;;;3;100;-1;-1;-1;100;-1;-1;-1;-1;-1;0;0;-1;-1;-1;0;0;0;0;0;0;864000;;;1;;972;1305;1306;1629;0;0;;;;1;320;1;0
07/26/2016;17:04:55;Step 1;193.174.13.86;POST;ocsp.pca.dfn.de;/OCSP-Server/OCSP;200;352;351;1633;449;1894;1498;;;Fri, 05 Aug 2016 17:04:57 GMT;max-age=864000, public, no-transform, must-revalidate;application/ocsp-response;;3;58;;1985;;;;;;;;;;;4;100;-1;-1;-1;100;-1;-1;-1;-1;-1;0;0;-1;-1;-1;0;0;0;0;0;0;864000;;;1;;0;0;1306;1633;0;0;;;;1;320;1;0
07/26/2016;17:04:55;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/;200;333;324;1977;163;3895;3436;;;Tue, 26 Jul 2016 18:04:58 GMT;max-age=3600;text/html;gzip;3;53;;2310;;;;;;;;;;;5;50;-1;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;3600;;;1;;0;318;318;631;631;1287;;;;1;312;1;0
07/26/2016;17:04:55;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/style.css;200;11;11;2299;0;1643;1538;;;Wed, 26 Jul 2017 17:04:58 GMT;max-age=31536000;text/css;gzip;3;53;;2310;;;;;;;;;;;6;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;0;0;0;;;;1;312;1;0
07/26/2016;17:04:55;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/slider.css;200;11;10;2300;0;770;710;;;Wed, 26 Jul 2017 17:04:58 GMT;max-age=31536000;text/css;gzip;3;53;;2311;;;;;;;;;;;7;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;0;0;0;;;;1;312;1;0
07/26/2016;17:04:55;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/http2/stylehttp2.css;200;22;22;2300;0;2017;1955;;;Wed, 26 Jul 2017 17:04:58 GMT;max-age=31536000;text/css;gzip;3;53;;2322;;;;;;;;;;;8;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;0;0;0;;;;1;312;1;0
07/26/2016;17:04:55;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/http2/menu.css;200;316;316;2300;0;1269;1207;;;Wed, 26 Jul 2017 17:04:58 GMT;max-age=31536000;text/css;gzip;3;53;;2616;;;;;;;;;;;9;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;0;0;0;;;;1;312;1;0
07/26/2016;17:04:55;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/http2/footer.css;200;319;319;2300;0;517;456;;;Wed, 26 Jul 2017 17:04:58 GMT;max-age=31536000;text/css;gzip;3;53;;2619;;;;;;;;;;;10;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;0;0;0;;;;1;312;1;0
