Werte;Reihe;Testlaufnummer;Run
3083;Server Push_CSS;1;1
3080;Server Push_CSS;1;2
2975;Server Push_CSS;1;3
3067;Server Push_CSS;1;4
3085;Server Push_CSS;1;5
3315;Server Push_CSS;1;6
3082;Server Push_CSS;1;7
2979;Server Push_CSS;1;8
2979;Server Push_CSS;1;9
3379;Server Push_CSS;2;1
3076;Server Push_CSS;2;2
2983;Server Push_CSS;2;3
2983;Server Push_CSS;2;4
2983;Server Push_CSS;2;5
2968;Server Push_CSS;2;6
2991;Server Push_CSS;2;7
3082;Server Push_CSS;2;8
3077;Server Push_CSS;2;9
3079;Server Push_CSS;3;1
2982;Server Push_CSS;3;2
2965;Server Push_CSS;3;3
2983;Server Push_CSS;3;4
3079;Server Push_CSS;3;5
3083;Server Push_CSS;3;6
3084;Server Push_CSS;3;7
2968;Server Push_CSS;3;8
3078;Server Push_CSS;3;9
3479;OHNE Server Push;1;1
3385;OHNE Server Push;1;2
3380;OHNE Server Push;1;3
3383;OHNE Server Push;1;4
3482;OHNE Server Push;1;5
3482;OHNE Server Push;1;6
3381;OHNE Server Push;1;7
3382;OHNE Server Push;1;8
3383;OHNE Server Push;1;9
3288;OHNE Server Push;2;1
3378;OHNE Server Push;2;2
3483;OHNE Server Push;2;3
3378;OHNE Server Push;2;4
3474;OHNE Server Push;2;5
3271;OHNE Server Push;2;6
3393;OHNE Server Push;2;7
3383;OHNE Server Push;2;8
3295;OHNE Server Push;2;9
3383;OHNE Server Push;3;1
3406;OHNE Server Push;3;2
3319;OHNE Server Push;3;3
3418;OHNE Server Push;3;4
3474;OHNE Server Push;3;5
3474;OHNE Server Push;3;6
3382;OHNE Server Push;3;7
3483;OHNE Server Push;3;8
3444;OHNE Server Push;3;9
