Werte;Reihe;Testlaufnummer;Run
5606;Server Push_CSS;1;1
6063;Server Push_CSS;1;2
5680;Server Push_CSS;1;3
5827;Server Push_CSS;1;4
6553;Server Push_CSS;1;5
5615;Server Push_CSS;1;6
5505;Server Push_CSS;1;7
5705;Server Push_CSS;1;8
5977;Server Push_CSS;1;9
5864;Server Push_CSS;2;1
5570;Server Push_CSS;2;2
6493;Server Push_CSS;2;3
5703;Server Push_CSS;2;4
5634;Server Push_CSS;2;5
5686;Server Push_CSS;2;6
5583;Server Push_CSS;2;7
5599;Server Push_CSS;2;8
5560;Server Push_CSS;2;9
5411;Server Push_CSS;3;1
5581;Server Push_CSS;3;2
5406;Server Push_CSS;3;3
5644;Server Push_CSS;3;4
5564;Server Push_CSS;3;5
5972;Server Push_CSS;3;6
5580;Server Push_CSS;3;7
5611;Server Push_CSS;3;8
5518;Server Push_CSS;3;9
6028;OHNE Server Push;1;1
5477;OHNE Server Push;1;2
5724;OHNE Server Push;1;3
5979;OHNE Server Push;1;4
5777;OHNE Server Push;1;5
6002;OHNE Server Push;1;6
5775;OHNE Server Push;1;7
5714;OHNE Server Push;1;8
6345;OHNE Server Push;1;9
5939;OHNE Server Push;2;1
5912;OHNE Server Push;2;2
6248;OHNE Server Push;2;3
6015;OHNE Server Push;2;4
5975;OHNE Server Push;2;5
5421;OHNE Server Push;2;6
5979;OHNE Server Push;2;7
5717;OHNE Server Push;2;8
5907;OHNE Server Push;2;9
6012;OHNE Server Push;3;1
7685;OHNE Server Push;3;2
5689;OHNE Server Push;3;3
5865;OHNE Server Push;3;4
5954;OHNE Server Push;3;5
5744;OHNE Server Push;3;6
5813;OHNE Server Push;3;7
6952;OHNE Server Push;3;8
6156;OHNE Server Push;3;9
