Werte;Reihe;Testlaufnummer;Run
3083;Server Push_CSS und_Schriften;1;1
3083;Server Push_CSS und_Schriften;1;2
2979;Server Push_CSS und_Schriften;1;3
2977;Server Push_CSS und_Schriften;1;4
2995;Server Push_CSS und_Schriften;1;5
3079;Server Push_CSS und_Schriften;1;6
3083;Server Push_CSS und_Schriften;1;7
3079;Server Push_CSS und_Schriften;1;8
2979;Server Push_CSS und_Schriften;1;9
2964;Server Push_CSS und_Schriften;2;1
3083;Server Push_CSS und_Schriften;2;2
3082;Server Push_CSS und_Schriften;2;3
2986;Server Push_CSS und_Schriften;2;4
3083;Server Push_CSS und_Schriften;2;5
2984;Server Push_CSS und_Schriften;2;6
2983;Server Push_CSS und_Schriften;2;7
2991;Server Push_CSS und_Schriften;2;8
2965;Server Push_CSS und_Schriften;2;9
2978;Server Push_CSS und_Schriften;3;1
2984;Server Push_CSS und_Schriften;3;2
2983;Server Push_CSS und_Schriften;3;3
3083;Server Push_CSS und_Schriften;3;4
2982;Server Push_CSS und_Schriften;3;5
3082;Server Push_CSS und_Schriften;3;6
3074;Server Push_CSS und_Schriften;3;7
2979;Server Push_CSS und_Schriften;3;8
3078;Server Push_CSS und_Schriften;3;9
3083;Server Push_CSS;1;1
3080;Server Push_CSS;1;2
2975;Server Push_CSS;1;3
3067;Server Push_CSS;1;4
3085;Server Push_CSS;1;5
3315;Server Push_CSS;1;6
3082;Server Push_CSS;1;7
2979;Server Push_CSS;1;8
2979;Server Push_CSS;1;9
3379;Server Push_CSS;2;1
3076;Server Push_CSS;2;2
2983;Server Push_CSS;2;3
2983;Server Push_CSS;2;4
2983;Server Push_CSS;2;5
2968;Server Push_CSS;2;6
2991;Server Push_CSS;2;7
3082;Server Push_CSS;2;8
3077;Server Push_CSS;2;9
3079;Server Push_CSS;3;1
2982;Server Push_CSS;3;2
2965;Server Push_CSS;3;3
2983;Server Push_CSS;3;4
3079;Server Push_CSS;3;5
3083;Server Push_CSS;3;6
3084;Server Push_CSS;3;7
2968;Server Push_CSS;3;8
3078;Server Push_CSS;3;9
