Werte;Reihe;Testlaufnummer;Run
5975;Server Push_CSS und_Schriften;1;1
5711;Server Push_CSS und_Schriften;1;2
5990;Server Push_CSS und_Schriften;1;3
5778;Server Push_CSS und_Schriften;1;4
6004;Server Push_CSS und_Schriften;1;5
5850;Server Push_CSS und_Schriften;1;6
5762;Server Push_CSS und_Schriften;1;7
6006;Server Push_CSS und_Schriften;1;8
6437;Server Push_CSS und_Schriften;1;9
6074;Server Push_CSS und_Schriften;2;1
6108;Server Push_CSS und_Schriften;2;2
5979;Server Push_CSS und_Schriften;2;3
7416;Server Push_CSS und_Schriften;2;4
5754;Server Push_CSS und_Schriften;2;5
5442;Server Push_CSS und_Schriften;2;6
5800;Server Push_CSS und_Schriften;2;7
5610;Server Push_CSS und_Schriften;2;8
5723;Server Push_CSS und_Schriften;2;9
5791;Server Push_CSS und_Schriften;3;1
7552;Server Push_CSS und_Schriften;3;2
6057;Server Push_CSS und_Schriften;3;3
5544;Server Push_CSS und_Schriften;3;4
5380;Server Push_CSS und_Schriften;3;5
5773;Server Push_CSS und_Schriften;3;6
5722;Server Push_CSS und_Schriften;3;7
5586;Server Push_CSS und_Schriften;3;8
5806;Server Push_CSS und_Schriften;3;9
5606;Server Push_CSS;1;1
6063;Server Push_CSS;1;2
5680;Server Push_CSS;1;3
5827;Server Push_CSS;1;4
6553;Server Push_CSS;1;5
5615;Server Push_CSS;1;6
5505;Server Push_CSS;1;7
5705;Server Push_CSS;1;8
5977;Server Push_CSS;1;9
5864;Server Push_CSS;2;1
5570;Server Push_CSS;2;2
6493;Server Push_CSS;2;3
5703;Server Push_CSS;2;4
5634;Server Push_CSS;2;5
5686;Server Push_CSS;2;6
5583;Server Push_CSS;2;7
5599;Server Push_CSS;2;8
5560;Server Push_CSS;2;9
5411;Server Push_CSS;3;1
5581;Server Push_CSS;3;2
5406;Server Push_CSS;3;3
5644;Server Push_CSS;3;4
5564;Server Push_CSS;3;5
5972;Server Push_CSS;3;6
5580;Server Push_CSS;3;7
5611;Server Push_CSS;3;8
5518;Server Push_CSS;3;9
