Date;Time;Event Name;IP Address;Action;Host;URL;Response Code;Time to Load (ms);Time to First Byte (ms);Start Time (ms);Bytes Out;Bytes In;Object Size;Cookie Size (out);Cookie Count(out);Expires;Cache Control;Content Type;Content Encoding;Transaction Type;Socket ID;Document ID;End Time (ms);Descriptor;Lab ID;Dialer ID;Connection Type;Cached;Event URL;Pagetest Build;Measurement Type;Experimental;Event GUID;Sequence Number;Cache Score;Static CDN Score;GZIP Score;Cookie Score;Keep-Alive Score;DOCTYPE Score;Minify Score;Combine Score;Compression Score;ETag Score;Flagged;Secure;DNS Time;Connect Time;SSL Time;Gzip Total Bytes;Gzip Savings;Minify Total Bytes;Minify Savings;Image Total Bytes;Image Savings;Cache Time (sec);Real Start Time (ms);Full Time to Load (ms);Optimization Checked;CDN Provider;DNS Start;DNS End;Connect Start;Connect End;SSL Negotiation Start;SSL Negotiation End;Initiator;Initiator Line;Initiator Column;Server Count;Server RTT;Run;Cached
07/23/2016;16:27:17;Step 1;193.174.13.86;POST;ocsp.pca.dfn.de;/OCSP-Server/OCSP;200;79;78;208;449;1894;1498;;;Tue, 02 Aug 2016 16:27:16 GMT;max-age=864000, public, no-transform, must-revalidate;application/ocsp-response;;3;45;;287;;;;;;;;;;;1;100;-1;-1;-1;100;-1;-1;-1;-1;-1;0;0;-1;-1;-1;0;0;0;0;0;0;864000;;;1;;135;165;165;208;0;0;;;;1;42;1;0
07/23/2016;16:27:17;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/dozenten.html;200;53;43;289;172;7083;6930;;;Sat, 23 Jul 2016 17:27:16 GMT;max-age=3600;text/html;gzip;3;44;;342;;;;;;;;;;;2;50;-1;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;3600;;;1;;0;30;31;65;65;162;;;;1;34;1;0
07/23/2016;16:27:17;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/style.css;200;44;44;405;74;1643;1538;;;Sun, 23 Jul 2017 16:27:16 GMT;max-age=31536000;text/css;gzip;3;44;;449;;;;;;;;;;;3;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;0;0;0;;;;1;34;1;0
07/23/2016;16:27:17;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/http2/stylehttp2.css;200;48;46;406;32;2017;1955;;;Sun, 23 Jul 2017 16:27:16 GMT;max-age=31536000;text/css;gzip;3;44;;454;;;;;;;;;;;4;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;0;0;0;;;;1;34;1;0
07/23/2016;16:27:17;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/http2/menu.css;200;60;59;406;28;1269;1207;;;Sun, 23 Jul 2017 16:27:16 GMT;max-age=31536000;text/css;gzip;3;44;;466;;;;;;;;;;;5;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;0;0;0;;;;1;34;1;0
07/23/2016;16:27:17;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/http2/footer.css;200;59;59;407;30;517;456;;;Sun, 23 Jul 2017 16:27:16 GMT;max-age=31536000;text/css;gzip;3;44;;466;;;;;;;;;;;6;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;0;0;0;;;;1;34;1;0
07/23/2016;16:27:17;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/http2/bootstrap1.css;200;64;59;407;32;8210;8148;;;Sun, 23 Jul 2017 16:27:16 GMT;max-age=31536000;text/css;gzip;3;44;;471;;;;;;;;;;;7;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;0;0;0;;;;1;34;1;0
07/23/2016;16:27:17;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/http2/bootstrap2.css;200;81;67;416;32;7158;7096;;;Sun, 23 Jul 2017 16:27:16 GMT;max-age=31536000;text/css;gzip;3;44;;497;;;;;;;;;;;8;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;0;0;0;;;;1;34;1;0
07/23/2016;16:27:17;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/http2/bootstrap3.css;200;95;81;416;32;7213;7151;;;Sun, 23 Jul 2017 16:27:16 GMT;max-age=31536000;text/css;gzip;3;44;;511;;;;;;;;;;;9;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;0;0;0;;;;1;34;1;0
07/23/2016;16:27:17;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/http2/team.css;200;94;94;417;28;1640;1579;;;Sun, 23 Jul 2017 16:27:16 GMT;max-age=31536000;text/css;gzip;3;44;;511;;;;;;;;;;;10;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;0;0;0;;;;1;34;1;0
07/23/2016;16:27:17;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/uploads/logos/logo-hdm.png;200;95;94;417;40;703;605;;;Mon, 22 Aug 2016 16:27:16 GMT;max-age=2592000;image/png;;3;44;;512;;;;;;;;;;;11;100;0;-1;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;2592000;;;1;;0;0;0;0;0;0;;;;1;34;1;0
07/23/2016;16:27:17;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/uploads/sponsoren/united-internet.png;200;166;99;418;42;9948;9892;;;Mon, 22 Aug 2016 16:27:16 GMT;max-age=2592000;image/png;;3;44;;584;;;;;;;;;;;12;100;0;-1;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;2592000;;;1;;0;0;0;0;0;0;;;;1;34;1;0
