Werte;Reihe;Testlaufnummer;Run
1028;HTTP2;1;1
976;HTTP2;1;2
967;HTTP2;1;3
910;HTTP2;1;4
971;HTTP2;1;5
943;HTTP2;1;6
991;HTTP2;1;7
946;HTTP2;1;8
957;HTTP2;1;9
990;HTTP2;2;1
944;HTTP2;2;2
995;HTTP2;2;3
1035;HTTP2;2;4
1091;HTTP2;2;5
951;HTTP2;2;6
950;HTTP2;2;7
1175;HTTP2;2;8
927;HTTP2;2;9
997;HTTP2;3;1
848;HTTP2;3;2
1058;HTTP2;3;3
974;HTTP2;3;4
978;HTTP2;3;5
962;HTTP2;3;6
872;HTTP2;3;7
979;HTTP2;3;8
1008;HTTP2;3;9
705;HTTP1;1;1
679;HTTP1;1;2
682;HTTP1;1;3
683;HTTP1;1;4
683;HTTP1;1;5
675;HTTP1;1;6
683;HTTP1;1;7
683;HTTP1;1;8
683;HTTP1;1;9
692;HTTP1;2;1
700;HTTP1;2;2
683;HTTP1;2;3
679;HTTP1;2;4
681;HTTP1;2;5
694;HTTP1;2;6
675;HTTP1;2;7
698;HTTP1;2;8
682;HTTP1;2;9
691;HTTP1;3;1
692;HTTP1;3;2
688;HTTP1;3;3
686;HTTP1;3;4
692;HTTP1;3;5
687;HTTP1;3;6
677;HTTP1;3;7
685;HTTP1;3;8
696;HTTP1;3;9
