Werte;Reihe;Testlaufnummer;Run
1523;HTTP2;1;1
1497;HTTP2;1;2
1417;HTTP2;1;3
1468;HTTP2;1;4
1345;HTTP2;1;5
1395;HTTP2;1;6
1362;HTTP2;1;7
1400;HTTP2;1;8
1395;HTTP2;1;9
1421;HTTP2;2;1
1463;HTTP2;2;2
1416;HTTP2;2;3
1450;HTTP2;2;4
1379;HTTP2;2;5
1397;HTTP2;2;6
1350;HTTP2;2;7
1379;HTTP2;2;8
1450;HTTP2;2;9
1375;HTTP2;3;1
1447;HTTP2;3;2
1460;HTTP2;3;3
1409;HTTP2;3;4
1342;HTTP2;3;5
1328;HTTP2;3;6
1472;HTTP2;3;7
1426;HTTP2;3;8
1469;HTTP2;3;9
1270;HTTP1;1;1
1146;HTTP1;1;2
1233;HTTP1;1;3
1151;HTTP1;1;4
1226;HTTP1;1;5
1225;HTTP1;1;6
1214;HTTP1;1;7
1224;HTTP1;1;8
1165;HTTP1;1;9
1244;HTTP1;2;1
1190;HTTP1;2;2
1226;HTTP1;2;3
1228;HTTP1;2;4
1244;HTTP1;2;5
1217;HTTP1;2;6
1225;HTTP1;2;7
1233;HTTP1;2;8
1236;HTTP1;2;9
1179;HTTP1;3;1
1202;HTTP1;3;2
1209;HTTP1;3;3
1278;HTTP1;3;4
1253;HTTP1;3;5
1235;HTTP1;3;6
1253;HTTP1;3;7
1220;HTTP1;3;8
1234;HTTP1;3;9
