Date;Time;Event Name;IP Address;Action;Host;URL;Response Code;Time to Load (ms);Time to First Byte (ms);Start Time (ms);Bytes Out;Bytes In;Object Size;Cookie Size (out);Cookie Count(out);Expires;Cache Control;Content Type;Content Encoding;Transaction Type;Socket ID;Document ID;End Time (ms);Descriptor;Lab ID;Dialer ID;Connection Type;Cached;Event URL;Pagetest Build;Measurement Type;Experimental;Event GUID;Sequence Number;Cache Score;Static CDN Score;GZIP Score;Cookie Score;Keep-Alive Score;DOCTYPE Score;Minify Score;Combine Score;Compression Score;ETag Score;Flagged;Secure;DNS Time;Connect Time;SSL Time;Gzip Total Bytes;Gzip Savings;Minify Total Bytes;Minify Savings;Image Total Bytes;Image Savings;Cache Time (sec);Real Start Time (ms);Full Time to Load (ms);Optimization Checked;CDN Provider;DNS Start;DNS End;Connect Start;Connect End;SSL Negotiation Start;SSL Negotiation End;Initiator;Initiator Line;Initiator Column;Server Count;Server RTT;Run;Cached
07/23/2016;11:06:02;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/;200;52;45;70;306;3857;3442;;;Sat, 23 Jul 2016 12:06:01 GMT;max-age=3600;text/html;gzip;3;44;;122;;;;;;;;;;;1;50;-1;100;-1;100;-1;-1;-1;-1;-1;0;0;-1;-1;-1;3857;0;0;0;0;0;3600;;;1;;0;29;30;70;0;0;;;;1;38;1;0
07/23/2016;11:06:02;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/style.css;200;41;40;193;316;1933;1538;;;Sun, 23 Jul 2017 11:06:01 GMT;max-age=31536000;text/css;gzip;3;44;;234;;;;;;;;;;;2;100;0;100;-1;100;-1;-1;-1;-1;-1;0;0;-1;-1;-1;1933;0;0;0;0;0;31536000;;;1;;0;0;0;0;0;0;;;;1;38;1;0
07/23/2016;11:06:02;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/slider.css;200;39;39;233;317;1126;710;;;Sun, 23 Jul 2017 11:06:01 GMT;max-age=31536000;text/css;gzip;3;49;;272;;;;;;;;;;;3;100;0;100;-1;100;-1;-1;-1;-1;-1;0;0;-1;-1;-1;1126;0;0;0;0;0;31536000;;;1;;0;0;193;233;0;0;;;;1;38;1;0
07/23/2016;11:06:02;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/http1/stylehttp1.css;200;65;52;233;327;4604;4186;;;Sun, 23 Jul 2017 11:06:01 GMT;max-age=31536000;text/css;gzip;3;50;;298;;;;;;;;;;;4;100;0;100;-1;100;-1;-1;-1;-1;-1;0;0;-1;-1;-1;4604;0;0;0;0;0;31536000;;;1;;0;0;194;233;0;0;;;;1;38;1;0
07/23/2016;11:06:02;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/http1/animate.css;200;50;45;233;324;4448;4030;;;Sun, 23 Jul 2017 11:06:01 GMT;max-age=31536000;text/css;gzip;3;51;;283;;;;;;;;;;;5;100;0;100;-1;100;-1;-1;-1;-1;-1;0;0;-1;-1;-1;4448;0;0;0;0;0;31536000;;;1;;0;0;194;233;0;0;;;;1;38;1;0
07/23/2016;11:06:02;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/css/http1/bootstrap.css;200;181;54;234;326;21657;21237;;;Sun, 23 Jul 2017 11:06:01 GMT;max-age=31536000;text/css;gzip;3;52;;415;;;;;;;;;;;6;100;0;100;-1;100;-1;-1;-1;-1;-1;0;0;-1;-1;-1;21657;0;0;0;0;0;31536000;;;1;;0;0;195;233;0;0;;;;1;38;1;0
07/23/2016;11:06:02;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/js/jquery.min.js;200;283;66;234;304;30313;29902;;;Sun, 23 Jul 2017 11:06:01 GMT;max-age=31536000;application/javascript;gzip;3;44;;517;;;;;;;;;;;7;100;0;100;-1;100;-1;-1;-1;-1;-1;0;0;-1;-1;-1;30313;0;0;0;0;0;31536000;;;1;;0;0;0;0;0;0;;;;1;38;1;0
07/23/2016;11:06:02;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/js/jssor.slider.mini.js;200;162;49;249;311;18935;18502;;;Sun, 23 Jul 2017 11:06:01 GMT;max-age=31536000;application/javascript;gzip;3;53;;411;;;;;;;;;;;8;100;0;100;-1;100;-1;-1;-1;-1;-1;0;0;-1;-1;-1;18935;0;0;0;0;0;31536000;;;1;;0;0;209;249;0;0;;;;1;38;1;0
07/23/2016;11:06:02;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/js/slider.js;200;40;40;272;300;877;470;;;Sun, 23 Jul 2017 11:06:01 GMT;max-age=31536000;application/javascript;gzip;3;49;;312;;;;;;;;;;;9;100;0;100;-1;100;-1;-1;-1;-1;-1;0;0;-1;-1;-1;877;0;0;0;0;0;31536000;;;1;;0;0;0;0;0;0;;;;1;38;1;0
07/23/2016;11:06:02;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/js/wow.min.js;200;55;46;283;301;2870;2461;;;Sun, 23 Jul 2017 11:06:01 GMT;max-age=31536000;application/javascript;gzip;3;51;;338;;;;;;;;;;;10;100;0;100;-1;100;-1;-1;-1;-1;-1;0;0;-1;-1;-1;2870;0;0;0;0;0;31536000;;;1;;0;0;0;0;0;0;;;;1;38;1;0
07/23/2016;11:06:02;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/js/http1/bootstrap.min.js;200;105;47;298;313;10174;9765;;;Sun, 23 Jul 2017 11:06:01 GMT;max-age=31536000;application/javascript;gzip;3;50;;403;;;;;;;;;;;11;100;0;100;-1;100;-1;-1;-1;-1;-1;0;0;-1;-1;-1;10174;0;0;0;0;0;31536000;;;1;;0;0;0;0;0;0;;;;1;38;1;0
07/23/2016;11:06:02;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/uploads/logos/logo-hdm.png;200;103;103;415;314;946;605;;;Mon, 22 Aug 2016 11:06:01 GMT;max-age=2592000;image/png;;3;53;;518;;;;;;;;;;;12;100;0;-1;-1;100;-1;-1;-1;-1;-1;0;0;-1;-1;-1;0;0;0;0;0;0;2592000;;;1;;0;0;0;0;0;0;;;;1;38;1;0
07/23/2016;11:06:02;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/uploads/slider/slider_games.jpg;200;320;103;415;319;60160;59815;;;Mon, 22 Aug 2016 11:06:01 GMT;max-age=2592000;image/jpeg;;3;50;;735;;;;;;;;;;;13;100;0;-1;-1;100;-1;-1;-1;63;-1;0;0;-1;-1;-1;0;0;0;0;59815;21712;2592000;;;1;;0;0;0;0;0;0;;;;1;38;1;0
