Werte;Reihe;Testlaufnummer;Run
1011;HTTP2;1;1
972;HTTP2;1;2
970;HTTP2;1;3
997;HTTP2;1;4
990;HTTP2;1;5
931;HTTP2;1;6
1040;HTTP2;1;7
1015;HTTP2;1;8
883;HTTP2;1;9
974;HTTP2;2;1
1054;HTTP2;2;2
1039;HTTP2;2;3
898;HTTP2;2;4
1018;HTTP2;2;5
1021;HTTP2;2;6
1045;HTTP2;2;7
988;HTTP2;2;8
1017;HTTP2;2;9
1042;HTTP2;3;1
1011;HTTP2;3;2
975;HTTP2;3;3
889;HTTP2;3;4
1030;HTTP2;3;5
906;HTTP2;3;6
990;HTTP2;3;7
1058;HTTP2;3;8
884;HTTP2;3;9
1059;HTTP1;1;1
1386;HTTP1;1;2
1023;HTTP1;1;3
1015;HTTP1;1;4
1115;HTTP1;1;5
881;HTTP1;1;6
1498;HTTP1;1;7
968;HTTP1;1;8
984;HTTP1;1;9
1074;HTTP1;2;1
1452;HTTP1;2;2
980;HTTP1;2;3
954;HTTP1;2;4
1568;HTTP1;2;5
950;HTTP1;2;6
1033;HTTP1;2;7
941;HTTP1;2;8
1036;HTTP1;2;9
968;HTTP1;3;1
896;HTTP1;3;2
1048;HTTP1;3;3
1048;HTTP1;3;4
1046;HTTP1;3;5
1460;HTTP1;3;6
1029;HTTP1;3;7
1393;HTTP1;3;8
1012;HTTP1;3;9
