Werte;Reihe;Testlaufnummer;Run
1839;HTTP2;1;1
1818;HTTP2;1;2
1798;HTTP2;1;3
1807;HTTP2;1;4
1856;HTTP2;1;5
1866;HTTP2;1;6
1843;HTTP2;1;7
1846;HTTP2;1;8
1849;HTTP2;1;9
1789;HTTP2;2;1
1860;HTTP2;2;2
1862;HTTP2;2;3
1808;HTTP2;2;4
1821;HTTP2;2;5
1834;HTTP2;2;6
1852;HTTP2;2;7
1852;HTTP2;2;8
1851;HTTP2;2;9
1852;HTTP2;3;1
1825;HTTP2;3;2
1859;HTTP2;3;3
1879;HTTP2;3;4
1833;HTTP2;3;5
1826;HTTP2;3;6
1807;HTTP2;3;7
1845;HTTP2;3;8
1823;HTTP2;3;9
1645;HTTP1;1;1
1616;HTTP1;1;2
1658;HTTP1;1;3
1636;HTTP1;1;4
1619;HTTP1;1;5
1630;HTTP1;1;6
1630;HTTP1;1;7
1598;HTTP1;1;8
1649;HTTP1;1;9
1635;HTTP1;2;1
1642;HTTP1;2;2
1667;HTTP1;2;3
1620;HTTP1;2;4
1649;HTTP1;2;5
1624;HTTP1;2;6
1629;HTTP1;2;7
1602;HTTP1;2;8
1614;HTTP1;2;9
1615;HTTP1;3;1
1619;HTTP1;3;2
1633;HTTP1;3;3
1642;HTTP1;3;4
1634;HTTP1;3;5
1608;HTTP1;3;6
1637;HTTP1;3;7
1606;HTTP1;3;8
1668;HTTP1;3;9
