Werte;Reihe;Testlaufnummer;Run
59;HTTP2;1;1
61;HTTP2;1;2
59;HTTP2;1;3
67;HTTP2;1;4
60;HTTP2;1;5
59;HTTP2;1;6
60;HTTP2;1;7
59;HTTP2;1;8
59;HTTP2;1;9
61;HTTP2;2;1
65;HTTP2;2;2
60;HTTP2;2;3
68;HTTP2;2;4
59;HTTP2;2;5
59;HTTP2;2;6
63;HTTP2;2;7
59;HTTP2;2;8
59;HTTP2;2;9
68;HTTP2;3;1
61;HTTP2;3;2
71;HTTP2;3;3
70;HTTP2;3;4
61;HTTP2;3;5
59;HTTP2;3;6
73;HTTP2;3;7
70;HTTP2;3;8
69;HTTP2;3;9
61;HTTP1_HTTPS;1;1
61;HTTP1_HTTPS;1;2
61;HTTP1_HTTPS;1;3
69;HTTP1_HTTPS;1;4
60;HTTP1_HTTPS;1;5
69;HTTP1_HTTPS;1;6
59;HTTP1_HTTPS;1;7
62;HTTP1_HTTPS;1;8
72;HTTP1_HTTPS;1;9
59;HTTP1_HTTPS;2;1
59;HTTP1_HTTPS;2;2
58;HTTP1_HTTPS;2;3
70;HTTP1_HTTPS;2;4
60;HTTP1_HTTPS;2;5
61;HTTP1_HTTPS;2;6
71;HTTP1_HTTPS;2;7
61;HTTP1_HTTPS;2;8
59;HTTP1_HTTPS;2;9
58;HTTP1_HTTPS;3;1
59;HTTP1_HTTPS;3;2
59;HTTP1_HTTPS;3;3
60;HTTP1_HTTPS;3;4
59;HTTP1_HTTPS;3;5
59;HTTP1_HTTPS;3;6
58;HTTP1_HTTPS;3;7
60;HTTP1_HTTPS;3;8
62;HTTP1_HTTPS;3;9
