Werte;Reihe;Testlaufnummer;Run
99;HTTP2;1;1
100;HTTP2;1;2
95;HTTP2;1;3
102;HTTP2;1;4
108;HTTP2;1;5
97;HTTP2;1;6
97;HTTP2;1;7
97;HTTP2;1;8
98;HTTP2;1;9
97;HTTP2;2;1
105;HTTP2;2;2
97;HTTP2;2;3
96;HTTP2;2;4
96;HTTP2;2;5
95;HTTP2;2;6
96;HTTP2;2;7
109;HTTP2;2;8
96;HTTP2;2;9
96;HTTP2;3;1
96;HTTP2;3;2
110;HTTP2;3;3
98;HTTP2;3;4
96;HTTP2;3;5
97;HTTP2;3;6
95;HTTP2;3;7
97;HTTP2;3;8
96;HTTP2;3;9
336;HTTP1_HTTPS;1;1
336;HTTP1_HTTPS;1;2
354;HTTP1_HTTPS;1;3
354;HTTP1_HTTPS;1;4
334;HTTP1_HTTPS;1;5
342;HTTP1_HTTPS;1;6
344;HTTP1_HTTPS;1;7
348;HTTP1_HTTPS;1;8
391;HTTP1_HTTPS;1;9
379;HTTP1_HTTPS;2;1
336;HTTP1_HTTPS;2;2
364;HTTP1_HTTPS;2;3
357;HTTP1_HTTPS;2;4
364;HTTP1_HTTPS;2;5
339;HTTP1_HTTPS;2;6
346;HTTP1_HTTPS;2;7
339;HTTP1_HTTPS;2;8
350;HTTP1_HTTPS;2;9
337;HTTP1_HTTPS;3;1
355;HTTP1_HTTPS;3;2
351;HTTP1_HTTPS;3;3
369;HTTP1_HTTPS;3;4
343;HTTP1_HTTPS;3;5
353;HTTP1_HTTPS;3;6
345;HTTP1_HTTPS;3;7
350;HTTP1_HTTPS;3;8
338;HTTP1_HTTPS;3;9
