Werte;Reihe;Testlaufnummer;Run
1011;HTTP2;1;1
972;HTTP2;1;2
970;HTTP2;1;3
997;HTTP2;1;4
990;HTTP2;1;5
931;HTTP2;1;6
1040;HTTP2;1;7
1015;HTTP2;1;8
883;HTTP2;1;9
974;HTTP2;2;1
1054;HTTP2;2;2
1039;HTTP2;2;3
898;HTTP2;2;4
1018;HTTP2;2;5
1021;HTTP2;2;6
1045;HTTP2;2;7
988;HTTP2;2;8
1017;HTTP2;2;9
1042;HTTP2;3;1
1011;HTTP2;3;2
975;HTTP2;3;3
889;HTTP2;3;4
1030;HTTP2;3;5
906;HTTP2;3;6
990;HTTP2;3;7
1058;HTTP2;3;8
884;HTTP2;3;9
1312;HTTP1_HTTPS;1;1
1328;HTTP1_HTTPS;1;2
1257;HTTP1_HTTPS;1;3
1270;HTTP1_HTTPS;1;4
1293;HTTP1_HTTPS;1;5
1326;HTTP1_HTTPS;1;6
1268;HTTP1_HTTPS;1;7
1267;HTTP1_HTTPS;1;8
1378;HTTP1_HTTPS;1;9
1245;HTTP1_HTTPS;2;1
1309;HTTP1_HTTPS;2;2
1663;HTTP1_HTTPS;2;3
1716;HTTP1_HTTPS;2;4
1246;HTTP1_HTTPS;2;5
1290;HTTP1_HTTPS;2;6
1282;HTTP1_HTTPS;2;7
1325;HTTP1_HTTPS;2;8
1053;HTTP1_HTTPS;2;9
1261;HTTP1_HTTPS;3;1
1324;HTTP1_HTTPS;3;2
1221;HTTP1_HTTPS;3;3
1337;HTTP1_HTTPS;3;4
1321;HTTP1_HTTPS;3;5
1270;HTTP1_HTTPS;3;6
1293;HTTP1_HTTPS;3;7
1312;HTTP1_HTTPS;3;8
1288;HTTP1_HTTPS;3;9
