Werte;Reihe;Testlaufnummer;Run
81;HTTP2;1;1
83;HTTP2;1;2
80;HTTP2;1;3
81;HTTP2;1;4
82;HTTP2;1;5
87;HTTP2;1;6
87;HTTP2;1;7
87;HTTP2;1;8
84;HTTP2;1;9
77;HTTP2;2;1
78;HTTP2;2;2
80;HTTP2;2;3
80;HTTP2;2;4
79;HTTP2;2;5
78;HTTP2;2;6
80;HTTP2;2;7
76;HTTP2;2;8
78;HTTP2;2;9
77;HTTP2;3;1
79;HTTP2;3;2
85;HTTP2;3;3
80;HTTP2;3;4
81;HTTP2;3;5
77;HTTP2;3;6
80;HTTP2;3;7
78;HTTP2;3;8
79;HTTP2;3;9
297;HTTP1_HTTPS;1;1
262;HTTP1_HTTPS;1;2
263;HTTP1_HTTPS;1;3
258;HTTP1_HTTPS;1;4
247;HTTP1_HTTPS;1;5
233;HTTP1_HTTPS;1;6
211;HTTP1_HTTPS;1;7
248;HTTP1_HTTPS;1;8
295;HTTP1_HTTPS;1;9
297;HTTP1_HTTPS;2;1
313;HTTP1_HTTPS;2;2
300;HTTP1_HTTPS;2;3
322;HTTP1_HTTPS;2;4
291;HTTP1_HTTPS;2;5
294;HTTP1_HTTPS;2;6
275;HTTP1_HTTPS;2;7
303;HTTP1_HTTPS;2;8
311;HTTP1_HTTPS;2;9
309;HTTP1_HTTPS;3;1
323;HTTP1_HTTPS;3;2
296;HTTP1_HTTPS;3;3
358;HTTP1_HTTPS;3;4
313;HTTP1_HTTPS;3;5
323;HTTP1_HTTPS;3;6
282;HTTP1_HTTPS;3;7
294;HTTP1_HTTPS;3;8
289;HTTP1_HTTPS;3;9
