Werte;Reihe;Testlaufnummer;Run
1839;HTTP2;1;1
1818;HTTP2;1;2
1798;HTTP2;1;3
1807;HTTP2;1;4
1856;HTTP2;1;5
1866;HTTP2;1;6
1843;HTTP2;1;7
1846;HTTP2;1;8
1849;HTTP2;1;9
1789;HTTP2;2;1
1860;HTTP2;2;2
1862;HTTP2;2;3
1808;HTTP2;2;4
1821;HTTP2;2;5
1834;HTTP2;2;6
1852;HTTP2;2;7
1852;HTTP2;2;8
1851;HTTP2;2;9
1852;HTTP2;3;1
1825;HTTP2;3;2
1859;HTTP2;3;3
1879;HTTP2;3;4
1833;HTTP2;3;5
1826;HTTP2;3;6
1807;HTTP2;3;7
1845;HTTP2;3;8
1823;HTTP2;3;9
1876;HTTP1_HTTPS;1;1
1877;HTTP1_HTTPS;1;2
1871;HTTP1_HTTPS;1;3
1904;HTTP1_HTTPS;1;4
1895;HTTP1_HTTPS;1;5
1908;HTTP1_HTTPS;1;6
1865;HTTP1_HTTPS;1;7
1886;HTTP1_HTTPS;1;8
1882;HTTP1_HTTPS;1;9
1900;HTTP1_HTTPS;2;1
1894;HTTP1_HTTPS;2;2
1888;HTTP1_HTTPS;2;3
1921;HTTP1_HTTPS;2;4
1888;HTTP1_HTTPS;2;5
1865;HTTP1_HTTPS;2;6
1872;HTTP1_HTTPS;2;7
1886;HTTP1_HTTPS;2;8
1976;HTTP1_HTTPS;2;9
1889;HTTP1_HTTPS;3;1
1942;HTTP1_HTTPS;3;2
1876;HTTP1_HTTPS;3;3
1914;HTTP1_HTTPS;3;4
1885;HTTP1_HTTPS;3;5
1900;HTTP1_HTTPS;3;6
1867;HTTP1_HTTPS;3;7
1907;HTTP1_HTTPS;3;8
1873;HTTP1_HTTPS;3;9
