Werte,Reihe,Testlaufnummer,Run
884,Server Push_CSS und  _Fonts,1,1
786,Server Push_CSS und  _Fonts,1,2
783,Server Push_CSS und  _Fonts,1,3
971,Server Push_CSS und  _Fonts,1,4
784,Server Push_CSS und  _Fonts,1,5
883,Server Push_CSS und  _Fonts,1,6
982,Server Push_CSS und  _Fonts,1,7
992,Server Push_CSS und  _Fonts,1,8
807,Server Push_CSS und  _Fonts,1,9
883,Server Push_CSS und  _Fonts,2,1
979,Server Push_CSS und  _Fonts,2,2
783,Server Push_CSS und  _Fonts,2,3
783,Server Push_CSS und  _Fonts,2,4
775,Server Push_CSS und  _Fonts,2,5
775,Server Push_CSS und  _Fonts,2,6
884,Server Push_CSS und  _Fonts,2,7
784,Server Push_CSS und  _Fonts,2,8
775,Server Push_CSS und  _Fonts,2,9
782,Server Push_CSS und  _Fonts,3,1
884,Server Push_CSS und  _Fonts,3,2
775,Server Push_CSS und  _Fonts,3,3
775,Server Push_CSS und  _Fonts,3,4
786,Server Push_CSS und  _Fonts,3,5
783,Server Push_CSS und  _Fonts,3,6
779,Server Push_CSS und  _Fonts,3,7
791,Server Push_CSS und  _Fonts,3,8
774,Server Push_CSS und  _Fonts,3,9
910,Server Push_CSS,1,1
771,Server Push_CSS,1,2
783,Server Push_CSS,1,3
771,Server Push_CSS,1,4
783,Server Push_CSS,1,5
885,Server Push_CSS,1,6
784,Server Push_CSS,1,7
827,Server Push_CSS,1,8
779,Server Push_CSS,1,9
1003,Server Push_CSS,2,1
783,Server Push_CSS,2,2
771,Server Push_CSS,2,3
845,Server Push_CSS,2,4
775,Server Push_CSS,2,5
952,Server Push_CSS,2,6
783,Server Push_CSS,2,7
1006,Server Push_CSS,2,8
775,Server Push_CSS,2,9
804,Server Push_CSS,3,1
1442,Server Push_CSS,3,2
783,Server Push_CSS,3,3
770,Server Push_CSS,3,4
882,Server Push_CSS,3,5
783,Server Push_CSS,3,6
1008,Server Push_CSS,3,7
1399,Server Push_CSS,3,8
785,Server Push_CSS,3,9
