Werte;Reihe;Testlaufnummer;Run
46;Server Push_CSS und  _Fonts;1;1
54;Server Push_CSS und  _Fonts;1;2
42;Server Push_CSS und  _Fonts;1;3
44;Server Push_CSS und  _Fonts;1;4
58;Server Push_CSS und  _Fonts;1;5
51;Server Push_CSS und  _Fonts;1;6
43;Server Push_CSS und  _Fonts;1;7
43;Server Push_CSS und  _Fonts;1;8
52;Server Push_CSS und  _Fonts;1;9
46;Server Push_CSS und  _Fonts;2;1
45;Server Push_CSS und  _Fonts;2;2
48;Server Push_CSS und  _Fonts;2;3
43;Server Push_CSS und  _Fonts;2;4
45;Server Push_CSS und  _Fonts;2;5
43;Server Push_CSS und  _Fonts;2;6
43;Server Push_CSS und  _Fonts;2;7
43;Server Push_CSS und  _Fonts;2;8
43;Server Push_CSS und  _Fonts;2;9
44;Server Push_CSS und  _Fonts;3;1
49;Server Push_CSS und  _Fonts;3;2
42;Server Push_CSS und  _Fonts;3;3
42;Server Push_CSS und  _Fonts;3;4
44;Server Push_CSS und  _Fonts;3;5
43;Server Push_CSS und  _Fonts;3;6
50;Server Push_CSS und  _Fonts;3;7
43;Server Push_CSS und  _Fonts;3;8
44;Server Push_CSS und  _Fonts;3;9
44;Server Push_CSS;1;1
44;Server Push_CSS;1;2
49;Server Push_CSS;1;3
42;Server Push_CSS;1;4
43;Server Push_CSS;1;5
42;Server Push_CSS;1;6
42;Server Push_CSS;1;7
42;Server Push_CSS;1;8
42;Server Push_CSS;1;9
46;Server Push_CSS;2;1
45;Server Push_CSS;2;2
48;Server Push_CSS;2;3
43;Server Push_CSS;2;4
45;Server Push_CSS;2;5
43;Server Push_CSS;2;6
43;Server Push_CSS;2;7
43;Server Push_CSS;2;8
43;Server Push_CSS;2;9
44;Server Push_CSS;3;1
51;Server Push_CSS;3;2
44;Server Push_CSS;3;3
44;Server Push_CSS;3;4
41;Server Push_CSS;3;5
42;Server Push_CSS;3;6
42;Server Push_CSS;3;7
42;Server Push_CSS;3;8
42;Server Push_CSS;3;9
