Werte,Reihe,Testlaufnummer,Run
2048,Server Push_CSS und  _Fonts,1,1
1895,Server Push_CSS und  _Fonts,1,2
1862,Server Push_CSS und  _Fonts,1,3
1844,Server Push_CSS und  _Fonts,1,4
1893,Server Push_CSS und  _Fonts,1,5
1778,Server Push_CSS und  _Fonts,1,6
1818,Server Push_CSS und  _Fonts,1,7
1887,Server Push_CSS und  _Fonts,1,8
1873,Server Push_CSS und  _Fonts,1,9
1881,Server Push_CSS und  _Fonts,2,1
1881,Server Push_CSS und  _Fonts,2,2
1858,Server Push_CSS und  _Fonts,2,3
1839,Server Push_CSS und  _Fonts,2,4
2182,Server Push_CSS und  _Fonts,2,5
1852,Server Push_CSS und  _Fonts,2,6
1866,Server Push_CSS und  _Fonts,2,7
1899,Server Push_CSS und  _Fonts,2,8
1856,Server Push_CSS und  _Fonts,2,9
1876,Server Push_CSS und  _Fonts,3,1
1872,Server Push_CSS und  _Fonts,3,2
1849,Server Push_CSS und  _Fonts,3,3
1869,Server Push_CSS und  _Fonts,3,4
1917,Server Push_CSS und  _Fonts,3,5
1874,Server Push_CSS und  _Fonts,3,6
1894,Server Push_CSS und  _Fonts,3,7
1846,Server Push_CSS und  _Fonts,3,8
1889,Server Push_CSS und  _Fonts,3,9
1807,Server Push_CSS,1,1
1814,Server Push_CSS,1,2
1806,Server Push_CSS,1,3
1843,Server Push_CSS,1,4
1827,Server Push_CSS,1,5
1819,Server Push_CSS,1,6
1807,Server Push_CSS,1,7
1738,Server Push_CSS,1,8
1807,Server Push_CSS,1,9
1815,Server Push_CSS,2,1
1823,Server Push_CSS,2,2
1830,Server Push_CSS,2,3
1953,Server Push_CSS,2,4
2012,Server Push_CSS,2,5
1824,Server Push_CSS,2,6
1823,Server Push_CSS,2,7
1820,Server Push_CSS,2,8
1828,Server Push_CSS,2,9
1826,Server Push_CSS,3,1
1731,Server Push_CSS,3,2
1926,Server Push_CSS,3,3
1839,Server Push_CSS,3,4
1812,Server Push_CSS,3,5
1847,Server Push_CSS,3,6
1820,Server Push_CSS,3,7
1722,Server Push_CSS,3,8
1855,Server Push_CSS,3,9
