Werte;Reihe;Testlaufnummer;Run
152;Server Push_CSS und  _Fonts;1;1
144;Server Push_CSS und  _Fonts;1;2
136;Server Push_CSS und  _Fonts;1;3
234;Server Push_CSS und  _Fonts;1;4
150;Server Push_CSS und  _Fonts;1;5
237;Server Push_CSS und  _Fonts;1;6
232;Server Push_CSS und  _Fonts;1;7
218;Server Push_CSS und  _Fonts;1;8
150;Server Push_CSS und  _Fonts;1;9
143;Server Push_CSS und  _Fonts;2;1
217;Server Push_CSS und  _Fonts;2;2
140;Server Push_CSS und  _Fonts;2;3
134;Server Push_CSS und  _Fonts;2;4
233;Server Push_CSS und  _Fonts;2;5
143;Server Push_CSS und  _Fonts;2;6
200;Server Push_CSS und  _Fonts;2;7
114;Server Push_CSS und  _Fonts;2;8
131;Server Push_CSS und  _Fonts;2;9
206;Server Push_CSS und  _Fonts;3;1
136;Server Push_CSS und  _Fonts;3;2
133;Server Push_CSS und  _Fonts;3;3
134;Server Push_CSS und  _Fonts;3;4
155;Server Push_CSS und  _Fonts;3;5
131;Server Push_CSS und  _Fonts;3;6
137;Server Push_CSS und  _Fonts;3;7
126;Server Push_CSS und  _Fonts;3;8
131;Server Push_CSS und  _Fonts;3;9
129;Server Push_CSS;1;1
133;Server Push_CSS;1;2
134;Server Push_CSS;1;3
132;Server Push_CSS;1;4
130;Server Push_CSS;1;5
127;Server Push_CSS;1;6
117;Server Push_CSS;1;7
204;Server Push_CSS;1;8
132;Server Push_CSS;1;9
145;Server Push_CSS;2;1
145;Server Push_CSS;2;2
142;Server Push_CSS;2;3
159;Server Push_CSS;2;4
147;Server Push_CSS;2;5
143;Server Push_CSS;2;6
144;Server Push_CSS;2;7
138;Server Push_CSS;2;8
143;Server Push_CSS;2;9
150;Server Push_CSS;3;1
240;Server Push_CSS;3;2
146;Server Push_CSS;3;3
152;Server Push_CSS;3;4
141;Server Push_CSS;3;5
139;Server Push_CSS;3;6
154;Server Push_CSS;3;7
237;Server Push_CSS;3;8
141;Server Push_CSS;3;9
