Werte,Reihe,Testlaufnummer,Run
910,Server Push_CSS,1,1
771,Server Push_CSS,1,2
783,Server Push_CSS,1,3
771,Server Push_CSS,1,4
783,Server Push_CSS,1,5
885,Server Push_CSS,1,6
784,Server Push_CSS,1,7
827,Server Push_CSS,1,8
779,Server Push_CSS,1,9
1003,Server Push_CSS,2,1
783,Server Push_CSS,2,2
771,Server Push_CSS,2,3
845,Server Push_CSS,2,4
775,Server Push_CSS,2,5
952,Server Push_CSS,2,6
783,Server Push_CSS,2,7
1006,Server Push_CSS,2,8
775,Server Push_CSS,2,9
804,Server Push_CSS,3,1
1442,Server Push_CSS,3,2
783,Server Push_CSS,3,3
770,Server Push_CSS,3,4
882,Server Push_CSS,3,5
783,Server Push_CSS,3,6
1008,Server Push_CSS,3,7
1399,Server Push_CSS,3,8
785,Server Push_CSS,3,9
1011,OHNE Server Push,1,1
972,OHNE Server Push,1,2
970,OHNE Server Push,1,3
997,OHNE Server Push,1,4
990,OHNE Server Push,1,5
931,OHNE Server Push,1,6
1040,OHNE Server Push,1,7
1015,OHNE Server Push,1,8
883,OHNE Server Push,1,9
974,OHNE Server Push,2,1
1054,OHNE Server Push,2,2
1039,OHNE Server Push,2,3
898,OHNE Server Push,2,4
1018,OHNE Server Push,2,5
1021,OHNE Server Push,2,6
1045,OHNE Server Push,2,7
988,OHNE Server Push,2,8
1017,OHNE Server Push,2,9
1042,OHNE Server Push,3,1
1011,OHNE Server Push,3,2
975,OHNE Server Push,3,3
889,OHNE Server Push,3,4
1030,OHNE Server Push,3,5
906,OHNE Server Push,3,6
990,OHNE Server Push,3,7
1058,OHNE Server Push,3,8
884,OHNE Server Push,3,9
