Werte,Reihe,Testlaufnummer,Run
1807,Server Push_CSS,1,1
1814,Server Push_CSS,1,2
1806,Server Push_CSS,1,3
1843,Server Push_CSS,1,4
1827,Server Push_CSS,1,5
1819,Server Push_CSS,1,6
1807,Server Push_CSS,1,7
1738,Server Push_CSS,1,8
1807,Server Push_CSS,1,9
1815,Server Push_CSS,2,1
1823,Server Push_CSS,2,2
1830,Server Push_CSS,2,3
1953,Server Push_CSS,2,4
2012,Server Push_CSS,2,5
1824,Server Push_CSS,2,6
1823,Server Push_CSS,2,7
1820,Server Push_CSS,2,8
1828,Server Push_CSS,2,9
1826,Server Push_CSS,3,1
1731,Server Push_CSS,3,2
1926,Server Push_CSS,3,3
1839,Server Push_CSS,3,4
1812,Server Push_CSS,3,5
1847,Server Push_CSS,3,6
1820,Server Push_CSS,3,7
1722,Server Push_CSS,3,8
1855,Server Push_CSS,3,9
1839,OHNE Server Push,1,1
1818,OHNE Server Push,1,2
1798,OHNE Server Push,1,3
1807,OHNE Server Push,1,4
1856,OHNE Server Push,1,5
1866,OHNE Server Push,1,6
1843,OHNE Server Push,1,7
1846,OHNE Server Push,1,8
1849,OHNE Server Push,1,9
1789,OHNE Server Push,2,1
1860,OHNE Server Push,2,2
1862,OHNE Server Push,2,3
1808,OHNE Server Push,2,4
1821,OHNE Server Push,2,5
1834,OHNE Server Push,2,6
1852,OHNE Server Push,2,7
1852,OHNE Server Push,2,8
1851,OHNE Server Push,2,9
1852,OHNE Server Push,3,1
1825,OHNE Server Push,3,2
1859,OHNE Server Push,3,3
1879,OHNE Server Push,3,4
1833,OHNE Server Push,3,5
1826,OHNE Server Push,3,6
1807,OHNE Server Push,3,7
1845,OHNE Server Push,3,8
1823,OHNE Server Push,3,9
