Werte;Reihe;Testlaufnummer;Run
129;Server Push_CSS;1;1
133;Server Push_CSS;1;2
134;Server Push_CSS;1;3
132;Server Push_CSS;1;4
130;Server Push_CSS;1;5
127;Server Push_CSS;1;6
117;Server Push_CSS;1;7
204;Server Push_CSS;1;8
132;Server Push_CSS;1;9
145;Server Push_CSS;2;1
145;Server Push_CSS;2;2
142;Server Push_CSS;2;3
159;Server Push_CSS;2;4
147;Server Push_CSS;2;5
143;Server Push_CSS;2;6
144;Server Push_CSS;2;7
138;Server Push_CSS;2;8
143;Server Push_CSS;2;9
150;Server Push_CSS;3;1
240;Server Push_CSS;3;2
146;Server Push_CSS;3;3
152;Server Push_CSS;3;4
141;Server Push_CSS;3;5
139;Server Push_CSS;3;6
154;Server Push_CSS;3;7
237;Server Push_CSS;3;8
141;Server Push_CSS;3;9
128;OHNE Server Push;1;1
179;OHNE Server Push;1;2
177;OHNE Server Push;1;3
168;OHNE Server Push;1;4
131;OHNE Server Push;1;5
124;OHNE Server Push;1;6
127;OHNE Server Push;1;7
131;OHNE Server Push;1;8
129;OHNE Server Push;1;9
182;OHNE Server Push;2;1
136;OHNE Server Push;2;2
129;OHNE Server Push;2;3
177;OHNE Server Push;2;4
128;OHNE Server Push;2;5
122;OHNE Server Push;2;6
124;OHNE Server Push;2;7
128;OHNE Server Push;2;8
128;OHNE Server Push;2;9
126;OHNE Server Push;3;1
133;OHNE Server Push;3;2
135;OHNE Server Push;3;3
149;OHNE Server Push;3;4
130;OHNE Server Push;3;5
185;OHNE Server Push;3;6
164;OHNE Server Push;3;7
120;OHNE Server Push;3;8
132;OHNE Server Push;3;9
