Werte;Reihe;Testlaufnummer;Run
968;Server Push_CSS und _Bilder;1;1
1075;Server Push_CSS und _Bilder;1;2
979;Server Push_CSS und _Bilder;1;3
1083;Server Push_CSS und _Bilder;1;4
1175;Server Push_CSS und _Bilder;1;5
1085;Server Push_CSS und _Bilder;1;6
999;Server Push_CSS und _Bilder;1;7
1037;Server Push_CSS und _Bilder;1;8
1083;Server Push_CSS und _Bilder;1;9
1082;Server Push_CSS und _Bilder;2;1
1078;Server Push_CSS und _Bilder;2;2
1283;Server Push_CSS und _Bilder;2;3
1083;Server Push_CSS und _Bilder;2;4
1075;Server Push_CSS und _Bilder;2;5
1084;Server Push_CSS und _Bilder;2;6
1083;Server Push_CSS und _Bilder;2;7
1081;Server Push_CSS und _Bilder;2;8
1187;Server Push_CSS und _Bilder;2;9
1083;Server Push_CSS und _Bilder;3;1
976;Server Push_CSS und _Bilder;3;2
1083;Server Push_CSS und _Bilder;3;3
1083;Server Push_CSS und _Bilder;3;4
1083;Server Push_CSS und _Bilder;3;5
1023;Server Push_CSS und _Bilder;3;6
1082;Server Push_CSS und _Bilder;3;7
1083;Server Push_CSS und _Bilder;3;8
1082;Server Push_CSS und _Bilder;3;9
941;Server Push_CSS;1;1
977;Server Push_CSS;1;2
1078;Server Push_CSS;1;3
952;Server Push_CSS;1;4
958;Server Push_CSS;1;5
975;Server Push_CSS;1;6
907;Server Push_CSS;1;7
1083;Server Push_CSS;1;8
986;Server Push_CSS;1;9
1082;Server Push_CSS;2;1
972;Server Push_CSS;2;2
955;Server Push_CSS;2;3
952;Server Push_CSS;2;4
875;Server Push_CSS;2;5
954;Server Push_CSS;2;6
960;Server Push_CSS;2;7
965;Server Push_CSS;2;8
876;Server Push_CSS;2;9
979;Server Push_CSS;3;1
976;Server Push_CSS;3;2
910;Server Push_CSS;3;3
953;Server Push_CSS;3;4
954;Server Push_CSS;3;5
998;Server Push_CSS;3;6
1114;Server Push_CSS;3;7
955;Server Push_CSS;3;8
1075;Server Push_CSS;3;9
