Werte;Reihe;Testlaufnummer;Run
189;Server Push_CSS und _Bilder;1;1
189;Server Push_CSS und _Bilder;1;2
185;Server Push_CSS und _Bilder;1;3
193;Server Push_CSS und _Bilder;1;4
190;Server Push_CSS und _Bilder;1;5
317;Server Push_CSS und _Bilder;1;6
178;Server Push_CSS und _Bilder;1;7
255;Server Push_CSS und _Bilder;1;8
179;Server Push_CSS und _Bilder;1;9
174;Server Push_CSS und _Bilder;2;1
203;Server Push_CSS und _Bilder;2;2
176;Server Push_CSS und _Bilder;2;3
178;Server Push_CSS und _Bilder;2;4
198;Server Push_CSS und _Bilder;2;5
328;Server Push_CSS und _Bilder;2;6
180;Server Push_CSS und _Bilder;2;7
193;Server Push_CSS und _Bilder;2;8
306;Server Push_CSS und _Bilder;2;9
182;Server Push_CSS und _Bilder;3;1
177;Server Push_CSS und _Bilder;3;2
179;Server Push_CSS und _Bilder;3;3
186;Server Push_CSS und _Bilder;3;4
191;Server Push_CSS und _Bilder;3;5
183;Server Push_CSS und _Bilder;3;6
184;Server Push_CSS und _Bilder;3;7
192;Server Push_CSS und _Bilder;3;8
183;Server Push_CSS und _Bilder;3;9
165;Server Push_CSS;1;1
163;Server Push_CSS;1;2
168;Server Push_CSS;1;3
164;Server Push_CSS;1;4
166;Server Push_CSS;1;5
248;Server Push_CSS;1;6
271;Server Push_CSS;1;7
163;Server Push_CSS;1;8
156;Server Push_CSS;1;9
167;Server Push_CSS;2;1
184;Server Push_CSS;2;2
163;Server Push_CSS;2;3
162;Server Push_CSS;2;4
176;Server Push_CSS;2;5
162;Server Push_CSS;2;6
169;Server Push_CSS;2;7
165;Server Push_CSS;2;8
170;Server Push_CSS;2;9
277;Server Push_CSS;3;1
171;Server Push_CSS;3;2
163;Server Push_CSS;3;3
163;Server Push_CSS;3;4
174;Server Push_CSS;3;5
184;Server Push_CSS;3;6
171;Server Push_CSS;3;7
280;Server Push_CSS;3;8
170;Server Push_CSS;3;9
